courseNameKey,holeNumber,par,descriptionKey,holeImageName,windSpeedMph,windDirectionDegrees,reward1Type,reward1Amount,reward2Type,reward2Amount,reward3Type,reward3Amount,replayReward1Type,replayReward1Amount,replayReward2Type,replayReward2Amount,replayReward3Type,replayReward3Amount,courseId
HOLE_LOMOND_1,1,5,HOLE_LOMOND_1_DESC,lomond-country-club/Hole_01,8.9,308,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_2,2,4,HOLE_LOMOND_2_DESC,lomond-country-club/Hole_02,6.4,331,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_3,3,4,HOLE_LOMOND_3_DESC,lomond-country-club/Hole_03,8.7,293,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_4,4,3,HOLE_LOMOND_4_DESC,lomond-country-club/Hole_04,10.6,316,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_5,5,4,HOLE_LOMOND_5_DESC,lomond-country-club/Hole_05,5.9,339,Points,10,RepairKit,10,Ball,30,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_6,6,3,HOLE_LOMOND_6_DESC,lomond-country-club/Hole_06,10.3,301,Points,20,RepairKit,30,,0,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_7,7,4,HOLE_LOMOND_7_DESC,lomond-country-club/Hole_07,8.9,324,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_8,8,5,HOLE_LOMOND_8_DESC,lomond-country-club/Hole_08,5.0,286,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_9,9,4,HOLE_LOMOND_9_DESC,lomond-country-club/Hole_09,9.9,309,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_10,10,4,HOLE_LOMOND_10_DESC,lomond-country-club/Hole_10,8.7,332,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_11,11,3,HOLE_LOMOND_11_DESC,lomond-country-club/Hole_11,9.5,294,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_12,12,4,HOLE_LOMOND_12_DESC,lomond-country-club/Hole_12,6.4,317,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_13,13,5,HOLE_LOMOND_13_DESC,lomond-country-club/Hole_13,5.8,340,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_14,14,4,HOLE_LOMOND_14_DESC,lomond-country-club/Hole_14,6.7,302,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_15,15,3,HOLE_LOMOND_15_DESC,lomond-country-club/Hole_15,10.1,325,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_16,16,4,HOLE_LOMOND_16_DESC,lomond-country-club/Hole_16,9.7,287,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_17,17,4,HOLE_LOMOND_17_DESC,lomond-country-club/Hole_17,11.0,310,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
HOLE_LOMOND_18,18,5,HOLE_LOMOND_18_DESC,lomond-country-club/Hole_18,8.8,333,Points,10,RepairKit,10,Ball,5,Points,5,RepairKit,5,Ball,2,lomond-country-club
