# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 1,-168.9414,25.6788,-230.7546,60.6363,1.0068
Spruce 1,-165.3744,25.1760,-227.2536,274.0502,0.9021
Spruce 1,-151.9164,23.4775,-229.6786,186.2824,0.9281
Spruce 1,-148.7381,22.7559,-226.7152,54.7895,0.9692
Spruce 3,-142.4093,21.6121,-227.3691,15.8930,1.0120
Spruce 1,-125.5127,16.3035,-227.4445,14.9436,0.9059
Spruce 3,-123.1008,15.4131,-228.1010,192.8599,0.8512
Spruce 1,-114.1189,12.8534,-227.1098,9.4822,0.8947
Spruce 3,-112.6439,12.6379,-226.9102,89.9859,0.8846
Spruce 3,-102.3154,11.7852,-229.8624,16.0194,0.8931
Spruce 1,-97.3226,12.9880,-228.5045,254.3696,0.9761
Spruce 1,-91.1792,14.2107,-230.2893,96.2778,0.9595
Spruce 1,-88.5380,15.8379,-227.2910,4.3321,0.9892
Spruce 1,-78.1631,19.2222,-228.9649,3.2230,0.9999
Spruce 1,-71.9770,21.0857,-231.5226,235.4915,0.8691
Spruce 3,-70.7428,22.1318,-226.1189,135.1199,0.9884
Spruce 1,-61.2504,24.3056,-231.3333,157.3022,0.8926
Spruce 1,-54.1963,25.4457,-228.4058,326.6130,0.9392
Spruce 1,-49.4296,25.1614,-227.1894,344.7643,1.1145
Spruce 1,-44.9530,24.2353,-227.3358,162.7745,0.8809
Spruce 1,-38.9505,21.9508,-226.9433,77.6377,0.8904
Spruce 3,-31.4000,18.9659,-228.5230,241.9356,1.0799
Spruce 1,-24.6603,16.3813,-229.8632,234.2997,1.1469
Spruce 3,-22.8047,15.4834,-229.5276,79.1090,0.8581
Spruce 1,-15.3573,12.8785,-231.3691,151.9970,1.0277
Spruce 1,-10.3876,9.5254,-225.6391,115.6712,0.8818
Spruce 3,-3.0070,7.5429,-227.0931,15.1503,0.8527
Spruce 1,6.0930,5.5261,-226.2246,304.3038,1.1279
Spruce 3,8.7267,5.0214,-228.3279,69.2312,1.0376
Spruce 1,14.8336,4.1134,-230.5017,336.0462,0.9193
Spruce 1,24.9746,5.1604,-226.9102,67.2148,1.1150
Spruce 1,26.8186,5.1995,-228.2401,43.8940,1.0637
Spruce 3,34.6391,5.6762,-229.2513,125.3535,0.9835
Spruce 1,42.8328,4.2823,-228.8181,291.7212,1.1343
Spruce 1,43.8199,4.0194,-230.9560,338.5081,0.9046
Spruce 1,53.3706,0.9565,-229.1760,44.9819,0.9700
Spruce 3,76.7456,0.4473,-225.9454,100.9832,1.0742
Spruce 3,81.0881,0.4371,-228.4464,319.6803,0.9241
Spruce 1,102.0517,1.2545,-227.7598,289.8502,0.9762
Spruce 3,108.3306,1.6102,-226.9272,167.9789,1.1329
Spruce 1,114.3946,2.0459,-225.7849,76.0464,1.0263
Spruce 3,118.8557,2.3559,-228.5946,290.1608,0.8833
Spruce 3,123.1372,2.9562,-228.4727,190.7380,0.9101
Spruce 1,131.7818,4.9253,-228.1096,18.8278,1.1304
Spruce 1,133.3841,5.4363,-230.3134,104.8797,0.9015
Spruce 1,140.6740,7.8156,-226.3076,163.3641,0.9602
Spruce 3,149.6304,10.9776,-227.6246,308.3587,0.9567
Spruce 1,-167.2133,25.3540,-225.1288,112.4650,1.1142
Spruce 1,-153.1599,23.1420,-222.1185,147.9331,1.1172
Spruce 3,-144.8921,21.6104,-221.6669,338.6087,0.9389
Spruce 1,-130.6944,17.8867,-221.4882,123.7956,0.9595
Spruce 3,-123.6389,15.7680,-221.9692,115.8878,1.0317
Spruce 1,-114.9588,13.3438,-225.0026,104.7148,1.1028
Spruce 1,-107.0764,13.1983,-223.4921,126.3573,1.0238
Spruce 3,-106.0174,12.9546,-224.5010,340.1284,0.8826
Spruce 1,-99.8686,14.6800,-221.6652,234.8900,1.0426
Spruce 3,-89.7863,16.4935,-223.4626,154.2702,0.9764
Spruce 1,-87.7779,17.7836,-220.8569,241.9822,1.0113
Spruce 3,-80.4818,19.7153,-221.6719,81.2146,1.0590
Spruce 3,-75.0818,21.2518,-222.3576,114.2163,1.0581
Spruce 1,-67.4144,23.5009,-221.0906,180.6504,1.1469
Spruce 1,-59.7934,24.8919,-225.3519,58.9125,0.9760
Spruce 1,-55.5737,25.2579,-223.1622,166.0650,1.1359
Spruce 3,-51.0962,24.9355,-222.6946,34.3909,0.9742
Spruce 1,-45.8196,23.3197,-220.8184,338.2657,1.1222
Spruce 3,-37.9455,20.7907,-224.3495,228.0372,1.1149
Spruce 1,-31.1111,16.2792,-220.5431,22.7551,0.9474
Spruce 3,-28.2957,14.8103,-220.1717,204.8757,1.1258
Spruce 1,-22.0261,13.1100,-223.3369,39.4039,0.9622
Spruce 1,-16.9196,10.6531,-221.6828,329.9864,0.9206
Spruce 1,-5.9872,7.3613,-220.6453,46.3907,1.0295
Spruce 1,-0.1960,6.5846,-223.8693,0.3773,0.8651
Spruce 1,4.9561,5.7272,-225.0353,188.5763,1.0860
Spruce 3,11.3694,5.5201,-220.1926,126.8049,1.1169
Spruce 3,15.4755,5.5208,-220.4476,338.9549,1.1035
Spruce 1,23.9173,5.9928,-221.6238,336.4404,1.0893
Spruce 3,30.1373,6.0828,-224.4798,290.2719,1.1399
Spruce 3,35.9343,5.9725,-222.9368,97.5146,0.9087
Spruce 1,41.9737,4.4573,-223.4378,330.5129,1.1255
Spruce 1,43.4092,3.8812,-220.5192,140.2401,1.1050
Spruce 1,49.6730,1.6539,-219.7460,184.4552,1.1150
Spruce 1,64.3742,0.0206,-221.6597,71.7173,0.8889
Spruce 1,71.5297,0.2374,-224.9063,137.6295,0.9893
Spruce 3,76.4345,1.0844,-219.7176,358.0018,0.9328
Spruce 1,81.9388,1.0894,-221.8863,102.0223,0.8632
Spruce 3,105.4990,1.8901,-220.6156,298.3080,0.8664
Spruce 3,111.7736,2.1409,-220.5725,90.0278,1.1169
Spruce 3,120.3185,2.6445,-224.7526,165.4941,1.0341
Spruce 3,125.6416,3.4880,-222.8773,132.1577,0.9348
Spruce 1,127.8917,3.9223,-224.9189,184.6634,0.9983
Spruce 3,135.1593,5.8609,-222.7890,225.7959,0.8962
Spruce 3,143.7003,8.7189,-223.4806,121.8435,1.1380
Spruce 1,146.7594,9.7645,-223.9144,39.6482,1.0161
Spruce 1,151.9050,10.9408,-220.0417,217.2183,1.0733
Spruce 1,159.9162,12.5840,-220.1386,40.1187,1.0971
Spruce 1,-168.8598,25.3984,-213.9115,259.6869,0.9384
Spruce 1,-147.3743,21.7911,-216.7498,238.0849,0.9480
Spruce 1,-141.2982,20.5930,-218.5511,44.6018,0.8633
