club,power01,carry_meters
driver,0.00,0.00
driver,0.05,11.59
driver,0.10,13.69
driver,0.15,15.83
driver,0.20,25.57
driver,0.25,31.33
driver,0.30,44.15
driver,0.35,59.11
driver,0.40,76.22
driver,0.45,95.48
driver,0.50,111.38
driver,0.55,134.39
driver,0.60,159.55
driver,0.65,186.85
driver,0.70,216.30
driver,0.75,247.91
driver,0.80,281.66
driver,0.85,317.56
driver,0.90,355.59
driver,0.95,391.08
driver,1.00,433.19
iron7,0.00,0.00
iron7,0.05,3.56
iron7,0.10,6.36
iron7,0.15,10.66
iron7,0.20,18.55
iron7,0.25,28.52
iron7,0.30,38.54
iron7,0.35,52.33
iron7,0.40,68.19
iron7,0.45,86.14
iron7,0.50,106.16
iron7,0.55,128.28
iron7,0.60,150.63
iron7,0.65,176.74
iron7,0.70,204.92
iron7,0.75,235.20
iron7,0.80,267.56
iron7,0.85,301.98
iron7,0.90,338.47
iron7,0.95,377.07
iron7,1.00,417.73
wedge,0.00,0.00
wedge,0.05,2.43
wedge,0.10,4.92
wedge,0.15,8.81
wedge,0.20,15.51
wedge,0.25,22.88
wedge,0.30,32.95
wedge,0.35,44.83
wedge,0.40,58.49
wedge,0.45,73.97
wedge,0.50,90.21
wedge,0.55,109.18
wedge,0.60,129.94
wedge,0.65,152.50
wedge,0.70,176.86
wedge,0.75,203.00
wedge,0.80,230.98
wedge,0.85,260.73
wedge,0.90,292.27
wedge,0.95,324.75
wedge,1.00,359.87
putter,0.00,0.00
putter,0.05,1.79
putter,0.10,4.15
putter,0.15,6.57
putter,0.20,9.00
putter,0.25,11.45
putter,0.30,13.91
putter,0.35,16.37
putter,0.40,18.84
putter,0.45,21.31
putter,0.50,23.78
putter,0.55,26.25
putter,0.60,28.73
putter,0.65,31.20
putter,0.70,33.68
putter,0.75,36.16
putter,0.80,38.64
putter,0.85,41.12
putter,0.90,43.60
putter,0.95,46.08
putter,1.00,48.57
