id,username,characterId,level
fp_001,FRODO,char_james,173
fp_002,GANDALF,char_olivia,38
fp_003,GALADRIEL,char_richard,16
fp_004,BOROMIR,char_elizabeth,199
fp_005,ARWEN,char_shae,80
fp_006,LEGOLAS,char_camila,72
fp_007,GIMLI,char_guillermo,67
fp_008,SAURON,char_ean,45
fp_009,ARAGORN,char_freda,198
fp_010,SARUMAN,char_johan,36
fp_011,EOWYN,char_mike,183
fp_012,FARAMIR,char_roshana,199
fp_013,SAMWISE,char_james,238
fp_014,PIPPIN,char_olivia,149
fp_015,MERRY,char_richard,32
fp_016,BILBO,char_elizabeth,161
fp_017,THORIN,char_shae,118
fp_018,BALIN,char_camila,18
fp_019,DWALIN,char_guillermo,17
fp_020,FILI,char_ean,33
fp_021,KILI,char_freda,65
fp_022,GLOIN,char_johan,69
fp_023,DORI,char_mike,139
fp_024,NORI,char_roshana,164
fp_025,ORI,char_james,16
fp_026,OIN,char_olivia,153
fp_027,BIFUR,char_richard,60
fp_028,BOFUR,char_elizabeth,193
fp_029,BOMBUR,char_shae,176
fp_030,AZOG,char_camila,189
fp_031,THRANDUIL,char_guillermo,149
fp_032,ELROND,char_ean,117
fp_033,CELEBORN,char_freda,66
fp_034,GLORFINDEL,char_johan,124
fp_035,HALDIR,char_mike,160
fp_036,BEORN,char_roshana,81
fp_037,BARD,char_james,217
fp_038,SMAUG,char_olivia,232
fp_039,GOLEM,char_richard,11
fp_040,RADAGAST,char_elizabeth,204
fp_041,MERIADOC,char_shae,216
fp_042,PEREGRIN,char_camila,50
fp_043,FATTY,char_guillermo,188
fp_044,FREDEGAR,char_ean,118
fp_045,LOBELIA,char_freda,97
fp_046,LOTHO,char_johan,81
fp_047,OTTO,char_mike,49
fp_048,POLO,char_roshana,65
fp_049,FALCO,char_james,205
fp_050,LARGO,char_olivia,96
fp_051,FOSCO,char_richard,36
fp_052,MILO,char_elizabeth,33
fp_053,ANGELICA,char_shae,107
fp_054,MELILOT,char_camila,34
fp_055,ESTELLA,char_guillermo,101
fp_056,RUBY,char_ean,226
fp_057,COTTON,char_freda,98
fp_058,SANDYMAN,char_johan,164
fp_059,TREEBEARD,char_mike,77
fp_060,QUICKBEAM,char_roshana,216
fp_061,SHADOWFAX,char_james,21
fp_062,ASFALOTH,char_olivia,196
fp_063,FIREFOOT,char_richard,127
fp_064,AROD,char_elizabeth,147
fp_065,SNOWMANE,char_shae,41
fp_066,GRIMBOLD,char_camila,106
fp_067,HAMA,char_guillermo,30
fp_068,GAMLING,char_ean,151
fp_069,DEORWINE,char_freda,85
fp_070,ERKENBRAND,char_johan,222
fp_071,THEODRED,char_mike,170
fp_072,EOMER,char_roshana,168
fp_073,THEODEN,char_james,236
fp_074,DENETHOR,char_olivia,230
fp_075,HURIN,char_richard,102
fp_076,TURIN,char_elizabeth,157
fp_077,MORWEN,char_shae,59
fp_078,NIENOR,char_camila,190
fp_079,GLAURUNG,char_guillermo,27
fp_080,ANCALAGON,char_ean,21
fp_081,FINGOLFIN,char_freda,179
fp_082,FEANOR,char_johan,68
fp_083,EARENDIL,char_mike,207
fp_084,LUTHIEN,char_roshana,84
fp_085,BEREN,char_james,30
fp_086,CURUFIN,char_olivia,228
fp_087,CELEGORM,char_richard,69
fp_088,MAEGLIN,char_elizabeth,231
fp_089,TUOR,char_shae,35
fp_090,IDRIL,char_camila,107
fp_091,VORONWE,char_guillermo,81
fp_092,DUILIN,char_ean,126
fp_093,ECTHELION,char_freda,172
fp_094,RORTHON,char_johan,223
fp_095,GOTHMOG,char_mike,103
fp_096,CELEBORN2,char_roshana,51
fp_097,SHELOB,char_james,104
fp_098,UNGOLIANT,char_olivia,100
fp_099,YMIR,char_richard,63
fp_100,MORGOTH,char_elizabeth,181
fp_101,MELKOR,char_shae,78
fp_102,TULKAS,char_camila,189
fp_103,MANWE,char_guillermo,184
fp_104,VARDA,char_ean,175
fp_105,YAVANNA,char_freda,28
fp_106,NIENNA,char_johan,165
fp_107,ESTE,char_mike,172
fp_108,VAIRE,char_roshana,53
fp_109,IRMO,char_james,146
fp_110,NAMO,char_olivia,196
fp_111,AULE,char_richard,72
fp_112,ULMO,char_elizabeth,51
fp_113,OROME,char_shae,128
fp_114,MANDOS,char_camila,107
fp_115,ILUVATAR,char_guillermo,79
fp_116,CELEBRIMBOR,char_ean,173
fp_117,ANNATAR,char_freda,186
fp_118,NARSIL,char_johan,152
fp_119,ANDURIL,char_mike,66
fp_120,STING,char_roshana,185
