id,poolId,kind,refId,rarity,weight,quantity,dupeRp,featured,is_active
psc1_driver_gf,pool_standard_club1,club,club_driver_gf,Common,100,1,20,false,true
psc1_wood_gf,pool_standard_club1,club,club_wood_gf,Common,100,1,20,false,true
psc1_ball_golfin,pool_standard_club1,ball,ball_golfin,Common,60,3,0,false,false
psc1_iron9_klyro,pool_standard_club1,club,club_iron9_klyro,Uncommon,100,1,40,false,true
psc1_repairkit_common,pool_standard_club1,item,repairkit_common,Common,40,1,0,false,true
psc1_iron7_mireo,pool_standard_club1,club,club_iron7_mireo,Rare,100,1,80,false,true
psc1_repairkit_rare,pool_standard_club1,item,repairkit_rare,Rare,40,1,0,false,true
psc1_awedge_fyloe,pool_standard_club1,club,club_awedge_fyloe,Mythic,100,1,160,false,true
psc1_repairkit_mythic,pool_standard_club1,item,repairkit_mythic,Mythic,30,1,0,false,true
psc1_pwedge_royal,pool_standard_club1,club,club_pwedge_royal,Legendary,100,1,300,true,true
psc1_putter_golfinx,pool_standard_club1,club,club_putter_golfinx,Supreme,100,1,600,true,true
pwk_2026_38_club_awedge_fyloe,pool_wk_2026_38,club,club_awedge_fyloe,Mythic,100,1,160,false,true
pwk_2026_38_club_driver_bogeyb_legendary,pool_wk_2026_38,club,club_driver_bogeyb_legendary,Legendary,300,1,300,true,true
pwk_2026_38_club_driver_gf,pool_wk_2026_38,club,club_driver_gf,Common,100,1,20,false,true
pwk_2026_38_club_iron7_mireo,pool_wk_2026_38,club,club_iron7_mireo,Rare,100,1,80,false,true
pwk_2026_38_club_iron9_klyro,pool_wk_2026_38,club,club_iron9_klyro,Uncommon,100,1,40,false,true
pwk_2026_38_club_putter_golfinx,pool_wk_2026_38,club,club_putter_golfinx,Supreme,100,1,600,false,true
pwk_2026_38_club_pwedge_royal,pool_wk_2026_38,club,club_pwedge_royal,Legendary,100,1,300,false,true
pwk_2026_38_club_wood_bogeyb_mythic,pool_wk_2026_38,club,club_wood_bogeyb_mythic,Mythic,300,1,160,true,true
pwk_2026_38_club_wood_gf,pool_wk_2026_38,club,club_wood_gf,Common,100,1,20,false,true
pwk_2026_38_repairkit_common,pool_wk_2026_38,item,repairkit_common,Common,40,1,0,false,true
pwk_2026_38_repairkit_mythic,pool_wk_2026_38,item,repairkit_mythic,Mythic,30,1,0,false,true
pwk_2026_38_repairkit_rare,pool_wk_2026_38,item,repairkit_rare,Rare,40,1,0,false,true
pwk_2026_36_club_awedge_fyloe,pool_wk_2026_36,club,club_awedge_fyloe,Mythic,100,1,160,false,false
pwk_2026_36_club_driver_gf,pool_wk_2026_36,club,club_driver_gf,Common,100,1,20,false,false
pwk_2026_36_club_driver_klyro_common,pool_wk_2026_36,club,club_driver_klyro_common,Common,300,1,20,true,false
pwk_2026_36_club_iron7_mireo,pool_wk_2026_36,club,club_iron7_mireo,Rare,100,1,80,false,false
pwk_2026_36_club_iron9_klyro,pool_wk_2026_36,club,club_iron9_klyro,Uncommon,100,1,40,false,false
pwk_2026_36_club_putter_golfinx,pool_wk_2026_36,club,club_putter_golfinx,Supreme,100,1,600,false,false
pwk_2026_36_club_pwedge_royal,pool_wk_2026_36,club,club_pwedge_royal,Legendary,100,1,300,false,false
pwk_2026_36_club_wood_gf,pool_wk_2026_36,club,club_wood_gf,Common,100,1,20,false,false
pwk_2026_36_repairkit_common,pool_wk_2026_36,item,repairkit_common,Common,40,1,0,false,false
pwk_2026_36_repairkit_mythic,pool_wk_2026_36,item,repairkit_mythic,Mythic,30,1,0,false,false
pwk_2026_36_repairkit_rare,pool_wk_2026_36,item,repairkit_rare,Rare,40,1,0,false,false
pwk_2026_37_club_awedge_fyloe,pool_wk_2026_37,club,club_awedge_fyloe,Mythic,100,1,160,false,false
pwk_2026_37_club_driver_gf,pool_wk_2026_37,club,club_driver_gf,Common,100,1,20,false,false
pwk_2026_37_club_iron7_mireo,pool_wk_2026_37,club,club_iron7_mireo,Rare,100,1,80,false,false
pwk_2026_37_club_iron9_klyro,pool_wk_2026_37,club,club_iron9_klyro,Uncommon,100,1,40,false,false
pwk_2026_37_club_putter_golfinx,pool_wk_2026_37,club,club_putter_golfinx,Supreme,100,1,600,false,false
pwk_2026_37_club_pwedge_royal,pool_wk_2026_37,club,club_pwedge_royal,Legendary,100,1,300,false,false
pwk_2026_37_club_wood_gf,pool_wk_2026_37,club,club_wood_gf,Common,100,1,20,false,false
pwk_2026_37_club_wood_golfin_common,pool_wk_2026_37,club,club_wood_golfin_common,Common,300,1,20,true,false
pwk_2026_37_repairkit_common,pool_wk_2026_37,item,repairkit_common,Common,40,1,0,false,false
pwk_2026_37_repairkit_mythic,pool_wk_2026_37,item,repairkit_mythic,Mythic,30,1,0,false,false
pwk_2026_37_repairkit_rare,pool_wk_2026_37,item,repairkit_rare,Rare,40,1,0,false,false
