id,poolId,rarity,rateBp
pool_standard_club1_common,pool_standard_club1,Common,5500
pool_standard_club1_uncommon,pool_standard_club1,Uncommon,2500
pool_standard_club1_rare,pool_standard_club1,Rare,1200
pool_standard_club1_mythic,pool_standard_club1,Mythic,550
pool_standard_club1_legendary,pool_standard_club1,Legendary,200
pool_standard_club1_supreme,pool_standard_club1,Supreme,50
pool_wk_2026_38_common,pool_wk_2026_38,Common,5500
pool_wk_2026_38_legendary,pool_wk_2026_38,Legendary,200
pool_wk_2026_38_mythic,pool_wk_2026_38,Mythic,550
pool_wk_2026_38_rare,pool_wk_2026_38,Rare,1200
pool_wk_2026_38_supreme,pool_wk_2026_38,Supreme,50
pool_wk_2026_38_uncommon,pool_wk_2026_38,Uncommon,2500
