holeId,ok,teeWorldX,teeWorldZ,teeImgU,teeImgV,imgW,imgH,pxPerMetre,rotRad,alongErrPct,note
1,1,185.16,35.66,0.3796,0.8934,112,400,0.7298,1.29708,1.9,
2,1,96.07,-118.18,0.5785,0.8836,139,400,0.981,-3.76486,6.8,
3,1,8.62,113.27,0.613,0.9179,128,400,1.1685,0.08852,3.2,
4,0,51.04,-29.77,0.2029,0.9616,158,400,3.4501,-4.14619,16.9,along-axis check failed — marker suppressed
5,1,-106.37,99.64,0.3106,0.8825,122,400,0.9421,-0.7385,6.3,
6,0,63.88,-19.35,0.4263,0.9487,185,400,2.6298,-4.79146,79.9,along-axis check failed — marker suppressed
7,1,-155.87,30.88,0.5213,0.8997,117,400,1.029,-1.50157,5.0,
8,1,-122.45,-163.15,0.5536,0.7875,89,400,0.6361,-2.44831,1.6,
9,1,-140.9,-25.88,0.6023,0.891,103,400,0.9612,-1.79787,7.5,
10,1,68.04,144.87,0.2983,0.9281,115,400,1.0106,0.51782,0.7,
11,0,40.75,51.94,0.7048,0.9386,156,400,2.7037,0.58339,24.5,along-axis check failed — marker suppressed
12,1,-49.55,-85.94,0.3012,0.9459,121,400,1.1331,-2.49346,8.3,
13,1,111.58,145.99,0.1831,0.93,107,400,0.76,0.79826,7.8,
14,1,91.65,-111.47,0.4332,0.9382,116,400,1.0567,-3.84153,3.1,
15,0,-27.6,-65.53,0.3022,0.9208,167,400,2.5052,-2.87055,17.5,along-axis check failed — marker suppressed
16,1,-22.58,115.87,0.0997,0.8947,99,400,1.307,-0.12433,3.3,
17,1,-77.42,-136.34,0.6784,0.9307,129,400,1.1564,-2.76991,2.5,
18,1,-209.33,-64.9,0.7008,0.9169,112,400,0.7362,-1.8229,4.9,
