rotationId,startUtc,endUtc,nameEn,nameJa,clubQuota,ballQuota,characterQuota,gachaFeaturedCount,gachaBasePoolId,featuredWeightMul,excludeWeeks,seed,pinnedClubs,pinnedBalls,pinnedCharacter,pinnedFeatured,materializedAt,is_active
wk_2026_38,2026-09-14T00:00:00Z,2026-09-21T00:00:00Z,DRIVER WEEK · BOGEYB,ドライバーウィーク · BOGEYB,Common:3;Uncommon:2;Rare:2;Mythic:1;Legendary:1;Supreme:0,Common:1;Uncommon:1;Rare:1,Any:1,2,pool_standard_club1,3,4,3287013188,club_driver_bogeyb_legendary;club_wood_bogeyb_mythic;club_iron_bogeyb_rare;club_awedge_bogeyb_rare;club_pwedge_bogeyb_uncommon;club_swedge_bogeyb_uncommon;club_putter_bogeyb_common;club_driver_bogeyb_common;club_wood_bogeyb_common,ball_ace_attire;ball_clover_pro;ball_putt_ace,char_mike,club_driver_bogeyb_legendary;club_wood_bogeyb_mythic,2026-09-11T02:55:13Z,true
wk_2026_39,2026-09-21T00:00:00Z,2026-09-28T00:00:00Z,WOOD WEEK · G&F,ウッドウィーク · G&F,Common:3;Uncommon:2;Rare:2;Mythic:1;Legendary:1;Supreme:0,Uncommon:1;Rare:1;Mythic:1,Any:1,2,pool_standard_club1,3,4,3303790807,club_wood_gf_legendary;club_iron_gf_mythic;club_awedge_gf_rare;club_pwedge_gf_rare;club_swedge_gf_uncommon;club_putter_gf_uncommon;club_driver_gf;club_wood_gf;club_iron_gf_common,ball_gf;ball_fairway_threads;ball_soralis,char_shae,club_wood_gf_legendary;club_iron_gf_mythic,,true
wk_2026_40,2026-09-28T00:00:00Z,2026-10-05T00:00:00Z,IRON WEEK · PAR PERFECT,アイアンウィーク · PAR PERFECT,Common:3;Uncommon:2;Rare:2;Mythic:1;Legendary:1;Supreme:0,Common:1;Uncommon:1;Rare:1,Any:1,2,pool_standard_club1,3,4,3051979427,club_iron_parperfect_legendary;club_awedge_parperfect_mythic;club_pwedge_parperfect_rare;club_swedge_parperfect_rare;club_putter_parperfect_uncommon;club_driver_parperfect_uncommon;club_wood_parperfect_common;club_iron_parperfect_common;club_awedge_parperfect_common,ball_par_perfect;ball_tifto;ball_klyro,char_roshana,club_iron_parperfect_legendary;club_awedge_parperfect_mythic,,true
wk_2026_41,2026-10-05T00:00:00Z,2026-10-12T00:00:00Z,A.WEDGE WEEK · EAGLEZ,Aウェッジウィーク · EAGLEZ,Common:3;Uncommon:2;Rare:2;Mythic:1;Legendary:1;Supreme:0,Uncommon:1;Rare:1;Mythic:1,Any:1,2,pool_standard_club1,3,4,3035201808,club_awedge_eaglez_legendary;club_pwedge_eaglez_mythic;club_swedge_eaglez_rare;club_putter_eaglez_rare;club_driver_eaglez_uncommon;club_wood_eaglez_uncommon;club_iron_eaglez_common;club_awedge_eaglez_common;club_pwedge_eaglez_common,ball_golfin_mk2;ball_royal_swing;ball_cirq,char_elizabeth,club_awedge_eaglez_legendary;club_pwedge_eaglez_mythic,,true
wk_2026_42,2026-10-12T00:00:00Z,2026-10-19T00:00:00Z,SPORTS DAY WEEK,スポーツの日ウィーク,Common:2;Uncommon:2;Rare:2;Mythic:1;Legendary:2;Supreme:0,Common:1;Uncommon:1;Rare:1,Legendary:1,2,pool_standard_club1,3,4,3085534665,club_pwedge_golfin_legendary;club_swedge_golfin_mythic;club_putter_golfin_rare;club_driver_golfin_rare;club_wood_golfin_uncommon;club_iron_golfin_uncommon;club_awedge_golfin_common;club_pwedge_golfin_common;club_swedge_golfin_legendary,ball_fyloe_soft;ball_fairloft;ball_golfinix,char_camila,club_pwedge_golfin_legendary;club_swedge_golfin_legendary,,true
wk_2026_43,2026-10-19T00:00:00Z,2026-10-26T00:00:00Z,S.WEDGE WEEK · PUTT ACE,Sウェッジウィーク · PUTT ACE,Common:3;Uncommon:2;Rare:2;Mythic:1;Legendary:1;Supreme:0,Uncommon:1;Rare:1;Legendary:1,Any:1,2,pool_standard_club1,3,4,3068757046,club_swedge_puttace_legendary;club_putter_puttace_mythic;club_driver_puttace_rare;club_wood_puttace_rare;club_iron_puttace_uncommon;club_awedge_puttace_uncommon;club_pwedge_puttace_common;club_swedge_puttace_common;club_putter_puttace_common,ball_fyloe_aim;ball_putt_ace;ball_shimmer_g,char_guillermo,club_swedge_puttace_legendary;club_putter_puttace_mythic,,true
wk_2026_44,2026-10-26T00:00:00Z,2026-11-02T00:00:00Z,HALLOWEEN WEEK,ハロウィンウィーク,Common:2;Uncommon:2;Rare:2;Mythic:1;Legendary:2;Supreme:0,Common:1;Uncommon:1;Rare:1,Legendary:1,2,pool_standard_club1,3,4,3119089903,club_putter_fairloft_legendary;club_driver_fairloft_mythic;club_wood_fairloft_rare;club_iron_fairloft_rare;club_awedge_fairloft_uncommon;club_pwedge_fairloft_uncommon;club_swedge_fairloft_common;club_putter_fairloft_common;club_driver_fairloft_legendary,ball_birdie_v1;ball_clover_pro;ball_fairway_threads,char_shae,club_putter_fairloft_legendary;club_driver_fairloft_legendary,,true
wk_2026_45,2026-11-02T00:00:00Z,2026-11-09T00:00:00Z,DRIVER WEEK · GOLFINIX,ドライバーウィーク · GOLFINIX,Common:3;Uncommon:2;Rare:2;Mythic:1;Legendary:1;Supreme:0,Uncommon:1;Rare:1;Mythic:1,Any:1,2,pool_standard_club1,3,4,3102312284,club_driver_golfinix_legendary;club_wood_golfinix_mythic;club_iron_golfinix_rare;club_awedge_golfinix_rare;club_pwedge_golfinix_uncommon;club_swedge_golfinix_uncommon;club_putter_golfinix_common;club_driver_golfinix_common;club_wood_golfinix_common,ball_tifto;ball_klyro;ball_mireo,char_richard,club_driver_golfinix_legendary;club_wood_golfinix_mythic,,true
wk_2026_46,2026-11-09T00:00:00Z,2026-11-16T00:00:00Z,WOOD WEEK · ROYAL SWING,ウッドウィーク · ROYAL SWING,Common:3;Uncommon:2;Rare:2;Mythic:1;Legendary:1;Supreme:0,Common:1;Uncommon:1;Rare:1,Any:1,2,pool_standard_club1,3,4,3152645141,club_wood_royal_legendary;club_iron_royal_mythic;club_awedge_royal_rare;club_pwedge_royal_rare;club_swedge_royal_uncommon;club_putter_royal_uncommon;club_driver_royal_common;club_wood_royal_common;club_iron_royal_common,ball_par_perfect;ball_golfin_mk2;ball_royal_swing,char_johan,club_wood_royal_legendary;club_iron_royal_mythic,,true
wk_2026_47,2026-11-16T00:00:00Z,2026-11-23T00:00:00Z,IRON WEEK · FAIRWAY THREADS,アイアンウィーク · FAIRWAY THREADS,Common:3;Uncommon:2;Rare:2;Mythic:1;Legendary:1;Supreme:0,Uncommon:1;Rare:1;Mythic:1,Any:1,2,pool_standard_club1,3,4,3135867522,club_iron_fairwaythreads_legendary;club_awedge_fairwaythreads_mythic;club_pwedge_fairwaythreads_rare;club_swedge_fairwaythreads_rare;club_putter_fairwaythreads_uncommon;club_driver_fairwaythreads_uncommon;club_wood_fairwaythreads_common;club_iron_fairwaythreads_common;club_awedge_fairwaythreads_common,ball_gf;ball_golfinix;ball_cirq,char_ean,club_iron_fairwaythreads_legendary;club_awedge_fairwaythreads_mythic,,true
