SfxId,baseVolume,loop,velocityGateMin,playRateCap,minIntervalSec
SwingDriver,0.55,false,0,4.0,0
SwingWood,0.55,false,0,4.0,0
SwingIron,0.55,false,0,4.0,0
SwingWedge,0.55,false,0,4.0,0
SwingDefault,0.45,false,0,4.0,0
SwingPutt,0.45,false,0,4.0,0
HitStrong,1.0,false,0,4.0,0
HitDefault,1.0,false,0,4.0,0
HitDefault02,1.0,false,0,4.0,0
HitWeak,0.9,false,0,4.0,0
HitPutt,0.9,false,0,4.0,0
HitBunker,1.0,false,0,4.0,0
HitBallIn,1.0,false,0,4.0,0
LandFairway,0.8,false,2.0,4.0,0.15
LandGreen,0.7,false,1.5,4.0,0.15
LandRough,0.75,false,2.0,4.0,0.15
LandSand,0.8,false,2.0,4.0,0.15
LandWater,0.9,false,1.0,4.0,0.15
LandRoad,0.85,false,2.0,4.0,0.15
LandBushes,0.7,false,2.0,4.0,0.15
UiTap,0.4,false,0,99.0,0
UiConfirm,0.7,false,0,99.0,0
UiCancel,0.6,false,0,99.0,0
UiBack,0.5,false,0,99.0,0
RpEarn,0.8,false,0,99.0,0
LevelUp,1.0,false,0,99.0,0
MatchWin,1.0,false,0,99.0,0
MatchLose,0.9,false,0,99.0,0
MatchDraw,0.8,false,0,99.0,0
GachaBagDrop,0.85,false,0,99.0,0
GachaBagShake,0.8,false,0,99.0,0
GachaCardPop,0.9,false,0,99.0,0
GachaCardLand,0.85,false,0,99.0,0
GachaRevealUncommon,0.85,false,0,99.0,0
GachaRevealRare,0.9,false,0,99.0,0
GachaRevealMythic,0.9,false,0,99.0,0
GachaRevealLegendary,0.95,false,0,99.0,0
GachaRevealSupreme,1.0,false,0,99.0,0
GachaCardExit,0.8,false,0,99.0,0
GachaSkip,0.6,false,0,99.0,0
GachaRevealComplete,1.0,false,0,99.0,0
