# bake_hash=e69023d0
worldX,worldZ,baseY,scale,profileName
-270.8596,-127.0191,8.2269,0.8726,MESH_JapaneseBlack_01_Var1
-267.6698,-127.6383,7.7145,1.1324,MESH_JapaneseBlack_01_Var1
-262.4204,-128.3949,6.9980,1.1426,MESH_JapaneseBlack_01_Var1
-145.4909,-126.6754,1.9742,1.1433,MESH_JapaneseBlack_01_Var1
-139.6518,-126.6049,1.8047,0.8640,MESH_ScottishPine_01
-89.1362,-125.9679,0.5514,0.8849,MESH_ScottishPine_01
172.5382,-125.2409,6.1837,1.0153,MESH_JapaneseBlack_01
178.7324,-124.9278,6.7422,0.9339,MESH_JapaneseBlack_01_Var1
185.6402,-128.9877,7.8608,0.9812,Mesh_Metasequoia
190.3362,-128.8139,8.0781,0.9758,Mesh_Metasequoia
195.8255,-128.5780,8.2507,1.1378,Mesh_Metasequoia
200.0201,-130.0334,8.5521,1.1267,MESH_JapaneseBlack_01_Var1
206.6211,-128.8741,8.5939,0.9676,MESH_JapaneseBlack_01_Var1
214.1014,-125.2545,8.4704,1.1255,Mesh_Metasequoia
220.3696,-125.7826,8.8062,1.0475,MESH_JapaneseBlack_01_Var1
227.0512,-126.9348,9.1724,1.1195,MESH_ScottishPine_01
-276.6081,-119.2026,10.5989,1.1054,MESH_JapaneseBlack_01_Var1
-275.3102,-118.9871,10.4452,1.0727,MESH_JapaneseBlack_01_Var1
-268.9946,-118.6511,9.5483,1.0697,MESH_JapaneseBlack_01_Var1
-262.7745,-121.5150,8.1603,1.0291,MESH_JapaneseBlack_01_Var1
-108.5421,-118.9275,1.7829,0.9963,MESH_ScottishPine_01
-104.3472,-120.8848,1.4779,1.1298,MESH_ScottishPine_01
-90.9084,-123.4423,0.8435,0.8511,Mesh_Metasequoia
-87.0379,-121.2652,0.9829,0.9692,MESH_JapaneseBlack_01
-83.3163,-123.5115,0.6524,0.9820,MESH_ScottishPine_01
167.2480,-122.7495,5.2481,1.1396,MESH_ScottishPine_01
170.7390,-122.8511,5.6554,0.9117,MESH_JapaneseBlack_01_Var1
176.8443,-123.3100,6.3242,0.8673,Mesh_Metasequoia
184.4662,-122.8359,6.8112,1.1162,MESH_ScottishPine_01
186.9607,-122.8760,6.9633,1.0878,MESH_JapaneseBlack_01_Var1
206.2630,-122.0422,7.7292,1.0276,Mesh_Metasequoia
214.8903,-122.1740,8.1927,0.9980,MESH_JapaneseBlack_01
218.2558,-123.7194,8.5230,0.9446,Mesh_Metasequoia
226.0086,-122.6802,8.8594,0.9795,Mesh_Metasequoia
-277.2956,-118.2459,10.8962,0.9065,MESH_ScottishPine_01
-270.2689,-113.0082,10.6692,0.8984,MESH_JapaneseBlack_01_Var1
-264.1542,-118.1974,8.9221,0.8684,MESH_JapaneseBlack_01_Var1
-263.9933,-116.5586,9.1640,0.9183,MESH_JapaneseBlack_01_Var1
-257.2262,-118.5459,7.9549,0.9526,Mesh_Metasequoia
-235.9189,-112.9076,6.6545,0.8536,MESH_JapaneseBlack_01_Var1
-230.9099,-113.6785,6.2556,0.8690,MESH_JapaneseBlack_01_Var1
-112.5074,-116.9054,2.0498,1.0683,Mesh_Metasequoia
-106.3521,-114.9108,2.1509,0.8972,MESH_JapaneseBlack_01_Var1
-100.8836,-115.9633,1.9508,1.0722,Mesh_Metasequoia
-90.7960,-114.9342,1.8400,1.0798,MESH_JapaneseBlack_01_Var1
-84.9474,-113.4294,1.8573,0.8547,MESH_JapaneseBlack_01_Var1
-82.7753,-115.7638,1.5138,0.8518,Mesh_Metasequoia
-75.6849,-114.0914,1.4957,0.8817,MESH_JapaneseBlack_01_Var1
162.2025,-117.9925,4.2341,0.8591,MESH_JapaneseBlack_01_Var1
170.9243,-113.5937,4.7007,1.0144,Mesh_Metasequoia
-283.7944,-110.2544,13.1652,1.1058,MESH_JapaneseBlack_01_Var1
-279.7813,-106.6179,12.9511,1.0978,MESH_ScottishPine_01
