# bake_hash=59d4d2cf
worldX,worldZ,baseY,scale,profileName
7.3327,-59.7801,5.2943,1.0614,MESH_JapaneseBlack_01_Var1
9.7748,-63.2102,5.3300,0.9183,Mesh_Metasequoia
17.0199,-62.2835,7.2846,1.0942,Mesh_Metasequoia
42.3689,-58.4122,14.9489,1.0265,MESH_ScottishPine_01
44.4021,-60.1056,14.8774,1.0805,MESH_JapaneseBlack_01
52.3427,-57.7334,16.7122,1.0724,MESH_ScottishPine_01
60.4456,-63.3201,14.6932,0.9193,MESH_JapaneseBlack_01
68.7596,-58.2148,15.2802,0.8810,Mesh_Metasequoia
-15.3648,-54.6765,3.5614,0.9316,Mesh_Metasequoia
-7.8345,-55.8808,3.9100,0.9559,MESH_JapaneseBlack_01_Var1
0.7910,-53.1785,5.3763,0.8595,MESH_JapaneseBlack_01_Var1
4.3806,-52.4575,5.8940,0.9355,MESH_ScottishPine_01
10.6754,-54.1157,7.2119,0.8508,Mesh_Metasequoia
14.3486,-57.5858,7.3540,0.8548,MESH_ScottishPine_01
23.5642,-52.8920,10.9424,1.0801,MESH_ScottishPine_01
27.7805,-53.4410,12.1050,1.1408,MESH_ScottishPine_01
43.0461,-57.5961,15.3193,0.9638,Mesh_Metasequoia
45.3818,-53.6949,16.8984,1.0308,MESH_ScottishPine_01
70.2491,-56.7854,15.3962,1.0571,MESH_JapaneseBlack_01_Var1
-24.4939,-50.2951,4.6406,1.1336,Mesh_Metasequoia
-20.1217,-48.2860,5.2841,0.9306,Mesh_Metasequoia
-13.1751,-47.5800,5.5701,0.9393,Mesh_Metasequoia
-7.2836,-50.9986,4.9937,0.9511,MESH_ScottishPine_01
1.9557,-50.0873,6.0412,0.8783,MESH_JapaneseBlack_01_Var1
7.7342,-49.2921,7.5013,0.9363,MESH_JapaneseBlack_01_Var1
10.5512,-47.2873,8.7104,1.1173,MESH_ScottishPine_01
19.7097,-48.4810,10.8674,1.0909,Mesh_Metasequoia
24.1501,-51.4573,11.3929,1.0333,Mesh_Metasequoia
37.7211,-47.2725,16.1974,0.8530,MESH_JapaneseBlack_01_Var1
40.8162,-50.9808,16.3889,0.9397,MESH_JapaneseBlack_01_Var1
72.5123,-45.7814,16.9203,1.0022,Mesh_Metasequoia
-26.1035,-42.0178,7.8197,0.9975,Mesh_Metasequoia
