# bake_hash=8e48deb8
worldX,worldZ,baseY,scale,profileName
-220.4629,-61.1156,15.3067,0.9760,Mesh_Metasequoia
-216.8691,-65.2850,15.3121,1.0754,MESH_JapaneseBlack_01_Var1
-211.4883,-66.2375,15.3135,1.0209,Mesh_Metasequoia
-206.2449,-66.6756,15.3261,1.0947,Mesh_Metasequoia
-194.3902,-63.3143,15.6356,0.9513,MESH_JapaneseBlack_01_Var1
-186.6301,-64.8941,16.0388,0.9556,MESH_ScottishPine_01
-184.0602,-61.2853,16.6901,0.9060,MESH_JapaneseBlack_01_Var1
-177.1335,-61.8677,17.6177,0.8959,Mesh_Metasequoia
-170.5387,-65.8196,18.0327,0.9596,MESH_ScottishPine_01
-162.2811,-61.9122,20.1374,1.0265,MESH_ScottishPine_01
-160.2480,-63.6056,20.0551,1.0805,MESH_JapaneseBlack_01
-152.3073,-61.2334,21.5880,1.0724,MESH_ScottishPine_01
-144.2044,-66.8201,21.0538,0.9193,MESH_JapaneseBlack_01
-136.6170,-65.0488,21.6631,1.1193,MESH_JapaneseBlack_01_Var1
-135.8305,-67.0889,21.3420,1.0449,Mesh_Metasequoia
-129.6707,-66.6667,21.4919,0.8869,MESH_JapaneseBlack_01_Var1
-119.8179,-62.8703,22.3633,0.8584,MESH_JapaneseBlack_01_Var1
-115.5546,-61.3636,22.8196,1.0098,MESH_JapaneseBlack_01_Var1
-111.0001,-65.0817,22.0365,0.9962,MESH_JapaneseBlack_01_Var1
-104.8186,-66.1368,21.9860,0.9360,MESH_JapaneseBlack_01_Var1
-98.3323,-62.4718,22.7351,1.0711,Mesh_Metasequoia
-94.2590,-62.1097,22.7428,1.1071,MESH_JapaneseBlack_01_Var1
-86.7405,-61.6959,22.5193,1.0242,MESH_JapaneseBlack_01_Var1
-82.4341,-61.5177,22.2457,0.8507,MESH_JapaneseBlack_01
-76.3534,-61.8065,21.4865,1.0854,MESH_ScottishPine_01
-65.8488,-61.5242,19.1232,1.0580,MESH_JapaneseBlack_01_Var1
-58.6339,-62.6323,16.3529,1.1142,Mesh_Metasequoia
-58.4461,-61.4613,16.4467,1.0922,MESH_JapaneseBlack_01_Var1
-48.5449,-63.5442,12.4441,0.8525,MESH_ScottishPine_01
-44.4042,-61.5571,11.6577,1.0280,MESH_ScottishPine_01
-38.4009,-66.2854,10.4980,1.0571,MESH_JapaneseBlack_01_Var1
-31.6258,-65.8360,11.6050,0.8882,Mesh_Metasequoia
-27.8348,-63.6902,13.2401,0.9154,MESH_ScottishPine_01
-19.2082,-66.4391,17.3681,1.0819,MESH_ScottishPine_01
-16.0727,-63.7939,19.4988,1.0916,MESH_JapaneseBlack_01_Var1
-7.9092,-65.4217,23.5349,1.1370,MESH_ScottishPine_01
0.6084,-64.4750,26.5200,1.0718,MESH_ScottishPine_01
6.5516,-64.5836,27.3395,1.0463,MESH_JapaneseBlack_01_Var1
12.2899,-61.3443,27.6908,0.9560,MESH_JapaneseBlack_01_Var1
14.0452,-61.5658,27.5081,0.9861,MESH_JapaneseBlack_01_Var1
20.9349,-64.7488,25.9615,1.0601,MESH_ScottishPine_01
30.2930,-61.5903,23.3010,1.0735,MESH_ScottishPine_01
32.6958,-63.1500,22.0224,1.1076,MESH_JapaneseBlack_01
109.3686,-62.0093,17.1182,1.1246,MESH_ScottishPine_01
111.6818,-61.9919,18.1846,0.8895,MESH_JapaneseBlack_01_Var1
117.9115,-62.6451,20.6185,0.9053,MESH_JapaneseBlack_01_Var1
124.3367,-62.7065,22.8444,0.9163,MESH_JapaneseBlack_01_Var1
129.2465,-63.5178,24.2634,0.9975,Mesh_Metasequoia
