# bake_hash=9fa7e851
worldX,worldZ,baseY,scale,profileName
-166.9629,-225.6156,25.6331,0.9760,Mesh_Metasequoia
-152.5197,-228.6383,23.7888,1.1324,MESH_JapaneseBlack_01_Var1
-147.2704,-229.3949,23.0383,1.1426,MESH_JapaneseBlack_01_Var1
-127.1643,-228.9456,17.2828,1.1066,MESH_JapaneseBlack_01_Var1
-122.7441,-227.3729,15.5922,0.9287,MESH_JapaneseBlack_01_Var1
-113.1353,-230.2332,12.5220,0.9910,MESH_JapaneseBlack_01_Var1
-107.7177,-226.7166,12.6056,1.0492,MESH_JapaneseBlack_01_Var1
-105.6695,-228.2476,12.2535,0.9144,MESH_JapaneseBlack_01_Var1
-95.7622,-227.6238,13.9092,0.9472,MESH_ScottishPine_01
-91.4556,-231.5217,14.1313,1.0462,Mesh_Metasequoia
-83.0834,-228.3860,17.8159,1.0498,Mesh_Metasequoia
-82.6701,-231.2828,17.4273,0.8736,MESH_JapaneseBlack_01_Var1
-74.8988,-231.0404,20.4105,1.1054,Mesh_Metasequoia
-70.9389,-227.0960,22.2584,1.1233,MESH_ScottishPine_01
-64.5167,-231.1376,23.7751,0.8982,MESH_JapaneseBlack_01_Var1
-54.7203,-230.9024,25.7347,0.9186,MESH_JapaneseBlack_01
-47.2136,-228.8423,25.2971,0.8839,MESH_ScottishPine_01
-44.9317,-231.1648,25.1531,1.1369,MESH_ScottishPine_01
-39.9868,-229.6345,23.3409,0.9227,MESH_JapaneseBlack_01_Var1
-30.3218,-227.0090,18.2823,0.9162,Mesh_Metasequoia
-23.9596,-229.4194,16.2409,1.0073,Mesh_Metasequoia
-17.5459,-229.1246,13.4709,1.1182,MESH_ScottishPine_01
-11.3677,-231.4514,11.5222,1.0289,MESH_JapaneseBlack_01
-5.6565,-228.2359,8.7895,1.0329,Mesh_Metasequoia
0.6258,-230.0195,7.1140,1.0418,MESH_ScottishPine_01
5.5177,-226.8568,5.9144,1.0923,Mesh_Metasequoia
12.6887,-229.3239,4.7146,0.9091,Mesh_Metasequoia
16.6058,-227.9848,4.6424,1.0984,MESH_JapaneseBlack_01
24.5929,-228.6491,5.1321,1.1361,MESH_ScottishPine_01
25.8646,-229.6486,5.1607,0.9179,MESH_ScottishPine_01
32.3141,-225.7170,6.3049,0.9862,MESH_JapaneseBlack_01_Var1
40.4599,-227.5784,5.2282,1.0165,MESH_JapaneseBlack_01_Var1
43.7109,-228.4083,4.3035,1.1180,Mesh_Metasequoia
52.3561,-230.2951,1.5550,1.1336,Mesh_Metasequoia
72.1084,-228.9751,0.3246,1.0718,MESH_ScottishPine_01
78.0516,-229.0836,0.5830,1.0463,MESH_JapaneseBlack_01_Var1
83.7899,-225.8443,1.0404,0.9560,MESH_JapaneseBlack_01_Var1
105.4012,-227.2873,1.7397,1.1173,MESH_ScottishPine_01
114.5597,-228.4810,2.2406,1.0909,Mesh_Metasequoia
119.0000,-231.4573,2.5892,1.0333,Mesh_Metasequoia
126.4398,-226.0147,3.9021,1.0664,Mesh_Metasequoia
127.1095,-226.3338,4.0407,0.8810,MESH_JapaneseBlack_01_Var1
134.8434,-226.4153,6.1354,1.1089,MESH_ScottishPine_01
153.7572,-227.2877,12.4339,1.1045,Mesh_Metasequoia
-172.0738,-224.8102,26.1896,0.9681,Mesh_Metasequoia
-150.5564,-224.5995,23.1853,1.0042,MESH_JapaneseBlack_01_Var1
-145.3678,-220.8761,21.9440,0.8662,MESH_ScottishPine_01
-128.8216,-220.6761,17.6105,1.1339,MESH_JapaneseBlack_01_Var1
-124.4555,-223.1220,16.2579,0.9164,Mesh_Metasequoia
-118.7919,-223.8600,14.6182,0.9004,Mesh_Metasequoia
-112.2201,-223.9106,13.4959,1.0029,MESH_ScottishPine_01
-104.7506,-222.5862,13.9550,1.1311,Mesh_Metasequoia
-98.7136,-225.2332,13.9924,1.1083,MESH_JapaneseBlack_01
-92.1108,-222.3028,16.5019,1.0216,Mesh_Metasequoia
-85.5124,-222.1032,18.4118,0.9267,MESH_ScottishPine_01
-82.6412,-220.0421,19.6981,1.0199,Mesh_Metasequoia
-70.9935,-221.8472,22.8033,1.0259,MESH_ScottishPine_01
-67.7863,-224.3791,23.4688,1.1096,Mesh_Metasequoia
-59.8354,-225.5780,25.1784,1.0031,MESH_JapaneseBlack_01_Var1
-58.8223,-223.2156,25.3497,0.8892,Mesh_Metasequoia
-50.0891,-222.9608,25.1007,1.0262,MESH_JapaneseBlack_01_Var1
-43.7170,-220.8091,22.8096,1.0302,MESH_JapaneseBlack_01_Var1
-38.3085,-222.2588,20.6893,0.9848,MESH_JapaneseBlack_01_Var1
-30.4665,-222.9484,17.0185,1.1286,MESH_JapaneseBlack_01_Var1
-27.3318,-221.0560,14.9397,0.9637,Mesh_Metasequoia
-19.5345,-223.4389,12.4619,1.0600,Mesh_Metasequoia
-13.0256,-219.7107,9.1783,0.9655,Mesh_Metasequoia
