# bake_hash=11fff70b
worldX,worldZ,baseY,scale,profileName
-218.3129,-66.6656,10.8957,0.9760,Mesh_Metasequoia
-214.7191,-70.8350,10.6578,1.0754,MESH_JapaneseBlack_01_Var1
-209.3383,-71.7875,9.7533,1.0209,Mesh_Metasequoia
41.3314,-71.6868,5.3539,0.9360,MESH_JapaneseBlack_01_Var1
47.8177,-68.0218,6.0923,1.0711,Mesh_Metasequoia
51.8910,-67.6597,6.5260,1.1071,MESH_JapaneseBlack_01_Var1
66.1754,-69.1657,7.7775,0.8508,Mesh_Metasequoia
69.8486,-72.6358,7.9626,0.8548,MESH_ScottishPine_01
153.2428,-69.6991,15.6594,1.1361,MESH_ScottishPine_01
154.5146,-70.6986,15.7680,0.9179,MESH_ScottishPine_01
-222.6217,-63.3360,11.0999,0.9306,Mesh_Metasequoia
-215.6750,-62.6300,9.9019,0.9393,Mesh_Metasequoia
-209.7836,-66.0486,9.3543,0.9511,MESH_ScottishPine_01
47.0280,-62.7223,5.9402,0.9370,MESH_JapaneseBlack_01
52.7087,-61.2180,6.5227,0.9345,MESH_JapaneseBlack_01_Var1
65.8994,-63.6362,7.8244,1.1311,Mesh_Metasequoia
71.9364,-66.2832,8.2496,1.1083,MESH_JapaneseBlack_01
148.8577,-61.5354,15.0168,0.9168,MESH_JapaneseBlack_01
157.0349,-66.5223,15.8325,1.1334,MESH_JapaneseBlack_01_Var1
-220.9195,-59.0318,10.1182,1.1455,Mesh_Metasequoia
-213.9301,-57.2345,9.0237,1.1418,MESH_JapaneseBlack_01_Var1
56.6903,-58.2240,6.8819,0.9980,MESH_JapaneseBlack_01
68.4548,-58.7572,8.0583,1.0554,MESH_JapaneseBlack_01_Var1
75.2895,-58.0604,8.6761,1.0713,MESH_JapaneseBlack_01_Var1
159.2919,-60.0032,15.6903,1.0903,MESH_JapaneseBlack_01_Var1
160.1026,-59.3388,15.6987,1.0141,MESH_JapaneseBlack_01
-221.1099,-49.7285,9.0309,0.8690,MESH_JapaneseBlack_01_Var1
62.6628,-52.2280,7.3996,1.1269,MESH_JapaneseBlack_01
66.8936,-49.7383,7.7941,0.9724,MESH_ScottishPine_01
74.5310,-51.9422,8.6062,1.0402,MESH_JapaneseBlack_01_Var1
78.1720,-50.7904,8.9598,0.9846,MESH_ScottishPine_01
158.3340,-52.2446,15.0828,0.8967,MESH_ScottishPine_01
-221.2033,-45.3503,8.7768,1.0321,MESH_JapaneseBlack_01_Var1
-57.6969,-44.6966,8.2992,0.9357,MESH_JapaneseBlack_01_Var1
-54.3871,-44.4130,8.0547,0.9560,Mesh_Metasequoia
-41.8214,-46.0157,6.8935,0.9310,MESH_JapaneseBlack_01
-36.4231,-46.2061,6.5284,0.8994,MESH_ScottishPine_01
-30.4141,-47.1148,6.0162,0.9614,MESH_JapaneseBlack_01_Var1
58.9355,-46.5824,6.9305,0.9074,Mesh_Metasequoia
66.1202,-47.7258,7.6752,0.8958,Mesh_Metasequoia
85.8341,-44.2324,9.6639,0.8987,MESH_JapaneseBlack_01_Var1
-219.6953,-36.8284,8.6720,0.9110,Mesh_Metasequoia
-216.3146,-38.6383,8.5901,0.9621,MESH_JapaneseBlack_01_Var1
-109.8701,-37.4665,8.0256,1.1084,Mesh_Metasequoia
-58.8335,-38.7286,8.4027,0.9593,MESH_ScottishPine_01
-52.0796,-40.1423,8.0882,1.0300,MESH_ScottishPine_01
-36.8397,-41.8688,7.3139,1.0381,MESH_ScottishPine_01
-27.3892,-37.3387,7.6570,1.0237,MESH_JapaneseBlack_01_Var1
-24.8538,-40.1546,7.2826,1.0978,Mesh_Metasequoia
-17.5139,-42.0843,6.7259,0.8881,MESH_JapaneseBlack_01_Var1
-5.4293,-39.6531,6.7338,0.8974,MESH_ScottishPine_01
-1.1062,-37.9503,6.8677,1.1310,MESH_JapaneseBlack_01
8.1600,-41.4019,5.6399,0.9766,Mesh_Metasequoia
12.7237,-37.4516,6.2721,1.0487,MESH_JapaneseBlack_01_Var1
16.1479,-38.3773,5.9434,1.0665,MESH_JapaneseBlack_01_Var1
58.5616,-41.0078,6.9036,1.0388,MESH_ScottishPine_01
84.4768,-39.1080,9.4257,0.8674,MESH_JapaneseBlack_01_Var1
90.1696,-36.8543,9.9396,0.9628,Mesh_Metasequoia
163.0337,-40.4145,14.1255,1.0913,MESH_ScottishPine_01
-220.5155,-36.4008,8.6956,0.9288,MESH_ScottishPine_01
-213.0471,-34.1691,8.7262,0.9997,Mesh_Metasequoia
-104.9373,-31.1059,7.8260,0.8520,MESH_JapaneseBlack_01_Var1
-103.7806,-35.0634,8.1453,0.8961,MESH_JapaneseBlack_01_Var1
-81.5686,-35.0880,8.7103,1.0663,MESH_JapaneseBlack_01_Var1
-78.9295,-33.1520,8.5175,0.9374,MESH_JapaneseBlack_01_Var1
-68.7039,-36.0796,8.6090,0.9424,Mesh_Metasequoia
-17.6003,-35.0591,7.7786,0.9238,MESH_JapaneseBlack_01_Var1
-5.1355,-36.2532,7.3426,1.0523,MESH_ScottishPine_01
2.4961,-36.2055,7.0205,0.9091,Mesh_Metasequoia
13.1426,-35.4550,6.6397,0.8672,Mesh_Metasequoia
17.1302,-36.0097,6.3648,0.8593,Mesh_Metasequoia
23.0342,-34.5244,6.4326,0.9358,MESH_ScottishPine_01
48.2451,-33.8262,6.7116,1.1260,MESH_ScottishPine_01
85.3113,-35.4023,9.4400,0.8522,MESH_ScottishPine_01
92.1664,-36.2222,10.1108,1.1031,MESH_ScottishPine_01
94.0851,-34.5690,10.2358,1.0274,MESH_ScottishPine_01
163.4318,-30.8910,13.3294,1.1315,MESH_JapaneseBlack_01
167.8173,-32.1524,13.8172,1.0761,Mesh_Metasequoia
175.1242,-32.0148,14.6827,1.0617,Mesh_Metasequoia
190.6941,-34.0594,16.4890,0.8527,MESH_JapaneseBlack_01_Var1
-222.7501,-26.3868,9.9243,1.0672,MESH_JapaneseBlack_01_Var1
-212.6640,-28.5957,9.2738,1.1437,Mesh_Metasequoia
-82.7582,-29.5126,8.1955,0.8802,Mesh_Metasequoia
-33.3156,-26.4311,7.9990,0.9153,MESH_JapaneseBlack_01
-26.4743,-28.5306,8.0222,0.9314,Mesh_Metasequoia
44.3968,-24.7157,7.7235,1.1349,MESH_ScottishPine_01
51.5323,-25.6436,7.7830,1.1225,MESH_JapaneseBlack_01_Var1
93.3733,-26.7132,9.9146,1.0031,Mesh_Metasequoia
166.5643,-29.7225,13.6912,0.8978,Mesh_Metasequoia
171.9610,-30.6206,14.3394,0.8624,MESH_JapaneseBlack_01_Var1
183.4979,-25.5759,17.2152,0.9750,MESH_ScottishPine_01
188.9439,-26.6752,17.7751,1.0777,MESH_ScottishPine_01
190.3089,-28.8426,17.3499,0.9077,MESH_JapaneseBlack_01_Var1
-223.2859,-21.7764,10.9646,0.9753,Mesh_Metasequoia
-214.9125,-23.3539,10.2649,0.9915,MESH_JapaneseBlack_01_Var1
-210.2277,-22.5115,10.2151,1.0072,MESH_JapaneseBlack_01_Var1
-9.9737,-24.2806,8.2491,1.0470,MESH_JapaneseBlack_01_Var1
55.9535,-20.6909,8.4651,1.1213,Mesh_Metasequoia
63.6790,-21.7707,8.5982,0.9722,MESH_JapaneseBlack_01_Var1
68.3783,-23.7906,8.5898,1.1330,MESH_JapaneseBlack_01_Var1
75.5265,-21.8009,9.0086,0.8759,Mesh_Metasequoia
102.6997,-20.0406,10.1316,0.9801,Mesh_Metasequoia
110.8661,-20.7650,10.5576,1.1304,MESH_JapaneseBlack_01_Var1
116.1458,-20.9346,10.8021,1.1385,Mesh_Metasequoia
181.5341,-23.4730,17.6132,0.9794,MESH_JapaneseBlack_01_Var1
