# bake_hash=462519e5
worldX,worldZ,baseY,scale,profileName
-79.1129,-77.1156,10.4286,0.9760,Mesh_Metasequoia
-75.5191,-81.2850,9.8525,1.0754,MESH_JapaneseBlack_01_Var1
-70.1383,-82.2375,10.2723,1.0209,Mesh_Metasequoia
-64.8949,-82.6756,10.8479,1.0947,Mesh_Metasequoia
-59.2179,-81.7221,11.3864,1.0393,MESH_JapaneseBlack_01_Var1
-53.0736,-77.9673,11.5987,0.9603,MESH_ScottishPine_01
-46.9870,-81.5252,10.3251,1.1407,MESH_JapaneseBlack_01
-41.9800,-80.2801,9.3798,1.1116,MESH_JapaneseBlack_01_Var1
-36.1814,-79.1157,8.2266,0.9140,MESH_JapaneseBlack_01_Var1
-28.9081,-81.8121,6.2973,1.1094,MESH_ScottishPine_01
-21.5705,-81.1556,5.4975,1.0247,MESH_JapaneseBlack_01
-14.4909,-79.1754,5.5899,1.1433,MESH_JapaneseBlack_01_Var1
-8.6518,-79.1049,5.6623,0.8640,MESH_ScottishPine_01
-5.7131,-82.6273,5.3293,0.9526,Mesh_Metasequoia
4.2852,-77.9920,6.1896,0.8506,MESH_JapaneseBlack_01_Var1
8.7978,-77.6334,6.3128,0.8717,MESH_JapaneseBlack_01_Var1
21.5321,-78.8703,6.6224,0.8584,MESH_JapaneseBlack_01_Var1
25.7954,-77.3636,6.3614,1.0098,MESH_JapaneseBlack_01_Var1
30.3499,-81.0817,6.4448,0.9962,MESH_JapaneseBlack_01_Var1
36.5314,-82.1368,5.7135,0.9360,MESH_JapaneseBlack_01_Var1
43.0177,-78.4718,4.0308,1.0711,Mesh_Metasequoia
47.0910,-78.1096,3.0397,1.1071,MESH_JapaneseBlack_01_Var1
54.6095,-77.6959,1.4019,1.0242,MESH_JapaneseBlack_01_Var1
58.9159,-77.5177,0.7405,0.8507,MESH_JapaneseBlack_01
64.9966,-77.8065,0.2289,1.0854,MESH_ScottishPine_01
75.5012,-77.5242,0.1601,1.0580,MESH_JapaneseBlack_01_Var1
82.7161,-78.6323,0.2842,1.1142,Mesh_Metasequoia
-85.0961,-71.4613,11.5589,1.0922,MESH_JapaneseBlack_01_Var1
-75.1949,-73.5442,11.3739,0.8525,MESH_ScottishPine_01
-71.0542,-71.5571,11.9895,1.0280,MESH_ScottishPine_01
-65.0509,-76.2854,11.6961,1.0571,MESH_JapaneseBlack_01_Var1
-58.2758,-75.8360,12.0661,0.8882,Mesh_Metasequoia
-54.4848,-73.6902,12.1842,0.9154,MESH_ScottishPine_01
-45.8582,-76.4391,10.7296,1.0819,MESH_ScottishPine_01
-42.7227,-73.7939,10.5289,1.0916,MESH_JapaneseBlack_01_Var1
-34.5592,-75.4217,8.6160,1.1370,MESH_ScottishPine_01
-26.0416,-74.4750,7.4796,1.0718,MESH_ScottishPine_01
-20.0984,-74.5836,6.8421,1.0463,MESH_JapaneseBlack_01_Var1
-14.3601,-71.3443,7.1365,0.9560,MESH_JapaneseBlack_01_Var1
-12.6048,-71.5658,6.9787,0.9861,MESH_JapaneseBlack_01_Var1
-5.7151,-74.7488,6.2792,1.0601,MESH_ScottishPine_01
3.6430,-71.5903,6.1683,1.0735,MESH_ScottishPine_01
6.0458,-73.1500,6.1561,1.1076,MESH_JapaneseBlack_01
14.8902,-71.7102,5.8534,1.1261,Mesh_Metasequoia
17.6254,-77.0405,6.4406,0.9808,Mesh_Metasequoia
23.5216,-75.3066,6.1806,1.0633,Mesh_Metasequoia
31.9066,-71.7296,4.9933,1.0507,MESH_JapaneseBlack_01_Var1
37.6072,-72.7877,4.3597,1.1045,Mesh_Metasequoia
46.3919,-71.7026,2.5055,1.1054,MESH_JapaneseBlack_01_Var1
47.6899,-71.4871,2.2274,1.0727,MESH_JapaneseBlack_01_Var1
54.0054,-71.1511,1.1227,1.0697,MESH_JapaneseBlack_01_Var1
60.2255,-74.0150,0.5193,1.0291,MESH_JapaneseBlack_01_Var1
67.8495,-76.7751,0.1427,1.1146,Mesh_Metasequoia
72.6754,-73.7429,0.2336,1.0962,MESH_JapaneseBlack_01_Var1
-84.6055,-68.6220,12.1375,0.9164,Mesh_Metasequoia
-78.9419,-69.3600,12.0556,0.9004,Mesh_Metasequoia
-72.3701,-69.4106,12.2706,1.0029,MESH_ScottishPine_01
-48.7332,-71.0064,11.9121,0.8772,Mesh_Metasequoia
-39.8028,-65.9992,11.3936,1.0242,MESH_ScottishPine_01
-33.6032,-68.2015,10.0775,1.1227,MESH_JapaneseBlack_01_Var1
-25.5421,-65.4275,9.5781,0.9963,MESH_ScottishPine_01
-21.3472,-67.3848,8.6272,1.1298,MESH_ScottishPine_01
-17.8791,-66.3468,8.3883,0.9079,Mesh_Metasequoia
-13.0780,-69.7642,7.3087,1.0167,MESH_ScottishPine_01
-4.7156,-65.4313,6.7559,0.9044,MESH_JapaneseBlack_01_Var1
1.5392,-68.7034,6.1845,0.9497,MESH_ScottishPine_01
9.6909,-68.5625,5.6391,0.9637,MESH_ScottishPine_01
14.2413,-69.5959,5.5799,0.9830,MESH_JapaneseBlack_01_Var1
19.5516,-68.5240,5.2149,1.0190,Mesh_Metasequoia
27.4440,-65.1908,4.1365,1.0685,MESH_JapaneseBlack_01_Var1
31.0611,-65.2637,3.8386,1.1163,MESH_ScottishPine_01
40.7893,-66.2112,2.7369,0.8533,MESH_JapaneseBlack_01_Var1
42.2562,-70.9089,3.2075,0.9681,MESH_JapaneseBlack_01_Var1
51.5834,-69.9500,1.3979,1.0758,MESH_ScottishPine_01
