# bake_hash=7e5e8ed9
worldX,worldZ,baseY,scale,profileName
-143.7129,-220.7656,0.9647,0.9760,Mesh_Metasequoia
-140.1191,-224.9350,0.2304,1.0754,MESH_JapaneseBlack_01_Var1
-134.7383,-225.8875,0.0686,1.0209,Mesh_Metasequoia
-129.4949,-226.3256,0.0181,1.0947,Mesh_Metasequoia
-123.8179,-225.3721,0.1140,1.0393,MESH_JapaneseBlack_01_Var1
-117.6735,-221.6173,0.6422,0.9603,MESH_ScottishPine_01
-111.5870,-225.1752,1.1847,1.1407,MESH_JapaneseBlack_01
-106.5800,-223.9301,2.4181,1.1116,MESH_JapaneseBlack_01_Var1
-100.7813,-222.7657,4.4399,0.9140,MESH_JapaneseBlack_01_Var1
-93.5081,-225.4621,7.3318,1.1094,MESH_ScottishPine_01
-83.4980,-223.2556,11.2070,1.0805,MESH_JapaneseBlack_01
-75.5573,-220.8834,13.6633,1.0724,MESH_ScottishPine_01
-67.4544,-226.4701,15.0983,0.9193,MESH_JapaneseBlack_01
-59.8670,-224.6988,17.1937,1.1193,MESH_JapaneseBlack_01_Var1
-59.0805,-226.7389,17.1548,1.0449,Mesh_Metasequoia
-52.9207,-226.3167,18.7073,0.8869,MESH_JapaneseBlack_01_Var1
22.8910,-222.3285,13.0190,0.8595,MESH_JapaneseBlack_01_Var1
26.4806,-221.6075,12.0363,0.9355,MESH_ScottishPine_01
32.7754,-223.2657,10.2396,0.8508,Mesh_Metasequoia
36.4487,-226.7358,9.1882,0.8548,MESH_ScottishPine_01
45.6642,-222.0420,8.4238,1.0801,MESH_ScottishPine_01
49.8805,-222.5910,8.1115,1.1408,MESH_ScottishPine_01
59.0433,-221.4663,7.8065,0.8502,Mesh_Metasequoia
62.5762,-221.9063,7.6761,1.0453,MESH_JapaneseBlack_01_Var1
69.9152,-226.6998,7.4485,0.9523,Mesh_Metasequoia
75.2509,-223.1895,7.4490,0.9525,Mesh_Metasequoia
80.2514,-222.6081,7.4009,0.9912,MESH_JapaneseBlack_01_Var1
111.5418,-226.0891,13.5683,1.0819,MESH_ScottishPine_01
114.6773,-223.4439,14.8958,1.0916,MESH_JapaneseBlack_01_Var1
122.8408,-225.0717,18.6459,1.1370,MESH_ScottishPine_01
131.3584,-224.1250,21.0175,1.0718,MESH_ScottishPine_01
138.9014,-222.8245,20.8355,1.0870,MESH_JapaneseBlack_01_Var1
-148.1873,-218.6299,1.6927,0.8748,MESH_JapaneseBlack_01_Var1
-141.3921,-218.0289,1.3008,0.9192,MESH_JapaneseBlack_01_Var1
-133.3873,-216.5486,0.9741,1.0871,Mesh_Metasequoia
-128.5810,-216.2804,0.8321,0.9073,Mesh_Metasequoia
-125.5573,-215.5988,0.9033,1.0495,MESH_ScottishPine_01
-114.1147,-215.2289,2.6337,0.8863,MESH_ScottishPine_01
-108.4338,-218.1338,2.5051,0.8811,MESH_JapaneseBlack_01_Var1
-102.5152,-216.4842,4.3774,1.0003,Mesh_Metasequoia
-101.1071,-216.7357,4.8407,0.9854,MESH_JapaneseBlack_01
-89.8814,-215.6593,9.3855,1.1246,MESH_ScottishPine_01
-87.5682,-215.6419,10.2900,0.8895,MESH_JapaneseBlack_01_Var1
-81.3385,-216.2951,12.4520,0.9053,MESH_JapaneseBlack_01_Var1
-74.9133,-216.3564,14.4366,0.9163,MESH_JapaneseBlack_01_Var1
-70.0035,-217.1678,15.6824,0.9975,Mesh_Metasequoia
-60.8468,-215.4574,18.5430,0.9388,MESH_JapaneseBlack_01_Var1
-57.5716,-215.8261,19.3212,1.1339,MESH_JapaneseBlack_01_Var1
-53.2055,-218.2720,19.8832,0.9164,Mesh_Metasequoia
27.7845,-217.3124,12.1800,0.9949,MESH_ScottishPine_01
35.7544,-220.4412,9.9088,1.1336,Mesh_Metasequoia
39.2268,-214.7935,10.0904,1.0358,MESH_ScottishPine_01
47.8951,-217.5863,8.7458,1.0877,MESH_JapaneseBlack_01_Var1
