# bake_hash=d5fe68c5
worldX,worldZ,baseY,scale,profileName
-42.6629,-100.9156,11.9260,0.9760,Mesh_Metasequoia
-39.0691,-105.0850,11.7427,1.0754,MESH_JapaneseBlack_01_Var1
-33.6883,-106.0375,11.7518,1.0209,Mesh_Metasequoia
-28.4449,-106.4756,11.0551,1.0947,Mesh_Metasequoia
-1.5173,-103.0801,4.7773,1.0614,MESH_JapaneseBlack_01_Var1
12.4700,-104.0801,2.1617,1.1116,MESH_JapaneseBlack_01_Var1
18.2687,-102.9157,1.4327,0.9140,MESH_JapaneseBlack_01_Var1
33.5189,-101.7122,0.4639,1.0265,MESH_ScottishPine_01
35.5521,-103.4056,0.2836,1.0805,MESH_JapaneseBlack_01
43.4927,-101.0334,0.4652,1.0724,MESH_ScottishPine_01
-44.4044,-100.6201,11.7939,0.9193,MESH_JapaneseBlack_01
-25.5421,-100.2805,11.0064,1.0752,MESH_JapaneseBlack_01
-19.1834,-100.1207,9.3036,0.8731,MESH_JapaneseBlack_01_Var1
-17.6862,-96.2679,9.2594,0.8849,MESH_ScottishPine_01
-11.2773,-98.0046,7.2721,0.9879,Mesh_Metasequoia
-5.9728,-99.4501,5.8864,0.8718,MESH_JapaneseBlack_01_Var1
13.0692,-99.4451,2.3390,1.0814,MESH_JapaneseBlack_01_Var1
21.7715,-99.5751,1.3010,1.0995,MESH_JapaneseBlack_01
28.4925,-97.7548,0.9748,1.1202,MESH_JapaneseBlack_01_Var1
41.4986,-100.8858,0.4381,0.8548,MESH_ScottishPine_01
-18.8339,-90.4323,10.2025,1.1142,Mesh_Metasequoia
-18.6461,-89.2613,10.2664,1.0922,MESH_JapaneseBlack_01_Var1
-8.7449,-91.3442,7.1746,0.8525,MESH_ScottishPine_01
-4.6042,-89.3572,6.2480,1.0280,MESH_ScottishPine_01
1.3991,-94.0854,4.6429,1.0571,MESH_JapaneseBlack_01_Var1
8.1742,-93.6360,3.4238,0.8882,Mesh_Metasequoia
11.9652,-91.4902,2.9396,0.9154,MESH_ScottishPine_01
20.5918,-94.2391,1.7717,1.0819,MESH_ScottishPine_01
23.7273,-91.5939,1.7149,1.0916,MESH_JapaneseBlack_01_Var1
38.6640,-89.1597,1.6774,1.1029,MESH_JapaneseBlack_01_Var1
45.3700,-90.4637,1.8228,1.1001,MESH_JapaneseBlack_01_Var1
-48.0486,-84.9745,14.3052,1.0870,MESH_JapaneseBlack_01_Var1
-17.2651,-86.5488,10.1308,1.0601,MESH_ScottishPine_01
-3.5310,-84.4304,6.3059,0.9073,Mesh_Metasequoia
-0.5073,-83.7488,5.5871,1.0495,MESH_ScottishPine_01
10.9353,-83.3789,3.4485,0.8863,MESH_ScottishPine_01
16.6162,-86.2838,2.6351,0.8811,MESH_JapaneseBlack_01_Var1
22.5348,-84.6342,2.2795,1.0003,Mesh_Metasequoia
29.5773,-86.1928,1.9183,1.1409,MESH_ScottishPine_01
-43.5419,-82.0238,14.4855,1.1306,MESH_JapaneseBlack_01_Var1
-15.5650,-81.2035,10.1193,1.0862,MESH_ScottishPine_01
-12.3251,-78.0469,9.4070,0.9405,Mesh_Metasequoia
-3.2929,-80.7716,6.4893,0.8979,Mesh_Metasequoia
4.9212,-82.4055,4.4773,1.0918,MESH_JapaneseBlack_01_Var1
9.2777,-82.7419,3.7155,1.1415,MESH_JapaneseBlack_01_Var1
16.7820,-82.1701,2.8374,1.0536,MESH_JapaneseBlack_01_Var1
19.9337,-80.7006,2.6870,1.0951,MESH_ScottishPine_01
25.9658,-80.6636,2.4696,0.8547,MESH_JapaneseBlack_01
29.8943,-80.0608,2.5373,1.1050,MESH_ScottishPine_01
38.8345,-79.4624,3.1272,0.9949,MESH_ScottishPine_01
46.8044,-82.5912,3.2927,1.1336,Mesh_Metasequoia
-45.7232,-70.9435,15.3371,1.0358,MESH_ScottishPine_01
-9.3151,-76.7723,8.5806,1.1334,MESH_JapaneseBlack_01_Var1
-5.5615,-74.0391,7.6449,0.9698,MESH_JapaneseBlack_01_Var1
1.3444,-73.6670,5.7473,0.9769,Mesh_Metasequoia
7.6249,-74.2586,4.3913,0.9252,MESH_ScottishPine_01
14.0093,-72.4165,3.6521,0.9788,MESH_JapaneseBlack_01_Var1
20.7305,-75.2818,3.0195,1.1455,Mesh_Metasequoia
31.5111,-71.0637,3.6914,1.1163,MESH_ScottishPine_01
41.2393,-72.0112,4.7187,0.8533,MESH_JapaneseBlack_01_Var1
42.7062,-76.7089,4.0250,0.9681,MESH_JapaneseBlack_01_Var1
-43.9666,-69.7500,15.1249,1.0758,MESH_ScottishPine_01
-9.9200,-70.7783,9.2351,1.0789,Mesh_Metasequoia
-1.6954,-66.5618,7.1184,1.0675,MESH_ScottishPine_01
3.8024,-65.7052,5.7902,1.1171,MESH_JapaneseBlack_01_Var1
7.8105,-69.8471,4.6521,1.1004,MESH_ScottishPine_01
14.7439,-67.9075,3.9166,0.9798,MESH_ScottishPine_01
20.8707,-65.4665,3.8539,0.9425,Mesh_Metasequoia
29.1425,-69.4144,3.7146,0.9374,MESH_ScottishPine_01
30.5845,-69.8632,3.7687,0.9145,MESH_ScottishPine_01
35.6952,-68.0265,4.6019,0.9382,Mesh_Metasequoia
-47.5893,-63.1760,15.6918,1.0878,MESH_JapaneseBlack_01_Var1
-3.6903,-61.9332,8.1925,0.8940,MESH_JapaneseBlack_01_Var1
1.2428,-63.4762,6.6098,0.9460,MESH_ScottishPine_01
7.9396,-64.3796,5.0815,0.9497,Mesh_Metasequoia
16.9245,-63.3901,4.1630,1.0312,MESH_ScottishPine_01
22.7106,-61.9944,4.2209,0.8652,MESH_ScottishPine_01
24.1998,-60.0285,4.4862,1.0132,Mesh_Metasequoia
35.2471,-63.5451,5.2277,1.0666,MESH_JapaneseBlack_01_Var1
35.7041,-61.9327,5.5510,0.9653,MESH_JapaneseBlack_01_Var1
-47.6830,-54.0941,16.0234,0.8701,Mesh_Metasequoia
-42.2815,-55.6178,15.1174,0.9521,MESH_JapaneseBlack_01
5.0424,-57.6653,6.2991,0.8547,MESH_JapaneseBlack_01
10.2715,-56.2928,5.5076,0.9533,MESH_JapaneseBlack_01
12.5931,-54.1862,5.4300,1.0642,MESH_JapaneseBlack_01_Var1
17.7734,-53.3614,5.1383,0.9098,Mesh_Metasequoia
25.0474,-54.1511,5.1883,1.0928,Mesh_Metasequoia
34.1004,-58.4227,5.7907,0.9038,MESH_JapaneseBlack_01_Var1
38.1598,-56.2529,6.9090,0.9893,Mesh_Metasequoia
46.0611,-58.5703,8.0401,1.0089,MESH_JapaneseBlack_01_Var1
-45.1505,-51.2382,15.8856,1.0287,Mesh_Metasequoia
-40.4900,-48.7846,15.3488,0.9347,MESH_JapaneseBlack_01_Var1
-2.2058,-51.2077,8.6491,1.0333,Mesh_Metasequoia
3.9460,-47.9875,7.5246,1.1085,Mesh_Metasequoia
23.0068,-52.8645,5.2144,0.9708,Mesh_Metasequoia
24.6479,-52.2651,5.3679,1.1110,Mesh_Metasequoia
29.3846,-48.6084,6.2557,0.9556,MESH_JapaneseBlack_01_Var1
39.5200,-49.4351,8.2488,1.0790,Mesh_Metasequoia
-46.2922,-45.4844,16.7121,0.9376,MESH_JapaneseBlack_01_Var1
-37.6872,-44.4780,15.3162,1.1269,MESH_JapaneseBlack_01
-33.4564,-41.9883,14.8133,0.9724,MESH_ScottishPine_01
2.1504,-42.0495,8.4701,1.0591,MESH_JapaneseBlack_01_Var1
11.0920,-44.3139,6.6282,1.0425,MESH_ScottishPine_01
15.6018,-41.0753,6.4920,1.0525,MESH_JapaneseBlack_01_Var1
19.8128,-41.7278,6.2808,1.1495,MESH_JapaneseBlack_01_Var1
25.3374,-42.8204,6.3929,0.9947,MESH_ScottishPine_01
31.7554,-43.6588,7.1834,0.8679,MESH_JapaneseBlack_01_Var1
39.8482,-43.1156,9.2103,1.0528,Mesh_Metasequoia
41.4623,-45.4787,9.3057,1.0779,MESH_JapaneseBlack_01_Var1
-48.0425,-38.9080,17.8970,1.0885,MESH_JapaneseBlack_01
-37.6437,-34.9489,16.3537,0.9566,MESH_ScottishPine_01
-33.3503,-38.9472,15.0566,0.9297,MESH_ScottishPine_01
10.0516,-37.2968,7.4514,0.9021,MESH_JapaneseBlack_01_Var1
14.6997,-35.2124,7.1174,1.1498,MESH_JapaneseBlack_01_Var1
28.9776,-38.4457,7.2316,1.0901,Mesh_Metasequoia
31.3856,-38.3547,7.6560,1.0653,MESH_JapaneseBlack_01
37.0763,-35.7841,9.3313,0.9659,MESH_ScottishPine_01
45.1518,-35.9447,11.5873,0.9334,Mesh_Metasequoia
-46.0932,-29.8194,18.5980,1.1343,MESH_JapaneseBlack_01_Var1
-40.5948,-28.9061,17.5312,1.0477,Mesh_Metasequoia
-34.9359,-34.0758,15.8080,1.0619,MESH_JapaneseBlack_01_Var1
-28.5293,-32.3519,14.4888,1.1151,MESH_ScottishPine_01
6.8852,-34.3340,8.2310,1.1246,MESH_JapaneseBlack_01_Var1
11.8970,-33.6953,7.5410,1.0614,MESH_JapaneseBlack_01
19.3917,-30.9578,7.2859,1.0101,MESH_JapaneseBlack_01_Var1
24.2522,-31.6970,7.3432,0.9699,Mesh_Metasequoia
30.6037,-32.7959,8.0518,1.1095,MESH_JapaneseBlack_01
37.5828,-31.4395,9.9861,1.0404,Mesh_Metasequoia
45.6785,-29.8932,12.5522,0.9534,MESH_JapaneseBlack_01_Var1
-47.5020,-24.3037,18.9696,0.8962,MESH_JapaneseBlack_01_Var1
-41.7340,-26.6194,17.8910,1.0549,Mesh_Metasequoia
-31.9579,-24.7659,15.5372,0.9362,Mesh_Metasequoia
7.8090,-28.8008,8.5603,1.0017,MESH_ScottishPine_01
11.4724,-25.2653,8.3561,0.9653,Mesh_Metasequoia
21.5034,-25.8746,7.7451,1.0987,MESH_ScottishPine_01
25.3798,-24.1468,8.1110,1.0549,MESH_ScottishPine_01
32.5190,-26.0663,9.1573,1.1340,Mesh_Metasequoia
37.0792,-27.4646,10.2990,0.8854,MESH_JapaneseBlack_01
47.2340,-23.0558,13.8021,1.0802,MESH_JapaneseBlack_01_Var1
-44.1261,-21.6795,18.3725,0.9493,MESH_ScottishPine_01
-41.8672,-20.6590,17.9069,1.0729,Mesh_Metasequoia
-35.0869,-20.3390,16.3473,0.9475,MESH_JapaneseBlack_01_Var1
-26.3654,-18.6283,14.2433,1.0522,MESH_ScottishPine_01
15.6906,-17.7486,8.6311,0.8905,Mesh_Metasequoia
19.6291,-22.8129,8.0093,0.8964,MESH_ScottishPine_01
23.7799,-17.7165,8.5489,1.1084,Mesh_Metasequoia
33.5367,-20.6003,10.0081,0.9306,MESH_ScottishPine_01
39.5933,-17.4376,12.2779,1.0156,MESH_JapaneseBlack_01
42.1354,-21.8922,12.5890,1.0142,Mesh_Metasequoia
-44.7286,-13.3407,17.8589,0.8912,MESH_JapaneseBlack_01_Var1
-40.1423,-13.9072,17.1914,0.9967,MESH_ScottishPine_01
-26.4357,-15.4397,14.2506,1.0507,MESH_JapaneseBlack_01_Var1
18.1124,-15.9247,8.6591,0.8622,MESH_ScottishPine_01
26.3469,-12.8693,9.1942,1.0134,MESH_JapaneseBlack_01_Var1
34.0497,-16.5596,10.5689,1.1484,Mesh_Metasequoia
36.5981,-12.1639,11.7746,0.8505,MESH_JapaneseBlack_01_Var1
46.5484,-16.4861,14.3945,0.8996,MESH_ScottishPine_01
-44.3773,-10.1595,17.4691,1.1171,MESH_ScottishPine_01
-41.3016,-10.0861,17.0609,0.8861,MESH_JapaneseBlack_01_Var1
-31.8420,-10.1471,15.3295,1.0455,MESH_JapaneseBlack_01_Var1
20.3518,-8.4304,9.2608,1.0799,Mesh_Metasequoia
29.0517,-9.2944,9.9003,1.1423,Mesh_Metasequoia
33.3227,-6.0019,11.1528,1.1326,MESH_ScottishPine_01
38.8694,-6.2790,12.9101,1.0146,Mesh_Metasequoia
46.1217,-5.0440,15.0893,1.0157,MESH_ScottishPine_01
