# bake_hash=0519c2f0
worldX,worldZ,baseY,scale,profileName
15.0521,-171.1556,5.3016,1.0805,MESH_JapaneseBlack_01
22.9928,-168.7834,4.6212,1.0724,MESH_ScottishPine_01
110.5864,-171.8923,6.7063,0.8839,MESH_ScottishPine_01
119.7735,-168.9113,5.9255,0.8982,MESH_JapaneseBlack_01_Var1
124.5692,-173.1951,4.6775,1.0814,MESH_JapaneseBlack_01_Var1
133.2715,-173.3251,4.3721,1.0995,MESH_JapaneseBlack_01
9.4652,-165.2401,6.8891,0.9154,MESH_ScottishPine_01
18.0918,-167.9891,5.4120,1.0819,MESH_ScottishPine_01
21.2273,-165.3439,5.4414,1.0916,MESH_JapaneseBlack_01_Var1
29.3908,-166.9716,4.1167,1.1370,MESH_ScottishPine_01
37.9084,-166.0250,3.5452,1.0718,MESH_ScottishPine_01
89.2012,-164.3373,9.2670,1.1173,MESH_ScottishPine_01
98.3597,-165.5310,9.7028,1.0909,Mesh_Metasequoia
102.8000,-168.5072,8.7756,1.0333,Mesh_Metasequoia
110.2398,-163.0647,8.9164,1.0664,Mesh_Metasequoia
110.9095,-163.3838,8.7231,0.8810,MESH_JapaneseBlack_01_Var1
118.6435,-163.4652,7.5179,1.1089,MESH_ScottishPine_01
128.2205,-168.0571,5.4671,0.8614,MESH_ScottishPine_01
133.1623,-162.8314,6.6190,1.0022,Mesh_Metasequoia
140.2474,-166.5182,5.7175,0.8938,Mesh_Metasequoia
-43.4100,-156.8206,6.7527,1.1216,MESH_JapaneseBlack_01_Var1
5.6892,-159.3528,8.0560,1.0216,Mesh_Metasequoia
12.2876,-159.1532,7.7715,0.9267,MESH_ScottishPine_01
15.1588,-157.0921,7.8580,1.0199,Mesh_Metasequoia
38.4451,-159.4863,3.9607,1.0877,MESH_JapaneseBlack_01_Var1
40.0078,-157.5354,4.0003,0.9168,MESH_JapaneseBlack_01
71.2466,-159.1258,5.7857,1.0117,MESH_JapaneseBlack_01_Var1
77.3875,-159.0468,6.8438,0.9821,MESH_JapaneseBlack_01_Var1
82.3541,-159.9546,7.8890,1.0742,MESH_JapaneseBlack_01_Var1
89.4261,-157.0781,9.2818,0.9309,MESH_ScottishPine_01
98.7592,-160.3750,10.3280,1.0208,MESH_ScottishPine_01
104.6863,-158.4507,10.6078,1.0462,Mesh_Metasequoia
109.7388,-160.3407,9.7473,1.0159,MESH_JapaneseBlack_01
111.0411,-161.1268,9.3532,1.0686,MESH_JapaneseBlack_01_Var1
118.0000,-159.7333,8.7917,0.9387,Mesh_Metasequoia
127.4904,-162.2472,6.9961,1.0238,Mesh_Metasequoia
128.9468,-159.2468,7.7961,1.0658,Mesh_Metasequoia
134.9717,-157.4957,8.0609,0.9036,Mesh_Metasequoia
-73.2995,-152.5339,1.6112,0.9243,Mesh_Metasequoia
-54.2057,-155.3600,3.8028,0.8673,Mesh_Metasequoia
-46.5838,-154.8859,6.1158,1.1162,MESH_ScottishPine_01
-44.0893,-154.9260,6.7942,1.0878,MESH_JapaneseBlack_01_Var1
-34.7545,-154.1145,8.5512,1.1369,MESH_JapaneseBlack_01_Var1
12.9586,-154.7301,8.4948,0.9795,Mesh_Metasequoia
19.2763,-154.6555,7.6777,1.1287,Mesh_Metasequoia
39.1535,-155.8241,4.2032,1.0936,MESH_JapaneseBlack_01_Var1
48.1131,-152.9112,4.0209,0.9177,Mesh_Metasequoia
63.9803,-154.3440,4.9064,1.1296,Mesh_Metasequoia
69.8170,-151.8441,5.6221,0.8701,Mesh_Metasequoia
75.2185,-153.3678,6.3882,0.9521,MESH_JapaneseBlack_01
82.2163,-155.0590,7.7281,0.8527,MESH_JapaneseBlack_01_Var1
88.9023,-156.5954,9.1713,1.0011,MESH_ScottishPine_01
93.6955,-152.4689,10.1112,0.9117,Mesh_Metasequoia
98.9446,-153.4599,10.9428,0.9804,Mesh_Metasequoia
106.9168,-152.8571,11.6630,1.0857,MESH_JapaneseBlack_01_Var1
115.1342,-156.2923,10.3063,1.1269,MESH_JapaneseBlack_01_Var1
118.0468,-153.4937,10.8352,1.0874,MESH_JapaneseBlack_01_Var1
127.7065,-153.1921,9.8017,0.8739,Mesh_Metasequoia
129.9256,-152.2490,9.9108,0.9824,MESH_ScottishPine_01
137.6360,-151.5365,9.7166,0.8665,Mesh_Metasequoia
