# bake_hash=5a7d10ae
worldX,worldZ,baseY,scale,profileName
-53.7129,-206.3656,7.6615,0.9760,Mesh_Metasequoia
-50.1191,-210.5350,8.9175,1.0754,MESH_JapaneseBlack_01_Var1
-44.7383,-211.4875,10.1084,1.0209,Mesh_Metasequoia
-29.8482,-207.4556,11.3905,0.9441,Mesh_Metasequoia
-27.6402,-208.5643,11.2333,0.9513,MESH_JapaneseBlack_01_Var1
-19.8801,-210.1441,11.1596,0.9556,MESH_ScottishPine_01
-17.3102,-206.5353,12.5076,0.9060,MESH_JapaneseBlack_01_Var1
-10.3835,-207.1178,12.8873,0.8959,Mesh_Metasequoia
-3.7887,-211.0696,12.4688,0.9596,MESH_ScottishPine_01
4.4689,-207.1622,16.3160,1.0265,MESH_ScottishPine_01
6.5020,-208.8556,16.3355,1.0805,MESH_JapaneseBlack_01
14.4428,-206.4834,14.8910,1.0724,MESH_ScottishPine_01
22.5456,-212.0701,8.8605,0.9193,MESH_JapaneseBlack_01
30.1330,-210.2988,5.5684,1.1193,MESH_JapaneseBlack_01_Var1
30.9195,-212.3389,4.9223,1.0449,Mesh_Metasequoia
37.0793,-211.9167,3.3002,0.8869,MESH_JapaneseBlack_01_Var1
46.9321,-208.1203,2.4677,0.8584,MESH_JapaneseBlack_01_Var1
-56.9423,-203.1546,6.6422,0.9225,MESH_JapaneseBlack_01_Var1
-53.2648,-203.4265,7.2712,0.9316,Mesh_Metasequoia
-45.7345,-204.6308,9.0839,0.9559,MESH_JapaneseBlack_01_Var1
-37.1090,-201.9285,10.9000,0.8595,MESH_JapaneseBlack_01_Var1
-33.5194,-201.2075,11.6981,0.9355,MESH_ScottishPine_01
-27.2246,-202.8657,12.4576,0.8508,Mesh_Metasequoia
-23.5514,-206.3358,11.9688,0.8548,MESH_ScottishPine_01
-14.3358,-201.6420,14.5218,1.0801,MESH_ScottishPine_01
-10.1195,-202.1910,14.7456,1.1408,MESH_ScottishPine_01
-0.9567,-201.0663,16.5758,0.8502,Mesh_Metasequoia
2.5761,-201.5063,17.3108,1.0453,MESH_JapaneseBlack_01_Var1
9.9152,-206.2998,16.7123,0.9523,Mesh_Metasequoia
15.2509,-202.7895,15.1400,0.9525,Mesh_Metasequoia
20.2514,-202.2081,12.3329,0.9912,MESH_JapaneseBlack_01_Var1
30.1830,-205.5865,6.6768,0.8808,MESH_JapaneseBlack_01_Var1
34.3216,-205.0427,5.4274,1.0121,MESH_ScottishPine_01
39.4917,-201.7118,4.8359,0.8689,Mesh_Metasequoia
43.6049,-201.5176,3.8572,0.9770,Mesh_Metasequoia
51.6140,-200.6097,2.4480,1.1029,MESH_JapaneseBlack_01_Var1
-55.6800,-195.9137,5.8095,1.1001,MESH_JapaneseBlack_01_Var1
-53.0986,-196.4245,6.3199,1.0870,MESH_JapaneseBlack_01_Var1
-41.1334,-199.8548,9.7345,0.9654,Mesh_Metasequoia
-33.9741,-198.9651,11.6945,1.0656,MESH_JapaneseBlack_01_Var1
-24.3545,-195.6070,14.4220,1.0059,Mesh_Metasequoia
-18.8826,-199.2042,14.6423,0.8571,MESH_ScottishPine_01
-14.0348,-196.3598,16.1789,1.1293,Mesh_Metasequoia
-7.3725,-199.6246,15.9176,1.1133,MESH_JapaneseBlack_01
-5.0808,-199.7284,16.1856,1.1092,MESH_JapaneseBlack_01_Var1
11.6705,-199.7571,17.4188,0.8614,MESH_ScottishPine_01
16.6123,-194.5314,16.3244,1.0022,Mesh_Metasequoia
23.6974,-198.2182,11.7611,0.8938,Mesh_Metasequoia
29.9129,-197.9885,9.2275,0.9788,Mesh_Metasequoia
36.2490,-197.5632,7.0062,0.9000,MESH_ScottishPine_01
39.3850,-198.6535,5.6557,1.0862,MESH_ScottishPine_01
42.6249,-195.4969,5.3567,0.9405,Mesh_Metasequoia
51.6571,-198.2216,2.5823,0.8979,Mesh_Metasequoia
-54.1288,-193.8555,5.9040,1.0918,MESH_JapaneseBlack_01_Var1
-49.7723,-194.1919,6.8084,1.1415,MESH_JapaneseBlack_01_Var1
-42.2680,-193.6201,8.8682,1.0536,MESH_JapaneseBlack_01_Var1
-39.1163,-192.1506,9.9194,1.0951,MESH_ScottishPine_01
-33.0842,-192.1136,12.2356,0.8547,MESH_JapaneseBlack_01
-29.1557,-191.5108,13.6747,1.1050,MESH_ScottishPine_01
-20.2155,-190.9124,16.2205,0.9949,MESH_ScottishPine_01
-12.2456,-194.0412,16.9619,1.1336,Mesh_Metasequoia
-8.7732,-188.3935,18.1940,1.0358,MESH_ScottishPine_01
17.4146,-194.3280,15.9747,1.0031,MESH_JapaneseBlack_01_Var1
18.4277,-191.9656,16.0111,0.8892,Mesh_Metasequoia
27.1609,-191.7108,12.2985,1.0262,MESH_JapaneseBlack_01_Var1
33.5330,-189.5591,10.2166,1.0302,MESH_JapaneseBlack_01_Var1
38.9415,-191.0088,7.6958,0.9848,MESH_JapaneseBlack_01_Var1
46.7836,-191.6984,4.5116,1.1286,MESH_JapaneseBlack_01_Var1
49.9182,-189.8060,3.5904,0.9637,Mesh_Metasequoia
-56.2845,-186.1889,5.6632,1.0600,Mesh_Metasequoia
-42.8112,-186.0407,8.6242,1.0159,MESH_JapaneseBlack_01
-41.5089,-186.8268,9.0448,1.0686,MESH_JapaneseBlack_01_Var1
-34.5500,-185.4333,12.0205,0.9387,Mesh_Metasequoia
-25.0596,-187.9472,15.3825,1.0238,Mesh_Metasequoia
-23.6032,-184.9468,16.1451,1.0658,Mesh_Metasequoia
-7.1211,-187.2780,18.4287,1.0669,Mesh_Metasequoia
15.4273,-185.8895,18.0804,1.0105,MESH_JapaneseBlack_01_Var1
21.2348,-184.9561,15.6428,1.0379,MESH_ScottishPine_01
29.1976,-184.8293,12.5711,1.1174,Mesh_Metasequoia
34.4161,-182.5575,10.5533,0.9919,MESH_JapaneseBlack_01_Var1
36.8873,-187.1155,9.2154,0.9972,MESH_JapaneseBlack_01_Var1
47.7182,-188.0048,4.5093,1.0783,MESH_ScottishPine_01
51.6209,-183.0269,3.2109,0.9030,MESH_JapaneseBlack_01_Var1
-58.6844,-177.5946,7.1688,1.0698,MESH_ScottishPine_01
-52.7770,-176.6125,8.0669,0.9779,MESH_JapaneseBlack_01_Var1
-36.7097,-179.9240,11.6998,0.9980,MESH_JapaneseBlack_01
-33.3442,-181.4694,12.9714,0.9446,Mesh_Metasequoia
-25.5914,-180.4302,16.0323,0.9795,Mesh_Metasequoia
13.1260,-181.5002,18.7217,1.0740,Mesh_Metasequoia
22.0388,-176.4529,14.2183,0.8724,MESH_JapaneseBlack_01_Var1
29.1044,-181.9959,12.5749,0.9065,MESH_ScottishPine_01
36.1312,-176.7582,9.4945,0.8984,MESH_JapaneseBlack_01_Var1
42.2458,-181.9474,7.2181,0.8684,MESH_JapaneseBlack_01_Var1
42.4068,-180.3086,7.1529,0.9183,MESH_JapaneseBlack_01_Var1
49.1738,-182.2959,4.1555,0.9526,Mesh_Metasequoia
-55.7950,-173.3287,8.8163,0.8923,MESH_ScottishPine_01
-48.0076,-175.1153,9.1213,0.8547,MESH_JapaneseBlack_01
-31.9072,-175.1069,14.5047,0.9469,Mesh_Metasequoia
-29.3423,-175.9266,15.3276,1.0752,Mesh_Metasequoia
10.7010,-173.5402,17.9205,1.1401,MESH_JapaneseBlack_01_Var1
17.4135,-171.6389,14.8751,0.9108,MESH_JapaneseBlack_01
22.6607,-172.8505,12.9323,1.1041,MESH_JapaneseBlack_01_Var1
24.6479,-174.1900,12.5998,0.9296,MESH_ScottishPine_01
35.9313,-171.9836,8.8293,0.9374,Mesh_Metasequoia
38.7837,-175.4065,8.3781,0.9108,MESH_JapaneseBlack_01_Var1
46.7397,-171.9058,5.0288,1.1152,MESH_JapaneseBlack_01_Var1
49.2830,-171.7540,4.0078,1.1076,Mesh_Metasequoia
-58.0534,-170.2563,9.8099,0.9162,MESH_ScottishPine_01
-48.0432,-170.3145,10.6105,0.9708,Mesh_Metasequoia
-46.4021,-169.7151,11.0456,1.1110,Mesh_Metasequoia
-41.6654,-166.0584,13.1881,0.9556,MESH_JapaneseBlack_01_Var1
12.3445,-167.1564,15.7083,1.0516,Mesh_Metasequoia
19.5761,-165.5190,11.9113,0.9169,MESH_JapaneseBlack_01_Var1
29.8594,-167.8780,9.2479,1.0316,MESH_ScottishPine_01
