# bake_hash=542f37d8
worldX,worldZ,baseY,scale,profileName
-152.5629,-162.5156,0.3819,0.9760,Mesh_Metasequoia
-148.9691,-166.6850,0.5085,1.0754,MESH_JapaneseBlack_01_Var1
-143.5883,-167.6375,0.8781,1.0209,Mesh_Metasequoia
-138.3449,-168.0756,1.3342,1.0947,Mesh_Metasequoia
-132.6679,-167.1221,2.0596,1.0393,MESH_JapaneseBlack_01_Var1
-126.5236,-163.3673,3.3524,0.9603,MESH_ScottishPine_01
-101.7301,-167.1835,8.1389,1.0942,Mesh_Metasequoia
-94.5657,-166.5887,9.6178,1.0176,MESH_JapaneseBlack_01_Var1
-91.2621,-164.3311,10.2419,1.0488,Mesh_Metasequoia
-84.6056,-168.2979,11.2611,0.8539,MESH_ScottishPine_01
-76.6254,-166.3573,12.3713,1.0107,Mesh_Metasequoia
-50.7170,-166.4488,15.4478,1.1193,MESH_JapaneseBlack_01_Var1
-49.9305,-168.4889,15.5380,1.0449,Mesh_Metasequoia
104.1580,-164.8420,16.8960,1.1288,Mesh_Metasequoia
109.6090,-164.6647,17.0738,1.0734,Mesh_Metasequoia
149.4958,-162.9571,16.7349,1.0280,MESH_ScottishPine_01
-150.5986,-158.3581,0.6105,0.9912,MESH_JapaneseBlack_01_Var1
-140.6670,-161.7365,1.4827,0.8808,MESH_JapaneseBlack_01_Var1
-136.5284,-161.1927,2.0536,1.0121,MESH_ScottishPine_01
-131.3583,-157.8618,3.1165,0.8689,Mesh_Metasequoia
-127.2451,-157.6676,3.8444,0.9770,Mesh_Metasequoia
-119.2360,-156.7597,5.4129,1.1029,MESH_JapaneseBlack_01_Var1
-112.5300,-158.0637,6.5935,1.1001,MESH_JapaneseBlack_01_Var1
-109.9486,-158.5745,7.0617,1.0870,MESH_JapaneseBlack_01_Var1
-103.0373,-160.3799,8.2926,0.8748,MESH_JapaneseBlack_01_Var1
-96.2421,-159.7789,9.5436,0.9192,MESH_JapaneseBlack_01_Var1
-88.2373,-158.2986,10.7413,1.0871,Mesh_Metasequoia
-83.4311,-158.0304,11.3508,0.9073,Mesh_Metasequoia
-80.4073,-157.3488,11.7133,1.0495,MESH_ScottishPine_01
-68.9647,-156.9789,13.1446,0.8863,MESH_ScottishPine_01
-63.2838,-159.8838,13.9585,0.8811,MESH_JapaneseBlack_01_Var1
-57.3653,-158.2342,14.6303,1.0003,Mesh_Metasequoia
-55.9571,-158.4857,14.7912,0.9854,MESH_JapaneseBlack_01
89.1394,-158.4283,16.4907,0.9792,MESH_ScottishPine_01
96.4638,-157.5981,16.7845,0.9808,Mesh_Metasequoia
99.8168,-162.4064,16.7986,0.8772,Mesh_Metasequoia
134.9044,-162.1912,17.5194,1.1336,Mesh_Metasequoia
138.3768,-156.5435,17.3415,1.0358,MESH_ScottishPine_01
147.0451,-159.3363,16.8345,1.0877,MESH_JapaneseBlack_01_Var1
148.6077,-157.3854,16.6119,0.9168,MESH_JapaneseBlack_01
-155.2151,-156.3723,0.3820,1.1334,MESH_JapaneseBlack_01_Var1
-151.4615,-153.6391,0.6413,0.9698,MESH_JapaneseBlack_01_Var1
-144.5556,-153.2670,1.2799,0.9769,Mesh_Metasequoia
-138.2751,-153.8586,2.1680,0.9252,MESH_ScottishPine_01
-131.8907,-152.0164,3.3414,0.9788,MESH_JapaneseBlack_01_Var1
-125.1695,-154.8818,4.4652,1.1455,Mesh_Metasequoia
-118.1801,-153.0845,5.9253,1.1418,MESH_JapaneseBlack_01_Var1
-111.2233,-152.5756,7.2661,1.0944,Mesh_Metasequoia
-110.4841,-153.1827,7.3688,0.8596,MESH_JapaneseBlack_01_Var1
-102.1880,-152.1272,8.8407,0.9075,Mesh_Metasequoia
-94.0337,-154.7266,9.9949,1.0820,Mesh_Metasequoia
-87.6987,-153.0239,10.8015,0.8548,Mesh_Metasequoia
-81.0797,-152.1830,11.5610,0.8561,MESH_JapaneseBlack_01_Var1
-75.9712,-155.4280,12.2207,1.0669,Mesh_Metasequoia
-70.1995,-153.7478,12.9126,1.1097,Mesh_Metasequoia
-63.2080,-153.3727,13.8102,0.9026,MESH_JapaneseBlack_01_Var1
-57.5423,-153.5652,14.5095,0.9996,MESH_ScottishPine_01
-53.9535,-151.6024,14.8645,1.1217,MESH_ScottishPine_01
-48.6995,-152.3839,15.3395,0.9243,Mesh_Metasequoia
73.5586,-154.5802,15.9042,0.9795,Mesh_Metasequoia
79.8763,-154.5055,16.1851,1.1287,Mesh_Metasequoia
142.5802,-154.1940,17.0448,1.1296,Mesh_Metasequoia
148.4170,-151.6941,16.3951,0.8701,Mesh_Metasequoia
-158.1815,-147.2178,0.5795,0.9521,MESH_JapaneseBlack_01
-151.1837,-148.9090,0.7198,0.8527,MESH_JapaneseBlack_01_Var1
-144.4977,-150.4454,1.2909,1.0011,MESH_ScottishPine_01
-139.7045,-146.3189,1.8642,0.9117,Mesh_Metasequoia
-134.4554,-147.3099,2.8181,0.9804,Mesh_Metasequoia
-126.4832,-146.7072,4.4130,1.0857,MESH_JapaneseBlack_01_Var1
-118.2658,-150.1423,6.0521,1.1269,MESH_JapaneseBlack_01_Var1
-115.3532,-147.3437,6.6371,1.0874,MESH_JapaneseBlack_01_Var1
-105.6935,-147.0421,8.3157,0.8739,Mesh_Metasequoia
-103.4744,-146.0990,8.6421,0.9824,MESH_ScottishPine_01
-87.8389,-150.1703,10.7627,1.0089,MESH_JapaneseBlack_01_Var1
-83.0505,-148.8382,11.2925,1.0287,Mesh_Metasequoia
-78.3900,-146.3845,11.7995,0.9347,MESH_JapaneseBlack_01_Var1
-70.1836,-145.9817,12.8123,1.0345,MESH_JapaneseBlack_01_Var1
-67.6065,-149.2538,13.1764,0.9818,MESH_JapaneseBlack_01_Var1
-51.2460,-146.8342,15.0553,1.0798,MESH_JapaneseBlack_01_Var1
-45.3973,-145.3294,15.4519,0.8547,MESH_JapaneseBlack_01_Var1
-43.2253,-147.6638,15.5963,0.8518,Mesh_Metasequoia
68.2810,-147.7922,15.8513,1.0402,MESH_JapaneseBlack_01_Var1
151.5296,-146.6460,15.7521,1.0817,MESH_ScottishPine_01
-155.3088,-143.5662,0.7043,1.1168,MESH_JapaneseBlack_01
-148.7656,-138.6010,0.8464,0.8724,MESH_ScottishPine_01
-145.1287,-142.6336,1.0889,0.8651,Mesh_Metasequoia
