# bake_hash=a953ea8e
worldX,worldZ,baseY,scale,profileName
-109.9479,-48.2089,9.3666,0.8894,Fir_02
-104.3983,-49.6054,9.5299,0.8852,Fir_05
-100.4276,-49.0191,9.6083,0.8890,Fir_03
-98.3087,-47.0435,9.6225,0.9096,Fir_04
-94.0896,-47.4794,9.7075,0.9310,Fir_05
-80.3844,-49.5545,9.8318,0.8962,Fir_01
-75.1657,-50.2842,9.8153,0.9708,Fir_04
-72.9117,-49.7035,9.7872,0.8577,Fir_01
-67.9442,-49.8393,9.7145,0.9659,Fir_02
-63.8574,-49.7254,9.6240,0.9407,Fir_01
-62.2468,-48.6185,9.5517,0.9443,Fir_05
-58.3970,-48.8394,9.4394,0.8603,Fir_02
-54.1662,-48.4436,9.2725,0.9697,Fir_01
-34.3118,-46.6459,8.5027,0.9192,Fir_06
-16.3205,-48.6972,7.9640,0.9861,Fir_02
26.7079,-48.0918,1.1706,0.9476,Fir_06
30.9316,-46.5838,1.4038,0.8830,Fir_01
33.7039,-49.4355,0.9988,0.9133,Fir_04
41.5239,-49.8144,1.6757,0.8982,Fir_01
44.5546,-46.9967,2.8004,0.8563,Fir_01
49.1336,-49.3477,2.9909,0.9768,Fir_06
51.7314,-47.7621,3.8828,0.8788,Fir_04
54.2822,-50.1817,3.7100,0.9900,Fir_02
60.6765,-49.7591,4.9108,0.8780,Fir_06
63.7900,-48.0752,5.8601,0.8683,Fir_05
67.1158,-46.7763,6.7316,0.9022,Fir_03
71.4046,-48.1279,6.9286,0.9716,Fir_06
73.9793,-50.2886,6.7513,0.9910,Fir_02
79.1660,-47.9368,8.0030,0.8687,Fir_03
85.4056,-46.7378,9.1409,0.9001,Fir_02
88.0137,-46.5303,9.5480,0.9621,Fir_05
90.9087,-48.1976,9.5645,0.8871,Fir_05
96.2077,-49.5418,10.0528,0.8843,Fir_02
100.1101,-49.9726,10.5170,0.9708,Fir_03
104.6652,-46.4865,11.6937,0.9200,Fir_06
109.4268,-49.6753,11.6334,0.8817,Fir_04
111.5536,-47.4668,12.1481,0.9709,Fir_01
-112.3651,-43.4173,9.1366,0.9295,Fir_02
-108.1230,-45.5058,9.3381,0.8578,Fir_06
-105.5922,-45.0453,9.3975,0.8937,Fir_02
-98.9218,-44.4199,9.5636,0.9181,Fir_03
-95.7997,-42.3027,9.6047,0.9785,Fir_03
-93.7160,-42.5477,9.6532,0.9419,Fir_04
-84.5655,-42.7774,9.7666,0.9879,Fir_02
-12.1326,-44.8960,7.6148,0.8775,Fir_01
-10.0158,-42.5208,7.4713,0.9484,Fir_02
0.9925,-44.8751,5.6771,0.9132,Fir_04
28.8019,-43.5249,2.0638,0.9384,Fir_02
31.3561,-42.3408,2.4805,0.9789,Fir_04
35.2034,-44.6194,2.1424,0.9344,Fir_01
