# bake_hash=16583aa6
centerX,centerZ,baseY,topY,halfX,halfZ,yawDeg,profileName
120.0696,-55.9737,13.0735,16.2074,4.8107,2.9248,266.2000,pier
118.7654,-52.6267,24.0181,24.7581,0.9016,0.3436,266.2000,railing
119.4632,-52.3148,24.0181,24.7581,0.5441,0.3338,266.2000,railing
118.3281,-59.2115,24.0181,24.7581,0.8886,0.3436,266.2000,railing
118.9798,-59.5925,24.0181,24.7581,0.5441,0.3338,266.2000,railing
32.6985,-50.3503,13.0735,16.2074,4.8107,2.9248,266.2000,pier
34.0026,-53.6973,24.0181,24.7581,0.9016,0.3436,266.2000,railing
33.3048,-54.0092,24.0181,24.7581,0.5441,0.3338,266.2000,railing
34.4400,-47.1126,24.0181,24.7581,0.8886,0.3436,266.2000,railing
33.7882,-46.7315,24.0181,24.7581,0.5441,0.3338,266.2000,railing
107.6466,-58.1416,23.1431,30.8576,0.1052,0.1616,266.2000,railing
87.0602,-56.7742,23.1431,30.8695,0.1052,0.1616,266.2000,railing
65.9676,-55.3732,23.1431,30.8793,0.1052,0.1616,266.2000,railing
44.8749,-53.9723,23.1431,30.8764,0.1052,0.1616,266.2000,railing
107.6690,-57.8281,30.8295,31.3539,0.4830,0.3880,266.2000,railing
87.0512,-56.4587,30.8295,31.3539,0.4830,0.3791,266.2000,railing
66.0040,-55.0607,30.8568,31.3539,0.4830,0.3792,266.2000,railing
44.9054,-53.6594,30.8568,31.3539,0.4830,0.3534,266.2000,railing
76.3060,-55.8154,26.9346,27.2088,0.1749,36.7238,266.2000,railing
75.5140,-55.7907,23.0972,23.4972,0.2000,43.9749,266.2000,pier
115.2507,-58.4044,23.3233,27.1454,0.1465,2.6181,266.2000,railing
105.0352,-57.7259,23.3233,27.1454,0.1465,2.6181,266.2000,railing
94.7773,-57.0445,23.3233,27.1454,0.1465,2.6181,266.2000,railing
84.2734,-56.3469,23.3233,27.1454,0.1465,2.6181,266.2000,railing
73.7348,-55.6339,23.3233,27.1454,0.1465,2.6181,266.2000,railing
63.2532,-54.9507,23.3233,27.1454,0.1465,2.6181,266.2000,railing
52.7493,-54.2530,23.3233,27.1454,0.1465,2.6181,266.2000,railing
42.2106,-53.5400,23.3233,27.1454,0.1465,2.6181,266.2000,railing
110.1907,-58.0683,23.2719,27.0940,0.1465,2.6181,266.2000,railing
99.9752,-57.3898,23.2719,27.0940,0.1465,2.6181,266.2000,railing
89.7173,-56.7085,23.2719,27.0940,0.1465,2.6181,266.2000,railing
79.2134,-56.0108,23.2719,27.0940,0.1465,2.6181,266.2000,railing
68.6748,-55.2978,23.2719,27.0940,0.1465,2.6181,266.2000,railing
37.1507,-53.2040,23.2719,27.0940,0.1465,2.6181,266.2000,railing
47.6893,-53.9170,23.2719,27.0940,0.1465,2.6181,266.2000,railing
58.1932,-54.6146,23.2719,27.0940,0.1465,2.6181,266.2000,railing
112.7827,-58.2126,23.1869,27.0442,0.1465,0.0448,266.2000,railing
107.6975,-57.8749,23.1869,27.0442,0.1465,0.0448,266.2000,railing
102.5973,-57.5361,23.1869,27.0442,0.1465,0.0448,266.2000,railing
97.4738,-57.1958,23.1869,27.0442,0.1465,0.0448,266.2000,railing
92.3312,-56.8543,23.1869,27.0442,0.1465,0.0448,266.2000,railing
87.0409,-56.5029,23.1869,27.0442,0.1465,0.0448,266.2000,railing
81.7972,-56.1546,23.1869,27.0442,0.1465,0.0448,266.2000,railing
76.5725,-55.8076,23.1869,27.0442,0.1465,0.0448,266.2000,railing
71.2741,-55.4556,23.1869,27.0442,0.1465,0.0448,266.2000,railing
65.9907,-55.1047,23.1869,27.0442,0.1465,0.0448,266.2000,railing
60.7811,-54.7587,23.1869,27.0442,0.1465,0.0448,266.2000,railing
55.4908,-54.4073,23.1869,27.0442,0.1465,0.0448,266.2000,railing
50.2006,-54.0559,23.1869,27.0442,0.1465,0.0448,266.2000,railing
44.9377,-53.7064,23.1869,27.0442,0.1465,0.0448,266.2000,railing
39.7158,-53.3595,23.1869,27.0442,0.1465,0.0448,266.2000,railing
76.6565,-50.5384,26.9346,27.2088,0.1749,36.7238,266.2000,railing
75.8679,-50.4631,23.0972,23.4972,0.2000,43.9749,266.2000,pier
115.6017,-53.1197,23.3233,27.1454,0.1465,2.6181,266.2000,railing
105.3862,-52.4412,23.3233,27.1454,0.1465,2.6181,266.2000,railing
95.1283,-51.7599,23.3233,27.1454,0.1465,2.6181,266.2000,railing
84.6244,-51.0622,23.3233,27.1454,0.1465,2.6181,266.2000,railing
74.0858,-50.3492,23.3233,27.1454,0.1465,2.6181,266.2000,railing
63.6042,-49.6661,23.3233,27.1454,0.1465,2.6181,266.2000,railing
53.1003,-48.9684,23.3233,27.1454,0.1465,2.6181,266.2000,railing
42.5617,-48.2554,23.3233,27.1454,0.1465,2.6181,266.2000,railing
110.5417,-52.7837,23.2719,27.0940,0.1465,2.6181,266.2000,railing
100.3262,-52.1052,23.2719,27.0940,0.1465,2.6181,266.2000,railing
90.0683,-51.4238,23.2719,27.0940,0.1465,2.6181,266.2000,railing
79.5644,-50.7262,23.2719,27.0940,0.1465,2.6181,266.2000,railing
69.0258,-50.0131,23.2719,27.0940,0.1465,2.6181,266.2000,railing
37.5017,-47.9193,23.2719,27.0940,0.1465,2.6181,266.2000,railing
48.0403,-48.6323,23.2719,27.0940,0.1465,2.6181,266.2000,railing
58.5442,-49.3300,23.2719,27.0940,0.1465,2.6181,266.2000,railing
113.1337,-52.9280,23.1869,27.0442,0.1465,0.0448,266.2000,railing
108.0485,-52.5902,23.1869,27.0442,0.1465,0.0448,266.2000,railing
102.9483,-52.2515,23.1869,27.0442,0.1465,0.0448,266.2000,railing
97.8248,-51.9112,23.1869,27.0442,0.1465,0.0448,266.2000,railing
92.6822,-51.5696,23.1869,27.0442,0.1465,0.0448,266.2000,railing
87.3919,-51.2182,23.1869,27.0442,0.1465,0.0448,266.2000,railing
82.1482,-50.8699,23.1869,27.0442,0.1465,0.0448,266.2000,railing
76.9235,-50.5229,23.1869,27.0442,0.1465,0.0448,266.2000,railing
71.6251,-50.1710,23.1869,27.0442,0.1465,0.0448,266.2000,railing
66.3417,-49.8201,23.1869,27.0442,0.1465,0.0448,266.2000,railing
61.1321,-49.4741,23.1869,27.0442,0.1465,0.0448,266.2000,railing
55.8419,-49.1227,23.1869,27.0442,0.1465,0.0448,266.2000,railing
50.5516,-48.7713,23.1869,27.0442,0.1465,0.0448,266.2000,railing
45.2887,-48.4217,23.1869,27.0442,0.1465,0.0448,266.2000,railing
40.0668,-48.0749,23.1869,27.0442,0.1465,0.0448,266.2000,railing
76.1798,-55.4646,24.1363,25.3515,0.0546,41.6700,266.2000,railing
117.7677,-58.3521,23.2421,24.9840,0.1796,0.0549,266.2000,railing
34.6335,-52.8303,23.2421,24.9840,0.1796,0.0549,266.2000,railing
76.1918,-55.4771,24.1357,25.3121,0.0002,41.6286,266.2000,railing
76.5428,-50.8521,24.1098,25.3516,0.0558,41.6862,266.2000,railing
34.9478,-47.9653,23.2421,24.9892,0.1796,0.0317,266.2000,railing
118.1173,-53.4894,23.2421,24.9892,0.1796,0.0317,266.2000,railing
76.5003,-50.8321,24.1357,25.3121,0.0002,41.6286,266.2000,railing
76.5206,-50.9655,23.0611,24.0071,0.2064,41.7131,266.2000,railing
76.2285,-55.3638,23.0611,24.0071,0.2064,41.7131,266.2000,railing
76.4179,-53.1712,23.0791,23.2322,3.0856,36.7124,266.2000,pier
