# bake_hash=aac1e956
centerX,centerZ,baseY,topY,halfX,halfZ,yawDeg,profileName
-94.1632,-36.3563,24.3829,26.3814,0.1462,4.2661,81.3100,railing
-94.5824,-39.0991,24.3829,26.3814,0.1462,4.2661,81.3100,railing
-94.1010,-36.4137,24.3386,24.5386,0.1000,4.4938,81.3100,pier
-94.5044,-39.0528,24.3386,24.5386,0.1000,4.4938,81.3100,pier
-98.7985,-37.0952,19.3215,25.1638,2.5790,0.2989,81.3100,railing
-89.9465,-38.3709,19.3268,25.1691,2.5790,0.2989,81.3100,railing
-95.4772,-37.5929,19.3330,24.3361,2.5790,0.1722,81.3100,pier
-93.3426,-37.9192,19.3330,24.3361,2.5790,0.1722,81.3100,pier
-94.1881,-36.5241,24.4111,25.4658,0.0898,4.2620,81.3100,railing
-94.5564,-38.9337,24.4111,25.4658,0.0898,4.2620,81.3100,railing
-94.1831,-36.4153,26.2573,26.3944,0.0874,3.7528,81.3100,railing
-94.5826,-39.0292,26.2573,26.3944,0.0874,3.7528,81.3100,railing
93.3953,179.9238,26.4729,28.4715,0.1462,7.9228,42.0000,railing
91.3333,178.0672,26.4729,28.4715,0.1462,7.9228,42.0000,railing
93.4473,179.7954,26.4286,26.6286,0.1000,8.3456,42.0000,pier
91.4633,178.0090,26.4286,26.6286,0.1000,8.3456,42.0000,pier
86.7768,185.1362,21.4115,27.2538,2.5790,0.5551,42.0000,railing
97.9469,172.8448,21.4168,27.2591,2.5790,0.5551,42.0000,railing
90.9574,180.5078,21.4230,26.4261,2.5790,0.3198,42.0000,pier
93.6408,177.5276,21.4230,26.4261,2.5790,0.3198,42.0000,pier
93.2702,179.8093,26.5011,27.5558,0.0898,7.9151,42.0000,railing
91.4587,178.1783,26.5011,27.5558,0.0898,7.9151,42.0000,railing
93.3364,179.8977,28.3473,28.4844,0.0874,6.9695,42.0000,railing
91.3713,178.1283,28.3473,28.4844,0.0874,6.9695,42.0000,railing
