# bake_hash=5e91fee7
centerX,centerZ,baseY,topY,halfX,halfZ,yawDeg,profileName
-134.1375,-43.4047,6.8958,10.8929,0.2924,10.0559,16.9500,railing
-139.4456,-45.0225,6.8958,10.8929,0.2924,10.0559,16.9500,railing
-134.1798,-43.5904,6.8072,7.2072,0.2000,10.5925,16.9500,pier
-139.2872,-45.1470,6.8072,7.2072,0.2000,10.5925,16.9500,pier
-139.9466,-34.1592,-3.2270,8.4576,5.1580,0.7045,16.9500,railing
-133.6548,-54.2791,-3.2165,8.4681,5.1580,0.7045,16.9500,railing
-137.6200,-41.7258,-3.2041,6.8021,5.1580,0.4059,16.9500,pier
-136.1361,-46.5946,-3.2041,6.8021,5.1580,0.4059,16.9500,pier
-134.4614,-43.5052,6.9521,9.0615,0.1796,10.0461,16.9500,railing
-139.1248,-44.9265,6.9521,9.0615,0.1796,10.0461,16.9500,railing
-134.2620,-43.4161,10.6446,10.9188,0.1749,8.8459,16.9500,railing
-139.3209,-44.9579,10.6446,10.9188,0.1749,8.8459,16.9500,railing
