# bake_hash=892f9aba
worldX,worldZ,baseY,scale,profileName
-109.2129,-167.4156,4.0620,0.9760,Mesh_Metasequoia
-105.6191,-171.5850,4.2787,1.0754,MESH_JapaneseBlack_01_Var1
-100.2383,-172.5375,5.9083,1.0209,Mesh_Metasequoia
-94.9949,-172.9756,7.5143,1.0947,Mesh_Metasequoia
-89.3179,-172.0221,9.1521,1.0393,MESH_JapaneseBlack_01_Var1
-55.3853,-172.0331,8.6076,0.9910,MESH_JapaneseBlack_01_Var1
-49.9677,-168.5166,7.0931,1.0492,MESH_JapaneseBlack_01_Var1
-47.9196,-170.0475,6.2236,0.9144,MESH_JapaneseBlack_01_Var1
-38.0122,-169.4238,3.0211,0.9472,MESH_ScottishPine_01
-33.7056,-173.3217,1.2105,1.0462,Mesh_Metasequoia
-25.3334,-170.1860,0.8928,1.0498,Mesh_Metasequoia
-24.9201,-173.0827,0.0968,0.8736,MESH_JapaneseBlack_01_Var1
-17.1488,-172.8404,0.3230,1.1054,Mesh_Metasequoia
-13.1889,-168.8960,1.7699,1.1233,MESH_ScottishPine_01
-6.7667,-172.9376,0.5160,0.8982,MESH_JapaneseBlack_01_Var1
3.0297,-172.7023,1.1408,0.9186,MESH_JapaneseBlack_01
10.5364,-170.6423,2.8696,0.8839,MESH_ScottishPine_01
12.8183,-172.9648,4.0480,1.1369,MESH_ScottishPine_01
17.7632,-171.4345,5.8746,0.9227,MESH_JapaneseBlack_01_Var1
27.4282,-168.8090,9.5537,0.9162,Mesh_Metasequoia
33.7904,-171.2194,13.1243,1.0073,Mesh_Metasequoia
40.2041,-170.9246,15.8907,1.1182,MESH_ScottishPine_01
-111.2949,-163.8442,4.6876,0.8525,MESH_ScottishPine_01
-107.1542,-161.8571,6.3582,1.0280,MESH_ScottishPine_01
-101.1509,-166.5854,6.6294,1.0571,MESH_JapaneseBlack_01_Var1
-94.3759,-166.1360,8.6897,0.8882,Mesh_Metasequoia
-90.5848,-163.9901,9.9803,0.9154,MESH_ScottishPine_01
-52.6592,-165.7216,8.2690,1.1370,MESH_ScottishPine_01
-44.1416,-164.7750,5.9995,1.0718,MESH_ScottishPine_01
-38.1984,-164.8836,4.4302,1.0463,MESH_JapaneseBlack_01_Var1
-32.4601,-161.6443,5.2556,0.9560,MESH_JapaneseBlack_01_Var1
-30.7048,-161.8658,5.0533,0.9861,MESH_JapaneseBlack_01_Var1
-23.8151,-165.0488,3.2358,1.0601,MESH_ScottishPine_01
-14.4570,-161.8903,5.6573,1.0735,MESH_ScottishPine_01
-12.0542,-163.4500,4.6061,1.1076,MESH_JapaneseBlack_01
-3.2098,-162.0101,4.6018,1.1261,Mesh_Metasequoia
-0.4746,-167.3405,1.9445,0.9808,Mesh_Metasequoia
5.4216,-165.6066,2.1541,1.0633,Mesh_Metasequoia
17.3929,-163.3857,3.7414,0.9854,MESH_JapaneseBlack_01
28.6186,-162.3092,8.7750,1.1246,MESH_ScottishPine_01
35.6762,-166.6102,13.1974,0.9681,Mesh_Metasequoia
43.3764,-166.2946,16.7645,0.9893,Mesh_Metasequoia
47.8005,-166.0745,18.3150,0.9348,MESH_ScottishPine_01
-109.3706,-160.3913,6.4527,0.8865,Mesh_Metasequoia
-105.1283,-158.3424,8.0808,0.9600,MESH_JapaneseBlack_01_Var1
-98.2981,-155.7777,10.1340,0.9618,MESH_JapaneseBlack_01_Var1
-97.1064,-156.2330,10.2321,0.9920,MESH_JapaneseBlack_01_Var1
-52.2732,-155.4435,10.5497,1.0358,MESH_ScottishPine_01
-43.6049,-158.2363,8.5091,1.0877,MESH_JapaneseBlack_01_Var1
-42.0423,-156.2854,9.4223,0.9168,MESH_JapaneseBlack_01
-33.8651,-161.2723,5.5737,1.1334,MESH_JapaneseBlack_01_Var1
-30.1115,-158.5391,7.3607,0.9698,MESH_JapaneseBlack_01_Var1
-23.2056,-158.1670,8.0545,0.9769,Mesh_Metasequoia
-16.9251,-158.7585,7.8869,0.9252,MESH_ScottishPine_01
-10.5407,-156.9164,8.9363,0.9788,MESH_JapaneseBlack_01_Var1
-3.8195,-159.7818,6.0029,1.1455,Mesh_Metasequoia
3.1699,-157.9845,4.9611,1.1418,MESH_JapaneseBlack_01_Var1
10.1267,-157.4756,2.8405,1.0944,Mesh_Metasequoia
10.8659,-158.0827,2.6252,0.8596,MESH_JapaneseBlack_01_Var1
27.4834,-160.2500,7.8905,1.0758,MESH_ScottishPine_01
33.3180,-156.7596,11.1009,1.0926,MESH_JapaneseBlack_01_Var1
40.6083,-161.3032,15.2116,1.1235,MESH_ScottishPine_01
43.5300,-161.2783,16.6418,1.0789,Mesh_Metasequoia
51.7546,-157.0617,19.6724,1.0675,MESH_ScottishPine_01
-109.4075,-153.9144,9.2548,0.9374,MESH_ScottishPine_01
-107.9655,-154.3632,9.2140,0.9145,MESH_ScottishPine_01
-102.8548,-152.5265,10.3944,0.9382,Mesh_Metasequoia
-51.6487,-149.8789,12.5316,0.9713,Mesh_Metasequoia
-46.2403,-152.4331,11.7219,0.8940,MESH_JapaneseBlack_01_Var1
-41.3072,-153.9762,10.8288,0.9460,MESH_ScottishPine_01
-34.6104,-154.8795,10.0817,0.9497,Mesh_Metasequoia
-25.6255,-153.8901,11.3030,1.0312,MESH_ScottishPine_01
-19.8394,-152.4944,12.6004,0.8652,MESH_ScottishPine_01
-18.3502,-150.5285,13.9732,1.0132,Mesh_Metasequoia
-7.3029,-154.0451,10.3756,1.0666,MESH_JapaneseBlack_01_Var1
-6.8459,-152.4327,11.2848,0.9653,MESH_JapaneseBlack_01_Var1
4.3918,-154.7531,5.7857,1.0903,MESH_JapaneseBlack_01_Var1
5.2026,-154.0888,5.6418,1.0141,MESH_JapaneseBlack_01
12.8414,-154.2517,2.6985,0.9296,MESH_JapaneseBlack_01_Var1
16.8541,-149.5233,3.0277,0.8527,MESH_JapaneseBlack_01_Var1
25.8213,-152.4552,6.6778,1.0591,MESH_JapaneseBlack_01_Var1
30.0347,-155.3271,9.1817,1.0095,MESH_JapaneseBlack_01
37.4072,-155.0204,13.4789,1.0396,MESH_JapaneseBlack_01_Var1
45.5138,-153.4614,17.6956,0.8679,MESH_ScottishPine_01
52.3386,-150.8970,19.9932,1.0078,MESH_JapaneseBlack_01_Var1
-45.5342,-148.4170,13.9328,1.0956,Mesh_Metasequoia
-38.0294,-147.7534,15.2348,1.0661,MESH_JapaneseBlack_01
-34.3638,-143.7432,18.2158,1.1334,MESH_JapaneseBlack_01
-26.6914,-148.1021,15.7206,1.0942,MESH_JapaneseBlack_01_Var1
-23.7557,-149.3654,14.8705,0.8950,MESH_ScottishPine_01
-18.8978,-145.2300,17.3461,1.1057,MESH_ScottishPine_01
-8.4614,-143.4835,16.3743,0.9679,MESH_JapaneseBlack_01_Var1
-4.6095,-147.6481,13.2526,1.0981,MESH_ScottishPine_01
-1.1519,-143.8624,13.4215,1.0097,MESH_JapaneseBlack_01
12.0761,-144.5690,4.8310,0.9169,MESH_JapaneseBlack_01_Var1
