# bake_hash=38a897b6
centerX,centerZ,baseY,topY,halfX,halfZ,yawDeg,profileName
-90.3644,-128.8962,-1.3820,1.9992,4.8107,1.5670,4.5300,pier
-93.6190,-129.0085,9.6998,10.4673,0.9016,0.2010,4.5300,railing
-94.0013,-128.7088,9.6702,10.4368,0.5441,0.1962,4.5300,railing
-87.0403,-128.4873,9.6998,10.4673,0.8886,0.2010,4.5300,railing
-86.7303,-128.1327,9.6702,10.4368,0.5441,0.1962,4.5300,railing
-86.8734,-171.0818,5.5288,13.5555,4.3183,1.5306,4.5300,railing
-86.8179,-171.3885,2.5135,5.8947,4.8107,1.5670,4.5300,pier
-83.7034,-169.5080,13.4598,14.2273,0.9016,0.2010,4.5300,railing
-83.3211,-169.8078,13.4903,14.2569,0.5441,0.1962,4.5300,railing
-90.2821,-170.0292,13.4598,14.2273,0.8886,0.2010,4.5300,railing
-90.5921,-170.3838,13.4903,14.2569,0.5441,0.1962,4.5300,railing
-87.0049,-133.4877,9.3139,17.0107,0.1052,0.4296,4.5300,railing
-86.2113,-143.5039,10.2319,17.9407,0.1052,0.4302,4.5300,railing
-85.3982,-153.7665,11.1725,18.8909,0.1052,0.4306,4.5300,railing
-84.5851,-164.0297,12.1131,19.8286,0.1052,0.4305,4.5300,railing
-87.3476,-133.1407,16.9583,17.5150,0.4830,0.2128,4.5300,railing
-86.5528,-143.1727,17.8781,18.4340,0.4830,0.2085,4.5300,railing
-85.7415,-153.4124,18.8438,19.3726,0.4830,0.2073,4.5300,railing
-84.9282,-163.6784,19.7858,20.3123,0.4830,0.1947,4.5300,railing
-86.0398,-148.7578,12.8611,16.4022,0.1749,17.8978,4.5300,railing
-85.9544,-149.4824,8.7522,13.0638,0.2000,21.4350,4.5300,pier
-87.5257,-129.9748,9.0525,13.0781,0.1465,1.1114,4.5300,railing
-87.1319,-134.9454,9.5080,13.5336,0.1465,1.1114,4.5300,railing
-86.7364,-139.9366,9.9654,13.9910,0.1465,1.1114,4.5300,railing
-86.3315,-145.0475,10.4338,14.4594,0.1465,1.1114,4.5300,railing
-85.9382,-150.1767,10.9038,14.9294,0.1465,1.1114,4.5300,railing
-85.5212,-155.2753,11.3711,15.3968,0.1465,1.1114,4.5300,railing
-85.1162,-160.3862,11.8395,15.8651,0.1465,1.1114,4.5300,railing
-84.7229,-165.5154,12.3095,16.3351,0.1465,1.1114,4.5300,railing
-87.3303,-132.4415,9.4463,13.0332,0.1465,1.4388,4.5300,railing
-86.9364,-137.4121,9.9019,13.4887,0.1466,1.4388,4.5300,railing
-86.5410,-142.4033,10.3593,13.9461,0.1465,1.4388,4.5300,railing
-86.1361,-147.5142,10.8277,14.4145,0.1465,1.4388,4.5300,railing
-85.7427,-152.6434,11.2977,14.8845,0.1465,1.4388,4.5300,railing
-84.5275,-167.9821,12.7034,16.2902,0.1465,1.4388,4.5300,railing
-84.9208,-162.8529,12.2334,15.8202,0.1465,1.4388,4.5300,railing
-85.3257,-157.7420,11.7650,15.3518,0.1465,1.4388,4.5300,railing
-87.4573,-131.1895,9.1345,12.9798,0.1465,0.1973,4.5300,railing
-87.2613,-133.6638,9.3612,13.2065,0.1465,0.1973,4.5300,railing
-87.0646,-136.1455,9.5887,13.4340,0.1466,0.1973,4.5300,railing
-86.8671,-138.6384,9.8171,13.6624,0.1465,0.1973,4.5300,railing
-86.6689,-141.1407,10.0464,13.8917,0.1466,0.1973,4.5300,railing
-86.4649,-143.7147,10.2823,14.1276,0.1466,0.1973,4.5300,railing
-86.2628,-146.2662,10.5162,14.3615,0.1466,0.1973,4.5300,railing
-86.0614,-148.8083,10.7492,14.5944,0.1465,0.1973,4.5300,railing
-85.8571,-151.3864,10.9854,14.8307,0.1466,0.1973,4.5300,railing
-85.6534,-153.9572,11.2210,15.0663,0.1466,0.1973,4.5300,railing
-85.4526,-156.4920,11.4533,15.2986,0.1465,0.1973,4.5300,railing
-85.2487,-159.0661,11.6892,15.5345,0.1465,0.1973,4.5300,railing
-85.0447,-161.6402,11.9251,15.7704,0.1466,0.1973,4.5300,railing
-84.8418,-164.2010,12.1598,16.0051,0.1466,0.1973,4.5300,railing
-84.6405,-166.7418,12.3927,16.2380,0.1465,0.1973,4.5300,railing
-91.3119,-149.1755,12.8611,16.4022,0.1749,17.8978,4.5300,railing
-91.2771,-149.9041,8.7522,13.0638,0.2000,21.4350,4.5300,pier
-92.8054,-130.3931,9.0525,13.0781,0.1465,1.1114,4.5300,railing
-92.4116,-135.3637,9.5080,13.5336,0.1465,1.1114,4.5300,railing
-92.0162,-140.3549,9.9654,13.9910,0.1465,1.1114,4.5300,railing
-91.6112,-145.4658,10.4338,14.4594,0.1465,1.1114,4.5300,railing
-91.2179,-150.5950,10.9038,14.9294,0.1465,1.1114,4.5300,railing
-90.8009,-155.6936,11.3711,15.3968,0.1465,1.1114,4.5300,railing
-90.3960,-160.8045,11.8395,15.8651,0.1465,1.1114,4.5300,railing
-90.0026,-165.9337,12.3095,16.3351,0.1465,1.1114,4.5300,railing
-92.6100,-132.8598,9.4463,13.0332,0.1466,1.4388,4.5300,railing
-92.2162,-137.8304,9.9019,13.4887,0.1465,1.4388,4.5300,railing
-91.8207,-142.8216,10.3593,13.9461,0.1466,1.4388,4.5300,railing
-91.4158,-147.9325,10.8277,14.4145,0.1466,1.4388,4.5300,railing
-91.0225,-153.0617,11.2977,14.8845,0.1466,1.4388,4.5300,railing
-89.8072,-168.4005,12.7034,16.2902,0.1466,1.4388,4.5300,railing
-90.2005,-163.2712,12.2334,15.8202,0.1466,1.4388,4.5300,railing
-90.6055,-158.1603,11.7650,15.3518,0.1466,1.4388,4.5300,railing
-92.7370,-131.6078,9.1345,12.9798,0.1466,0.1973,4.5300,railing
-92.5410,-134.0822,9.3612,13.2065,0.1466,0.1973,4.5300,railing
-92.3444,-136.5638,9.5887,13.4340,0.1466,0.1973,4.5300,railing
-92.1469,-139.0567,9.8171,13.6624,0.1466,0.1973,4.5300,railing
-91.9486,-141.5590,10.0464,13.8917,0.1466,0.1973,4.5300,railing
-91.7447,-144.1330,10.2823,14.1276,0.1466,0.1973,4.5300,railing
-91.5425,-146.6845,10.5162,14.3615,0.1466,0.1973,4.5300,railing
-91.3411,-149.2267,10.7492,14.5944,0.1466,0.1973,4.5300,railing
-91.1369,-151.8047,10.9854,14.8307,0.1465,0.1973,4.5300,railing
-90.9332,-154.3755,11.2210,15.0663,0.1466,0.1973,4.5300,railing
-90.7324,-156.9103,11.4533,15.2986,0.1466,0.1973,4.5300,railing
-90.5284,-159.4844,11.6892,15.5345,0.1466,0.1973,4.5300,railing
-90.3245,-162.0585,11.9251,15.7704,0.1466,0.1973,4.5300,railing
-90.1216,-164.6193,12.1598,16.0051,0.1465,0.1973,4.5300,railing
-89.9203,-167.1601,12.3927,16.2380,0.1466,0.1973,4.5300,railing
-86.3579,-149.0683,9.8610,14.7793,0.0546,20.3495,4.5300,railing
-87.8324,-128.8762,8.9673,10.7068,0.1796,0.1060,4.5300,railing
-84.6275,-169.3269,12.6744,14.4140,0.1796,0.1060,4.5300,railing
-86.3467,-149.0630,9.8617,14.7376,0.0003,20.3276,4.5300,railing
-90.9720,-149.4075,9.8314,14.7775,0.0558,20.3586,4.5300,railing
-89.4871,-169.7159,12.6758,14.4185,0.1796,0.0949,4.5300,railing
-92.6934,-129.2481,8.9671,10.7098,0.1796,0.0949,4.5300,railing
-90.9874,-149.4307,9.8617,14.7376,0.0003,20.3276,4.5300,railing
-90.8485,-149.5141,8.7865,13.4405,0.2064,20.3583,4.5300,railing
-86.4543,-149.1659,8.7865,13.4405,0.2064,20.3583,4.5300,railing
-88.6467,-149.3528,9.0250,12.4444,3.0856,17.8867,4.5300,pier
-54.2395,-36.3921,1.4149,4.6366,4.8107,1.4786,306.0000,pier
-56.5077,-34.0188,12.4168,13.1670,0.9016,0.1795,306.0000,railing
-56.4507,-33.5355,12.4066,13.1565,0.5441,0.1747,306.0000,railing
-52.6288,-39.3577,12.4168,13.1670,0.8886,0.1795,306.0000,railing
-52.1635,-39.4363,12.4066,13.1565,0.5441,0.1747,306.0000,railing
-88.7571,-61.6923,2.7523,5.9741,4.8107,1.4786,306.0000,pier
-85.9962,-63.7076,13.7077,14.4579,0.9016,0.1795,306.0000,railing
-86.0533,-64.1909,13.7182,14.4681,0.5442,0.1747,306.0000,railing
-89.8752,-58.3687,13.7077,14.4579,0.8886,0.1795,306.0000,railing
-90.3404,-58.2901,13.7182,14.4681,0.5441,0.1747,306.0000,railing
-57.0170,-42.1014,11.7090,19.4246,0.1052,0.1995,306.0000,railing
-65.1758,-48.0291,12.0241,19.7517,0.1052,0.1997,306.0000,railing
-73.5353,-54.1027,12.3471,20.0844,0.1052,0.1998,306.0000,railing
-81.8950,-60.1763,12.6700,20.4044,0.1052,0.1998,306.0000,railing
-57.0977,-41.7716,19.3881,19.9241,0.4830,0.1978,306.0000,railing
-65.2691,-47.7085,19.7039,20.2396,0.4830,0.1935,306.0000,railing
-73.6104,-53.7688,20.0534,20.5619,0.4830,0.1931,306.0000,railing
-81.9724,-59.8441,20.3768,20.8845,0.4830,0.1805,306.0000,railing
-69.5862,-50.9319,15.4201,16.8162,0.1749,17.9553,306.0000,railing
-69.9783,-51.2513,11.4859,13.2292,0.2000,21.5017,306.0000,pier
-54.1963,-39.7533,11.7377,15.6332,0.1465,1.2236,306.0000,railing
-58.2450,-42.6949,11.8941,15.7896,0.1465,1.2236,306.0000,railing
-62.3105,-45.6486,12.0511,15.9466,0.1465,1.2236,306.0000,railing
-66.4735,-48.6732,12.2119,16.1075,0.1465,1.2236,306.0000,railing
-70.6582,-51.6975,12.3733,16.2688,0.1465,1.2236,306.0000,railing
-74.8044,-54.7260,12.5337,16.4293,0.1465,1.2236,306.0000,railing
-78.9674,-57.7506,12.6945,16.5901,0.1465,1.2236,306.0000,railing
-83.1522,-60.7749,12.8559,16.7514,0.1465,1.2236,306.0000,railing
-56.2030,-41.2113,11.8391,15.5840,0.1465,1.3360,306.0000,railing
-60.2517,-44.1528,11.9955,15.7404,0.1465,1.3360,306.0000,railing
-64.3172,-47.1066,12.1526,15.8974,0.1465,1.3360,306.0000,railing
-68.4802,-50.1312,12.3134,16.0583,0.1465,1.3360,306.0000,railing
-72.6650,-53.1555,12.4747,16.2196,0.1465,1.3360,306.0000,railing
-85.1589,-62.2329,12.9574,16.7022,0.1465,1.3360,306.0000,railing
-80.9741,-59.2085,12.7960,16.5409,0.1465,1.3360,306.0000,railing
-76.8111,-56.1839,12.6352,16.3801,0.1465,1.3360,306.0000,railing
-55.1945,-40.4442,11.6761,15.5329,0.1465,0.0821,306.0000,railing
-57.2099,-41.9085,11.7540,15.6108,0.1465,0.0821,306.0000,railing
-59.2313,-43.3771,11.8321,15.6889,0.1465,0.0821,306.0000,railing
