# bake_hash=900f5473
worldX,worldZ,baseY,scale,profileName
-225.1129,-214.3656,8.6136,0.9760,Mesh_Metasequoia
-218.6485,-215.8430,8.8990,0.9981,MESH_JapaneseBlack_01_Var1
-207.4523,-216.9319,9.9708,0.9603,MESH_JapaneseBlack_01_Var1
-201.2482,-215.4556,10.8082,0.9441,Mesh_Metasequoia
-199.0402,-216.5643,10.9754,0.9513,MESH_JapaneseBlack_01_Var1
-191.2801,-218.1441,11.8759,0.9556,MESH_ScottishPine_01
-188.7102,-214.5353,12.2432,0.9060,MESH_JapaneseBlack_01_Var1
-181.7835,-215.1178,12.9708,0.8959,Mesh_Metasequoia
-175.1887,-219.0696,13.5484,0.9596,MESH_ScottishPine_01
-166.9311,-215.1622,13.0608,1.0265,MESH_ScottishPine_01
-164.8980,-216.8556,12.8870,1.0805,MESH_JapaneseBlack_01
-156.9573,-214.4834,11.0518,1.0724,MESH_ScottishPine_01
-148.8544,-220.0701,8.9132,0.9193,MESH_JapaneseBlack_01
-141.2670,-218.2988,6.7194,1.1193,MESH_JapaneseBlack_01_Var1
-140.4805,-220.3389,6.6132,1.0449,Mesh_Metasequoia
-134.3207,-219.9167,5.2665,0.8869,MESH_JapaneseBlack_01_Var1
-124.4679,-216.1203,3.6860,0.8584,MESH_JapaneseBlack_01_Var1
-120.2046,-214.6136,3.3348,1.0098,MESH_JapaneseBlack_01_Var1
-115.6501,-218.3317,3.2200,0.9962,MESH_JapaneseBlack_01_Var1
-109.4686,-219.3868,3.1189,0.9360,MESH_JapaneseBlack_01_Var1
-102.9823,-215.7218,3.3431,1.0711,Mesh_Metasequoia
-98.9090,-215.3596,3.5449,1.1071,MESH_JapaneseBlack_01_Var1
-91.3905,-214.9459,3.9306,1.0242,MESH_JapaneseBlack_01_Var1
-87.0841,-214.7677,4.0225,0.8507,MESH_JapaneseBlack_01
-81.0034,-215.0565,3.7434,1.0854,MESH_ScottishPine_01
-70.4988,-214.7742,2.1321,1.0580,MESH_JapaneseBlack_01_Var1
-63.2839,-215.8823,0.8884,1.1142,Mesh_Metasequoia
-63.0961,-214.7113,0.8530,1.0922,MESH_JapaneseBlack_01_Var1
-53.1949,-216.7942,0.0985,0.8525,MESH_ScottishPine_01
-49.0542,-214.8071,0.2013,1.0280,MESH_ScottishPine_01
-43.0509,-219.5354,0.1838,1.0571,MESH_JapaneseBlack_01_Var1
-36.2758,-219.0860,0.4733,0.8882,Mesh_Metasequoia
-32.4848,-216.9402,0.7606,0.9154,MESH_ScottishPine_01
-23.8582,-219.6891,0.8498,1.0819,MESH_ScottishPine_01
-20.7228,-217.0439,1.0500,1.0916,MESH_JapaneseBlack_01_Var1
-12.5592,-218.6717,1.1355,1.1370,MESH_ScottishPine_01
-4.0416,-217.7251,1.2808,1.0718,MESH_ScottishPine_01
1.9016,-217.8336,1.4098,1.0463,MESH_JapaneseBlack_01_Var1
7.6399,-214.5943,1.6731,0.9560,MESH_JapaneseBlack_01_Var1
9.3952,-214.8158,1.7734,0.9861,MESH_JapaneseBlack_01_Var1
16.2849,-217.9988,2.3393,1.0601,MESH_ScottishPine_01
25.6430,-214.8403,3.5475,1.0735,MESH_ScottishPine_01
28.0458,-216.4000,3.9092,1.1076,MESH_JapaneseBlack_01
36.8902,-214.9602,5.1295,1.1261,Mesh_Metasequoia
39.6254,-220.2905,5.5647,0.9808,Mesh_Metasequoia
45.5216,-218.5566,6.1235,1.0633,Mesh_Metasequoia
53.9066,-214.9796,6.7578,1.0507,MESH_JapaneseBlack_01_Var1
59.6072,-216.0377,7.1621,1.1045,Mesh_Metasequoia
68.3919,-214.9526,7.8405,1.1054,MESH_JapaneseBlack_01_Var1
69.6898,-214.7371,7.9421,1.0727,MESH_JapaneseBlack_01_Var1
133.8239,-219.3920,6.9466,1.1286,Mesh_Metasequoia
137.3780,-215.5144,6.6528,1.0464,MESH_JapaneseBlack_01_Var1
142.6400,-214.5206,6.1132,1.1216,MESH_JapaneseBlack_01_Var1
148.5894,-216.2784,5.4419,0.9792,MESH_ScottishPine_01
155.9138,-215.4482,4.8421,0.9808,Mesh_Metasequoia
159.2668,-220.2564,4.5167,0.8772,Mesh_Metasequoia
168.1972,-215.2492,4.2502,1.0242,MESH_ScottishPine_01
174.3969,-217.4515,4.0986,1.1227,MESH_JapaneseBlack_01_Var1
182.4579,-214.6775,4.0506,0.9963,MESH_ScottishPine_01
186.6528,-216.6348,4.0068,1.1298,MESH_ScottishPine_01
190.1209,-215.5968,3.9898,0.9079,Mesh_Metasequoia
207.0277,-217.9656,3.8603,0.8892,Mesh_Metasequoia
215.7609,-217.7108,4.0205,1.0262,MESH_JapaneseBlack_01_Var1
222.1330,-215.5591,4.3735,1.0302,MESH_JapaneseBlack_01_Var1
227.5414,-217.0088,4.7139,0.9848,MESH_JapaneseBlack_01_Var1
-226.6165,-211.6984,9.0136,1.1286,MESH_JapaneseBlack_01_Var1
-223.4818,-209.8060,9.5704,0.9637,Mesh_Metasequoia
-215.6845,-212.1889,9.7685,1.0600,Mesh_Metasequoia
-202.2112,-212.0407,10.9933,1.0159,MESH_JapaneseBlack_01
