# bake_hash=0a71acff
worldX,worldZ,baseY,scale,profileName
-96.4056,-163.3773,15.5293,0.9189,MESH_JapaneseBlack_01_Var1
-91.5143,-166.1456,15.0261,1.1066,MESH_JapaneseBlack_01_Var1
-87.0942,-164.5729,14.2421,0.9287,MESH_JapaneseBlack_01_Var1
-77.4853,-167.4332,12.4172,0.9910,MESH_JapaneseBlack_01_Var1
-72.0678,-163.9166,10.8111,1.0492,MESH_JapaneseBlack_01_Var1
-70.0196,-165.4476,10.5280,0.9144,MESH_JapaneseBlack_01_Var1
-60.1122,-164.8238,8.2875,0.9472,MESH_ScottishPine_01
-55.8056,-168.7217,7.6568,1.0462,Mesh_Metasequoia
-47.4334,-165.5860,5.2200,1.0498,Mesh_Metasequoia
-47.0201,-168.4828,5.3213,0.8736,MESH_JapaneseBlack_01_Var1
-39.2488,-168.2404,3.0582,1.1054,Mesh_Metasequoia
-35.2889,-164.2960,1.7555,1.1233,MESH_ScottishPine_01
-28.8668,-168.3376,0.5737,0.8982,MESH_JapaneseBlack_01_Var1
-17.1314,-167.4273,0.2993,1.1368,MESH_ScottishPine_01
-8.1046,-168.1228,1.9604,0.9509,MESH_JapaneseBlack_01_Var1
-2.3765,-163.0613,3.4523,0.8982,MESH_JapaneseBlack_01_Var1
8.8177,-164.1718,6.1120,1.0711,Mesh_Metasequoia
40.1843,-163.4370,12.1088,1.1291,MESH_JapaneseBlack_01
48.7966,-163.5065,14.0342,1.0854,MESH_ScottishPine_01
59.3012,-163.2242,16.8159,1.0580,MESH_JapaneseBlack_01_Var1
66.5161,-164.3323,18.5956,1.1142,Mesh_Metasequoia
66.7039,-163.1613,18.7977,1.0922,MESH_JapaneseBlack_01_Var1
89.6677,-166.7542,22.2541,0.9975,Mesh_Metasequoia
96.4228,-166.7509,21.7578,0.9476,MESH_JapaneseBlack_01_Var1
98.0582,-165.9758,21.5082,1.1442,MESH_JapaneseBlack_01_Var1
105.4236,-168.1848,20.3659,1.0511,MESH_ScottishPine_01
-95.7658,-160.4921,15.4396,0.9363,MESH_JapaneseBlack_01_Var1
-92.9488,-158.4873,14.9997,1.1173,MESH_ScottishPine_01
-83.7903,-159.6810,13.1716,1.0909,Mesh_Metasequoia
-79.3500,-162.6573,12.3849,1.0333,Mesh_Metasequoia
-71.9102,-157.2147,9.9255,1.0664,Mesh_Metasequoia
-71.2405,-157.5338,9.8083,0.8810,MESH_JapaneseBlack_01_Var1
-63.5066,-157.6152,8.0906,1.1089,MESH_ScottishPine_01
-53.9296,-162.2071,6.5642,0.8614,MESH_ScottishPine_01
-48.9877,-156.9814,4.6776,1.0022,Mesh_Metasequoia
-41.9026,-160.6682,3.2185,0.8938,Mesh_Metasequoia
-35.6871,-160.4385,1.5913,0.9788,Mesh_Metasequoia
-29.3511,-160.0132,0.4004,0.9000,MESH_ScottishPine_01
-26.2150,-161.1035,0.1205,1.0862,MESH_ScottishPine_01
-22.9751,-157.9469,0.0886,0.9405,Mesh_Metasequoia
-13.9429,-160.6716,0.9723,0.8979,Mesh_Metasequoia
-5.7288,-162.3055,2.6630,1.0918,MESH_JapaneseBlack_01_Var1
-1.3723,-162.6419,3.7069,1.1415,MESH_JapaneseBlack_01_Var1
6.1320,-162.0701,5.5224,1.0536,MESH_JapaneseBlack_01_Var1
9.2837,-160.6006,6.2732,1.0951,MESH_ScottishPine_01
15.3158,-160.5636,7.6034,0.8547,MESH_JapaneseBlack_01
19.2443,-159.9608,8.4358,1.1050,MESH_ScottishPine_01
28.1845,-159.3624,10.2250,0.9949,MESH_ScottishPine_01
36.1544,-162.4912,11.4396,1.1336,Mesh_Metasequoia
39.6268,-156.8435,12.9402,1.0358,MESH_ScottishPine_01
48.2951,-159.6363,14.6392,1.0877,MESH_JapaneseBlack_01_Var1
49.8577,-157.6854,15.4101,0.9168,MESH_JapaneseBlack_01
58.0349,-162.6723,16.5770,1.1334,MESH_JapaneseBlack_01_Var1
61.7885,-159.9391,18.0491,0.9698,MESH_JapaneseBlack_01_Var1
68.6944,-159.5670,19.7180,0.9769,Mesh_Metasequoia
74.9749,-160.1586,20.8795,0.9252,MESH_ScottishPine_01
81.3593,-158.3165,21.6640,0.9788,MESH_JapaneseBlack_01_Var1
88.0805,-161.1818,22.0261,1.1455,Mesh_Metasequoia
95.0699,-159.3845,21.4523,1.1418,MESH_JapaneseBlack_01_Var1
-103.0235,-152.4495,16.0665,1.0726,MESH_JapaneseBlack_01_Var1
-98.6705,-151.4579,15.6052,0.9730,MESH_ScottishPine_01
-92.0901,-151.7923,14.4687,1.0197,MESH_ScottishPine_01
-85.5413,-154.2035,13.1104,1.0260,Mesh_Metasequoia
-77.9520,-154.9494,11.1701,1.1396,MESH_ScottishPine_01
-74.4610,-155.0511,10.2750,0.9117,MESH_JapaneseBlack_01_Var1
-68.3557,-155.5100,8.8652,0.8673,Mesh_Metasequoia
-60.7338,-155.0359,7.1282,1.1162,MESH_ScottishPine_01
-58.2393,-155.0760,6.5921,1.0878,MESH_JapaneseBlack_01_Var1
-48.9045,-154.2645,4.2848,1.1369,MESH_JapaneseBlack_01_Var1
-44.7422,-151.1188,2.8124,1.1261,MESH_ScottishPine_01
-38.8740,-156.5655,2.0127,0.9983,MESH_ScottishPine_01
-34.4194,-152.0452,0.7347,0.9212,MESH_JapaneseBlack_01_Var1
-27.3802,-151.2105,0.1700,0.8760,MESH_JapaneseBlack_01_Var1
-21.3055,-151.5244,0.5012,0.9255,Mesh_Metasequoia
-13.6760,-155.9651,1.2953,0.9953,Mesh_Metasequoia
-4.4502,-151.9285,3.4762,1.0132,Mesh_Metasequoia
6.5971,-155.4451,5.7412,1.0666,MESH_JapaneseBlack_01_Var1
7.0541,-153.8327,5.8785,0.9653,MESH_JapaneseBlack_01_Var1
18.2918,-156.1532,8.3371,1.0903,MESH_JapaneseBlack_01_Var1
