# bake_hash=98bb8a8e
worldX,worldZ,baseY,scale,profileName
-53.9129,-184.5156,1.3445,0.9760,Mesh_Metasequoia
-50.3191,-188.6850,1.7650,1.0754,MESH_JapaneseBlack_01_Var1
-44.9383,-189.6375,2.8073,1.0209,Mesh_Metasequoia
-39.6949,-190.0756,3.7222,1.0947,Mesh_Metasequoia
-34.0179,-189.1221,4.4704,1.0393,MESH_JapaneseBlack_01_Var1
32.2919,-189.2121,10.0774,1.1094,MESH_ScottishPine_01
-55.9754,-182.3573,1.2050,1.0107,Mesh_Metasequoia
-49.9049,-180.2544,2.3205,0.8659,MESH_JapaneseBlack_01
-47.4273,-178.6670,2.7961,0.8780,MESH_JapaneseBlack_01_Var1
-36.7921,-183.8805,4.1348,1.0752,MESH_JapaneseBlack_01
9.2954,-183.8228,9.0860,0.9509,MESH_JapaneseBlack_01_Var1
31.5549,-182.3823,10.1167,1.0796,Mesh_Metasequoia
-58.1905,-173.0959,1.9399,1.0242,MESH_JapaneseBlack_01_Var1
-53.8841,-172.9177,2.3543,0.8507,MESH_JapaneseBlack_01
-47.8034,-173.2065,3.0409,1.0854,MESH_ScottishPine_01
9.6558,-174.8848,9.3614,1.0984,MESH_JapaneseBlack_01
32.0514,-174.3581,10.0826,0.9912,MESH_JapaneseBlack_01_Var1
-58.5927,-169.1709,2.3394,0.8830,MESH_ScottishPine_01
2.6164,-171.8986,8.5159,0.9511,MESH_ScottishPine_01
46.3014,-167.1545,9.1495,1.1255,Mesh_Metasequoia
-1.6342,-161.3230,8.3059,1.1185,MESH_ScottishPine_01
4.1143,-166.2727,8.9331,1.0656,MESH_JapaneseBlack_01_Var1
43.2054,-160.5510,9.5143,1.0697,MESH_JapaneseBlack_01_Var1
49.4255,-163.4150,8.9121,1.0291,MESH_JapaneseBlack_01_Var1
-4.1600,-154.6706,8.1837,1.1216,MESH_JapaneseBlack_01_Var1
1.7894,-156.4283,8.9120,0.9792,MESH_ScottishPine_01
45.5327,-157.0155,9.3695,1.0248,MESH_ScottishPine_01
49.6341,-155.0456,9.0024,1.1279,MESH_JapaneseBlack_01
-3.5156,-148.8313,8.4435,0.9044,MESH_JapaneseBlack_01_Var1
46.5835,-151.8484,9.3382,1.1286,MESH_JapaneseBlack_01_Var1
49.7182,-149.9560,9.0513,0.9637,Mesh_Metasequoia
-7.2166,-147.3500,7.9955,1.0758,MESH_ScottishPine_01
52.4505,-145.7478,8.7806,1.1097,Mesh_Metasequoia
-14.9332,-134.1442,7.3745,1.0877,MESH_JapaneseBlack_01_Var1
52.9715,-132.0210,8.8002,1.0369,MESH_ScottishPine_01
-19.0941,-124.5542,7.1103,0.9156,MESH_JapaneseBlack_01_Var1
-14.6178,-130.3932,7.5733,0.9074,MESH_JapaneseBlack_01_Var1
-25.1511,-118.5114,6.3028,1.0229,Mesh_Metasequoia
