# bake_hash=8f547e55
centerX,centerZ,baseY,topY,halfX,halfZ,yawDeg,profileName
3.9281,-22.6502,23.7905,25.1206,0.0400,7.7048,72.0800,railing
3.9337,-22.6338,23.8080,25.0812,0.0003,7.7048,72.0800,railing
3.9333,-22.6337,23.8080,25.0812,0.0003,7.7045,72.0800,railing
3.9288,-22.6504,23.7905,25.1206,0.0400,7.7059,72.0800,railing
2.5089,-27.0405,23.7905,25.1206,0.0400,7.7059,72.0800,railing
2.5015,-27.0633,23.8080,25.0812,0.0003,7.7056,72.0800,railing
2.5012,-27.0632,23.8080,25.0812,0.0003,7.7052,72.0800,railing
2.5086,-27.0404,23.7905,25.1206,0.0400,7.7057,72.0800,railing
1.4093,-24.2514,22.7511,22.9777,3.0856,5.8505,72.0800,pier
4.0323,-22.3189,26.6070,26.9779,0.1749,7.6994,72.0800,railing
4.0320,-22.3188,26.6069,26.9779,0.1749,7.6999,72.0800,railing
4.0562,-22.2974,22.7696,23.2663,0.2000,7.6925,72.0800,pier
4.0569,-22.2976,22.7696,23.2663,0.2000,7.6939,72.0800,pier
-1.3245,-20.5804,22.9720,26.8166,0.1465,1.8997,72.0800,railing
6.0073,-22.9650,23.0205,26.8651,0.1465,1.8997,72.0800,railing
2.1978,-21.7194,22.9665,26.7659,0.1465,1.9223,72.0800,railing
9.5296,-24.1040,23.0150,26.8144,0.1465,1.9223,72.0800,railing
-3.2573,-19.9845,22.8340,26.6917,0.1465,0.0448,72.0800,railing
0.3925,-21.1648,22.8581,26.7158,0.1465,0.0448,72.0800,railing
4.0290,-22.3407,22.8821,26.7398,0.1465,0.0448,72.0800,railing
7.7169,-23.5333,22.9065,26.7641,0.1465,0.0448,72.0800,railing
2.4051,-27.3509,26.6070,26.9779,0.1749,7.6991,72.0800,railing
2.4050,-27.3509,26.6070,26.9779,0.1749,7.6999,72.0800,railing
2.4134,-27.3777,22.7696,23.2663,0.2000,7.6925,72.0800,pier
-2.9749,-25.6841,22.9720,26.8166,0.1465,1.8997,72.0800,railing
4.3569,-28.0687,23.0205,26.8651,0.1465,1.8997,72.0800,railing
0.5473,-26.8231,22.9665,26.7659,0.1465,1.9223,72.0800,railing
7.8791,-29.2077,23.0150,26.8144,0.1465,1.9223,72.0800,railing
-4.9078,-25.0883,22.8340,26.6917,0.1465,0.0448,72.0800,railing
-1.2579,-26.2685,22.8581,26.7158,0.1465,0.0448,72.0800,railing
2.3786,-27.4445,22.8821,26.7398,0.1465,0.0448,72.0800,railing
6.0665,-28.6371,22.9065,26.7641,0.1465,0.0448,72.0800,railing
3.9281,-22.6502,23.5651,23.7905,0.0400,7.7048,72.0800,railing
2.5089,-27.0405,23.5651,23.7905,0.0400,7.7059,72.0800,railing
