# bake_hash=79f0eae4
worldX,worldZ,baseY,scale,profileName
-105.5129,-181.3656,28.0164,0.9760,Mesh_Metasequoia
-101.9191,-185.5350,27.9200,1.0754,MESH_JapaneseBlack_01_Var1
-70.6056,-181.9273,25.7062,0.9189,MESH_JapaneseBlack_01_Var1
-65.7143,-184.6956,24.8140,1.1066,MESH_JapaneseBlack_01_Var1
-36.6801,-186.0335,17.5610,1.0942,Mesh_Metasequoia
-29.5157,-185.4387,16.2790,1.0176,MESH_JapaneseBlack_01_Var1
-26.2121,-183.1811,16.6103,1.0488,Mesh_Metasequoia
-19.5556,-187.1479,16.4759,0.8539,MESH_ScottishPine_01
-11.5754,-185.2073,18.7233,1.0107,Mesh_Metasequoia
-5.5049,-183.1044,19.9803,0.8659,MESH_JapaneseBlack_01
-3.0273,-181.5170,20.3702,0.8780,MESH_JapaneseBlack_01_Var1
7.6080,-186.7305,20.7237,1.0752,MESH_JapaneseBlack_01
50.2364,-184.5923,21.6793,0.8839,MESH_ScottishPine_01
52.5183,-186.9148,20.9328,1.1369,MESH_ScottishPine_01
57.4632,-185.3845,17.4457,0.9227,MESH_JapaneseBlack_01_Var1
67.1282,-182.7590,10.7150,0.9162,Mesh_Metasequoia
73.4904,-185.1694,6.4579,1.0073,Mesh_Metasequoia
79.9041,-184.8746,2.5555,1.1182,MESH_ScottishPine_01
86.0823,-187.2014,0.2035,1.0289,MESH_JapaneseBlack_01
91.7935,-183.9859,0.6309,1.0329,Mesh_Metasequoia
98.0758,-185.7695,1.1833,1.0418,MESH_ScottishPine_01
102.9677,-182.6068,2.7768,1.0923,Mesh_Metasequoia
110.1387,-185.0739,3.2095,0.9091,Mesh_Metasequoia
-107.9442,-177.7348,28.0352,1.0984,MESH_JapaneseBlack_01
-68.7365,-178.6264,25.4511,1.0205,MESH_JapaneseBlack_01_Var1
-62.1927,-178.0209,24.3449,0.8830,MESH_ScottishPine_01
-33.8278,-178.8092,18.2300,1.0157,MESH_JapaneseBlack_01_Var1
-31.8877,-176.2916,18.5717,1.0510,MESH_JapaneseBlack_01_Var1
-25.7139,-176.3484,18.5115,0.8801,MESH_JapaneseBlack_01_Var1
-19.4780,-176.6101,19.4421,0.9256,Mesh_Metasequoia
-14.9334,-180.8548,19.1719,0.9654,Mesh_Metasequoia
-7.7741,-179.9651,20.2816,1.0656,MESH_JapaneseBlack_01_Var1
1.8455,-176.6070,20.7421,1.0059,Mesh_Metasequoia
7.3174,-180.2042,20.7005,0.8571,MESH_ScottishPine_01
46.2934,-176.1653,20.5351,1.1089,MESH_ScottishPine_01
55.8705,-180.7571,17.8076,0.8614,MESH_ScottishPine_01
60.8123,-175.5314,14.0668,1.0022,Mesh_Metasequoia
67.8974,-179.2182,10.3063,0.8938,Mesh_Metasequoia
74.1129,-178.9885,6.5636,0.9788,Mesh_Metasequoia
80.4490,-178.5632,3.1228,0.9000,MESH_ScottishPine_01
95.4495,-181.0251,1.7940,1.1146,Mesh_Metasequoia
100.2754,-177.9929,3.6416,1.0962,MESH_JapaneseBlack_01_Var1
110.1779,-175.7788,6.8585,0.9739,MESH_JapaneseBlack_01_Var1
-64.5981,-169.7278,25.0181,0.9618,MESH_JapaneseBlack_01_Var1
-63.4064,-170.1830,24.8490,0.9920,MESH_JapaneseBlack_01_Var1
-33.1912,-169.7921,20.3259,1.0199,Mesh_Metasequoia
-21.5435,-171.5972,20.4190,1.0259,MESH_ScottishPine_01
-18.3363,-174.1291,20.3238,1.1096,Mesh_Metasequoia
-10.3854,-175.3280,20.9401,1.0031,MESH_JapaneseBlack_01_Var1
-9.3723,-172.9656,21.2956,0.8892,Mesh_Metasequoia
-0.6391,-172.7108,20.9196,1.0262,MESH_JapaneseBlack_01_Var1
47.8805,-173.7318,19.3295,1.1455,Mesh_Metasequoia
54.8699,-171.9345,16.1949,1.1418,MESH_JapaneseBlack_01_Var1
61.8267,-171.4256,12.9941,1.0944,Mesh_Metasequoia
62.5659,-172.0327,12.7370,0.8596,MESH_JapaneseBlack_01_Var1
70.8620,-170.9772,8.8780,0.9075,Mesh_Metasequoia
79.0163,-173.5766,4.6469,1.0820,Mesh_Metasequoia
85.3513,-171.8739,3.1221,0.8548,Mesh_Metasequoia
91.9703,-171.0331,3.3454,0.8561,MESH_JapaneseBlack_01_Var1
97.0789,-174.2780,3.7355,1.0669,Mesh_Metasequoia
102.8505,-172.5978,5.8441,1.1097,Mesh_Metasequoia
109.8421,-172.2227,7.9058,0.9026,MESH_JapaneseBlack_01_Var1
-62.9127,-168.1155,24.8554,0.9972,MESH_JapaneseBlack_01_Var1
-26.4844,-164.5946,21.5227,1.0698,MESH_ScottishPine_01
-20.5770,-163.6125,22.1057,0.9779,MESH_JapaneseBlack_01_Var1
-4.5097,-166.9240,21.4134,0.9980,MESH_JapaneseBlack_01
-1.1442,-168.4694,21.0550,0.9446,Mesh_Metasequoia
47.4056,-166.2599,17.3366,0.8913,MESH_JapaneseBlack_01
55.3715,-164.8710,14.4706,1.0369,MESH_ScottishPine_01
57.8549,-168.9025,14.2618,1.0902,MESH_ScottishPine_01
65.4673,-168.2198,11.1740,1.1416,MESH_JapaneseBlack_01_Var1
69.1469,-168.3830,9.7019,1.1473,Mesh_Metasequoia
75.8112,-168.9815,6.8076,0.8553,MESH_ScottishPine_01
81.6483,-167.9837,4.9300,0.8937,MESH_JapaneseBlack_01_Var1
92.3768,-167.2977,4.2214,1.0452,MESH_JapaneseBlack_01
95.4448,-168.5045,4.4855,1.1346,MESH_ScottishPine_01
98.5729,-169.2554,5.1561,1.0961,MESH_ScottishPine_01
-107.7072,-162.1069,27.9712,0.9469,Mesh_Metasequoia
-105.1423,-162.9266,27.7669,1.0752,Mesh_Metasequoia
52.1466,-163.2563,15.3048,0.9162,MESH_ScottishPine_01
62.1568,-163.3145,12.0550,0.9708,Mesh_Metasequoia
63.7979,-162.7151,11.5320,1.1110,Mesh_Metasequoia
68.5346,-159.0584,10.3779,0.9556,MESH_JapaneseBlack_01_Var1
85.6132,-158.7700,6.6127,1.1458,Mesh_Metasequoia
88.8578,-161.9344,5.4265,0.9376,MESH_JapaneseBlack_01_Var1
97.4628,-160.9280,6.0976,1.1269,MESH_JapaneseBlack_01
101.6936,-158.4383,7.3309,0.9724,MESH_ScottishPine_01
-110.1612,-153.5452,28.2508,0.9736,Mesh_Metasequoia
-101.8688,-154.6586,27.4435,0.9900,MESH_ScottishPine_01
74.0477,-152.7750,10.2198,0.9326,MESH_JapaneseBlack_01_Var1
79.0142,-152.1704,9.4618,1.1463,MESH_JapaneseBlack_01_Var1
84.1032,-155.7902,7.6515,1.0153,MESH_JapaneseBlack_01_Var1
92.1876,-156.8596,6.5409,1.0448,Mesh_Metasequoia
98.3697,-151.7224,7.9732,1.1476,MESH_JapaneseBlack_01_Var1
101.7604,-155.3144,7.7589,0.8572,MESH_JapaneseBlack_01_Var1
106.8456,-155.6237,9.0306,1.0157,Mesh_Metasequoia
-105.5179,-147.5483,27.9300,1.1215,Mesh_Metasequoia
-59.2630,-145.4299,25.5953,0.9774,MESH_JapaneseBlack_01_Var1
-52.1977,-148.8714,25.2769,0.8662,MESH_JapaneseBlack_01_Var1
-49.1440,-149.4731,25.0531,1.0363,MESH_JapaneseBlack_01_Var1
-11.2718,-150.1449,22.7486,1.0471,MESH_JapaneseBlack_01_Var1
73.8732,-150.4340,10.7810,1.0812,MESH_JapaneseBlack_01_Var1
84.6341,-146.9324,10.0423,0.8987,MESH_JapaneseBlack_01_Var1
91.1492,-146.7615,9.4609,0.8816,Mesh_Metasequoia
92.9390,-148.3122,8.8765,0.9040,MESH_JapaneseBlack_01_Var1
100.8113,-148.8910,9.0014,0.9938,MESH_JapaneseBlack_01
107.2067,-151.2276,9.7772,1.1242,MESH_ScottishPine_01
-110.7172,-141.1966,28.4602,0.9973,MESH_ScottishPine_01
-102.0189,-143.3202,27.5851,1.0632,Mesh_Metasequoia
-57.6558,-143.0633,25.7051,1.1411,Mesh_Metasequoia
-56.2795,-141.9480,25.7848,1.0506,MESH_JapaneseBlack_01_Var1
-49.2590,-140.6812,25.9671,0.8748,Mesh_Metasequoia
-6.8833,-144.3725,22.5705,1.0249,Mesh_Metasequoia
-2.7526,-144.4512,22.1015,0.8869,MESH_ScottishPine_01
85.8247,-142.0652,11.2966,1.0461,MESH_ScottishPine_01
88.6866,-144.5256,10.3353,0.9754,MESH_ScottishPine_01
96.1000,-142.4165,10.8304,0.9947,MESH_JapaneseBlack_01_Var1
102.7143,-143.8897,10.8933,1.0507,MESH_JapaneseBlack_01_Var1
106.3094,-140.4392,12.8666,0.9737,Mesh_Metasequoia
-106.2134,-137.9039,28.1601,1.0939,MESH_JapaneseBlack_01_Var1
-103.8556,-136.5639,27.9341,0.9136,MESH_JapaneseBlack_01_Var1
