# bake_hash=0659dc68
worldX,worldZ,baseY,scale,profileName
-247.2350,-89.8485,4.8224,0.9715,Mesh_Metasequoia
-233.6319,-88.6204,4.0368,0.8712,MESH_JapaneseBlack_01_Var1
-223.1679,-88.9221,3.3699,1.0393,MESH_JapaneseBlack_01_Var1
-209.2301,-88.0942,2.6411,0.9556,MESH_ScottishPine_01
-183.8177,-85.4166,1.7013,1.0492,MESH_JapaneseBlack_01_Var1
-181.7695,-86.9476,1.4927,0.9144,MESH_JapaneseBlack_01_Var1
-61.6773,-87.4046,0.2169,0.9879,Mesh_Metasequoia
-56.3728,-88.8501,0.2341,0.8718,MESH_JapaneseBlack_01_Var1
-3.9075,-87.1548,0.4471,1.1202,MESH_JapaneseBlack_01_Var1
40.5305,-86.1410,0.3906,1.1408,MESH_ScottishPine_01
49.6933,-85.0163,0.4498,0.8502,Mesh_Metasequoia
53.2262,-85.4563,0.4613,1.0453,MESH_JapaneseBlack_01_Var1
60.5652,-90.2498,0.3889,0.9523,Mesh_Metasequoia
65.9009,-86.7395,0.5870,0.9525,Mesh_Metasequoia
70.9014,-86.1581,0.6919,0.9912,MESH_JapaneseBlack_01_Var1
80.8331,-89.5365,0.7479,0.8808,MESH_JapaneseBlack_01_Var1
84.9716,-88.9927,0.8348,1.0121,MESH_ScottishPine_01
90.1417,-85.6618,1.0031,0.8689,Mesh_Metasequoia
94.2549,-85.4676,1.0653,0.9770,Mesh_Metasequoia
102.2640,-84.5597,1.1951,1.1029,MESH_JapaneseBlack_01_Var1
108.9700,-85.8637,1.3199,1.1001,MESH_JapaneseBlack_01_Var1
111.5514,-86.3745,1.3842,1.0870,MESH_JapaneseBlack_01_Var1
118.4627,-88.1799,1.6007,0.8748,MESH_JapaneseBlack_01_Var1
168.9001,-90.1573,3.2635,1.0333,Mesh_Metasequoia
176.3398,-84.7147,4.9940,1.0664,Mesh_Metasequoia
177.0095,-85.0338,5.0088,0.8810,MESH_JapaneseBlack_01_Var1
184.7435,-85.1153,6.1234,1.1089,MESH_ScottishPine_01
194.3205,-89.7071,6.4661,0.8614,MESH_ScottishPine_01
199.2623,-84.4814,8.2774,1.0022,Mesh_Metasequoia
-180.4342,-82.0636,1.9016,0.8547,MESH_JapaneseBlack_01
-176.5057,-81.4608,1.8053,1.1050,MESH_ScottishPine_01
41.3120,-79.9272,0.6076,0.9075,Mesh_Metasequoia
49.4663,-82.5266,0.5432,1.0820,Mesh_Metasequoia
55.8013,-80.8239,0.6710,0.8548,Mesh_Metasequoia
62.4203,-79.9831,0.7979,0.8561,MESH_JapaneseBlack_01_Var1
67.5289,-83.2280,0.7509,1.0669,Mesh_Metasequoia
73.3005,-81.5478,0.9120,1.1097,Mesh_Metasequoia
80.2921,-81.1727,1.0272,0.9026,MESH_JapaneseBlack_01_Var1
85.9577,-81.3652,1.0866,0.9996,MESH_ScottishPine_01
89.5465,-79.4024,1.1886,1.1217,MESH_ScottishPine_01
94.8006,-80.1839,1.2019,0.9243,Mesh_Metasequoia
100.6990,-83.7127,1.1815,0.9018,MESH_JapaneseBlack_01_Var1
106.2401,-78.8818,1.3223,0.9937,MESH_JapaneseBlack_01
112.7141,-80.9791,1.3756,0.9505,Mesh_Metasequoia
118.6740,-83.2844,1.5106,0.9943,Mesh_Metasequoia
125.4855,-83.3770,1.6921,0.9682,Mesh_Metasequoia
134.6313,-80.7487,2.0043,1.0995,Mesh_Metasequoia
135.1845,-81.3403,2.0187,0.9678,MESH_ScottishPine_01
145.7048,-82.4072,2.5068,1.0554,MESH_JapaneseBlack_01_Var1
152.5396,-81.7104,3.0359,1.0713,MESH_JapaneseBlack_01_Var1
158.2256,-78.7255,4.0676,1.0686,MESH_JapaneseBlack_01_Var1
159.7850,-78.9394,4.2161,1.0045,MESH_ScottishPine_01
165.7759,-83.4502,3.9800,1.0740,Mesh_Metasequoia
174.6888,-78.4029,6.4323,0.8724,MESH_JapaneseBlack_01_Var1
181.7545,-83.9459,5.9840,0.9065,MESH_ScottishPine_01
188.7812,-78.7082,8.4292,0.8984,MESH_JapaneseBlack_01_Var1
194.8958,-83.8974,7.9181,0.8684,MESH_JapaneseBlack_01_Var1
195.0568,-82.2586,8.3644,0.9183,MESH_JapaneseBlack_01_Var1
54.5812,-75.6086,0.8614,0.9900,MESH_ScottishPine_01
57.9506,-74.1184,0.9633,1.1371,MESH_JapaneseBlack_01_Var1
65.8697,-74.4505,1.0727,1.0626,MESH_ScottishPine_01
71.7067,-74.2497,1.1766,0.9731,MESH_JapaneseBlack_01_Var1
76.8568,-72.3099,1.3319,0.9494,MESH_JapaneseBlack_01_Var1
84.8040,-75.4061,1.3035,0.9703,Mesh_Metasequoia
87.8838,-77.9430,1.2295,1.0749,Mesh_Metasequoia
98.8490,-74.2450,1.4429,0.8556,MESH_JapaneseBlack_01_Var1
100.8164,-73.7429,1.4732,0.8804,MESH_JapaneseBlack_01
105.1330,-73.5296,1.5032,1.1003,MESH_ScottishPine_01
114.2385,-76.1673,1.4806,1.0150,MESH_ScottishPine_01
120.5911,-76.7066,1.5817,1.0860,MESH_JapaneseBlack_01_Var1
