# Layer 1 — real physics. Bearman-Harvey 1976 transcription (drag side).
# Layer 2 audit pending: see controls_f_drag_calibration_audit.
# DO NOT edit to "make trajectories feel right" — that's a future drag overlay's job.
# See Docs/Physics/CALIBRATION_METHODOLOGY.md.
speed_mps,cd,notes
5,0.50,very low speed laminar-ish
10,0.48,
15,0.45,pre-drag-crisis
18,0.40,drag crisis onset
22,0.28,post-crisis Bearman
26,0.24,
30,0.23,minimum allowed floor
40,0.23,
50,0.23,
60,0.23,
70,0.23,
80,0.23,driver peak
100,0.23,extrapolation clamp
