rotationId,nameEn,taglineEn,taglineJa,hookEn,hookJa
wk_2026_38,DRIVER WEEK · BOGEYB,GET BogeyB Drivers & Woods,BogeyB ドライバー＆ウッドが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_39,WOOD WEEK · G&F,GET G&F Woods & Irons,G&F ウッド＆アイアンが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_40,IRON WEEK · PAR PERFECT,GET PAR PERFECT Irons & A.Wedges,PAR PERFECT アイアン＆Aウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_41,A.WEDGE WEEK · EAGLEZ,GET EAGLEZ A.Wedges & P.Wedges,EAGLEZ Aウェッジ＆Pウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_42,SPORTS DAY WEEK,GET GOLFIN P.Wedges & S.Wedges,GOLFIN Pウェッジ＆Sウェッジが登場,"SPORTS DAY
*DOUBLE* LEGENDARY!","スポーツの日
*レジェンダリー*2本立て！"
wk_2026_43,S.WEDGE WEEK · PUTT ACE,GET PUTT ACE S.Wedges & Putters,PUTT ACE Sウェッジ＆パターが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_44,HALLOWEEN WEEK,GET FAIRLOFT Putters & Drivers,FAIRLOFT パター＆ドライバーが登場,"HALLOWEEN NIGHT
*DOUBLE* LEGENDARY!","ハロウィンナイト
*レジェンダリー*2本立て！"
wk_2026_45,DRIVER WEEK · GOLFINIX,GET GOLFINIX Drivers & Woods,GOLFINIX ドライバー＆ウッドが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_46,WOOD WEEK · ROYAL SWING,GET ROYAL SWING Woods & Irons,ROYAL SWING ウッド＆アイアンが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_47,IRON WEEK · FAIRWAY THREADS,GET Fairway THREADS Irons & A.Wedges,Fairway THREADS アイアン＆Aウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_48,A.WEDGE WEEK · GOLFINX,GET A.Wedges & P.Wedges,Aウェッジ＆Pウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_49,P.WEDGE WEEK · TEEPIT WNDRWLL,GET TeePit P.Wedges & S.Wedges,TeePit Pウェッジ＆Sウェッジが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_50,S.WEDGE WEEK · FAIRX,GET FairX S.Wedges & Putters,FairX Sウェッジ＆パターが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_51,PUTTER WEEK · GREEN SWING,GET GREEN SWING Putters & Drivers,GREEN SWING パター＆ドライバーが登場,"3× RATE-UP ON
*LEGENDARY* GEAR!","*レジェンダリー*装備
確率3倍！"
wk_2026_52,HOLIDAY WEEK,GET TIFTO Drivers & Woods,TIFTO ドライバー＆ウッドが登場,"HOLIDAY WEEK
*DOUBLE* LEGENDARY!","ホリデーウィーク
*レジェンダリー*2本立て！"
