frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
0,0.0000,39.378,10.851,32.220,21.131,10.831,0.020,Fairway,airborne,0.000,0
1,0.0042,39.202,10.939,32.152,21.060,10.828,0.111,Fairway,airborne,-0.003,0
2,0.0083,39.027,11.027,32.083,20.990,10.825,0.202,Fairway,airborne,-0.003,0
3,0.0125,38.852,11.114,32.014,20.920,10.821,0.293,Fairway,airborne,-0.003,0
4,0.0167,38.677,11.201,31.946,20.850,10.818,0.383,Fairway,airborne,-0.003,0
5,0.0208,38.502,11.288,31.878,20.781,10.814,0.473,Fairway,airborne,-0.003,0
6,0.0250,38.328,11.374,31.809,20.711,10.811,0.563,Fairway,airborne,-0.003,0
7,0.0292,38.153,11.460,31.741,20.642,10.808,0.653,Fairway,airborne,-0.003,0
8,0.0333,37.979,11.546,31.673,20.573,10.804,0.742,Fairway,airborne,-0.003,0
9,0.0375,37.806,11.632,31.605,20.504,10.801,0.831,Fairway,airborne,-0.004,0
10,0.0417,37.632,11.717,31.537,20.435,10.797,0.920,Fairway,airborne,-0.004,0
11,0.0458,37.459,11.802,31.470,20.367,10.794,1.008,Fairway,airborne,-0.003,0
12,0.0500,37.286,11.887,31.402,20.299,10.790,1.096,Fairway,airborne,-0.003,0
13,0.0542,37.113,11.971,31.334,20.230,10.787,1.184,Fairway,airborne,-0.003,0
14,0.0583,36.940,12.055,31.267,20.162,10.784,1.272,Fairway,airborne,-0.003,0
15,0.0625,36.768,12.139,31.200,20.095,10.780,1.359,Fairway,airborne,-0.003,0
16,0.0667,36.596,12.223,31.132,20.027,10.777,1.446,Fairway,airborne,-0.004,0
17,0.0708,36.424,12.306,31.065,19.960,10.773,1.533,Fairway,airborne,-0.004,0
18,0.0750,36.253,12.389,30.998,19.892,10.769,1.620,Fairway,airborne,-0.004,0
19,0.0791,36.081,12.472,30.931,19.825,10.766,1.706,Fairway,airborne,-0.004,0
20,0.0833,35.910,12.554,30.864,19.759,10.762,1.792,Fairway,airborne,-0.003,0
21,0.0875,35.739,12.636,30.797,19.692,10.759,1.877,Fairway,airborne,-0.003,0
22,0.0916,35.568,12.718,30.730,19.625,10.756,1.963,Fairway,airborne,-0.003,0
23,0.0958,35.398,12.800,30.663,19.559,10.752,2.048,Fairway,airborne,-0.003,0
24,0.1000,35.227,12.881,30.597,19.493,10.749,2.132,Fairway,airborne,-0.004,0
25,0.1041,35.057,12.962,30.530,19.427,10.745,2.217,Fairway,airborne,-0.004,0
26,0.1083,34.887,13.043,30.464,19.361,10.741,2.302,Fairway,airborne,-0.004,0
27,0.1125,34.718,13.123,30.398,19.295,10.738,2.386,Fairway,airborne,-0.004,0
28,0.1166,34.548,13.204,30.331,19.230,10.734,2.470,Fairway,airborne,-0.004,0
29,0.1208,34.379,13.284,30.265,19.164,10.730,2.553,Fairway,airborne,-0.004,0
30,0.1250,34.210,13.363,30.199,19.099,10.726,2.637,Fairway,airborne,-0.004,0
31,0.1291,34.041,13.443,30.133,19.034,10.723,2.720,Fairway,airborne,-0.004,0
32,0.1333,33.873,13.522,30.067,18.969,10.719,2.803,Fairway,airborne,-0.004,0
33,0.1375,33.705,13.601,30.001,18.905,10.715,2.886,Fairway,airborne,-0.004,0
34,0.1416,33.536,13.679,29.935,18.840,10.711,2.968,Fairway,airborne,-0.004,0
35,0.1458,33.368,13.758,29.870,18.776,10.708,3.050,Fairway,airborne,-0.004,0
36,0.1500,33.201,13.836,29.804,18.711,10.704,3.131,Fairway,airborne,-0.004,0
37,0.1541,33.033,13.914,29.739,18.647,10.700,3.213,Fairway,airborne,-0.004,0
38,0.1583,32.866,13.991,29.673,18.583,10.697,3.294,Fairway,airborne,-0.004,0
39,0.1625,32.699,14.068,29.608,18.520,10.693,3.375,Fairway,airborne,-0.004,0
40,0.1666,32.532,14.145,29.542,18.456,10.690,3.456,Fairway,airborne,-0.004,0
41,0.1708,32.365,14.222,29.477,18.392,10.686,3.536,Fairway,airborne,-0.004,0
42,0.1750,32.199,14.299,29.412,18.329,10.682,3.617,Fairway,airborne,-0.004,0
43,0.1791,32.032,14.375,29.347,18.266,10.678,3.697,Fairway,airborne,-0.004,0
44,0.1833,31.866,14.451,29.282,18.203,10.674,3.777,Fairway,airborne,-0.004,0
45,0.1875,31.701,14.526,29.217,18.140,10.670,3.856,Fairway,airborne,-0.004,0
46,0.1916,31.535,14.602,29.152,18.077,10.667,3.935,Fairway,airborne,-0.004,0
47,0.1958,31.369,14.677,29.088,18.015,10.663,4.014,Fairway,airborne,-0.004,0
48,0.2000,31.204,14.752,29.023,17.952,10.659,4.093,Fairway,airborne,-0.004,0
49,0.2041,31.039,14.827,28.959,17.890,10.656,4.171,Fairway,airborne,-0.004,0
50,0.2083,30.874,14.901,28.894,17.828,10.652,4.249,Fairway,airborne,-0.004,0
51,0.2124,30.709,14.975,28.830,17.766,10.648,4.327,Fairway,airborne,-0.004,0
52,0.2166,30.545,15.049,28.765,17.704,10.644,4.405,Fairway,airborne,-0.004,0
53,0.2208,30.381,15.123,28.701,17.642,10.641,4.482,Fairway,airborne,-0.004,0
54,0.2249,30.217,15.196,28.637,17.580,10.637,4.559,Fairway,airborne,-0.004,0
55,0.2291,30.053,15.269,28.573,17.519,10.633,4.636,Fairway,airborne,-0.004,0
56,0.2333,29.889,15.342,28.509,17.457,10.629,4.713,Fairway,airborne,-0.004,0
57,0.2374,29.725,15.414,28.445,17.396,10.625,4.789,Fairway,airborne,-0.004,0
58,0.2416,29.562,15.487,28.381,17.335,10.621,4.866,Fairway,airborne,-0.004,0
59,0.2458,29.399,15.559,28.317,17.274,10.617,4.941,Fairway,airborne,-0.004,0
60,0.2499,29.236,15.631,28.253,17.213,10.614,5.017,Fairway,airborne,-0.004,0
61,0.2541,29.073,15.702,28.190,17.153,10.610,5.092,Fairway,airborne,-0.004,0
62,0.2583,28.911,15.774,28.126,17.092,10.606,5.168,Fairway,airborne,-0.004,0
63,0.2624,28.748,15.845,28.063,17.032,10.602,5.243,Fairway,airborne,-0.004,0
64,0.2666,28.586,15.915,27.999,16.971,10.598,5.318,Fairway,airborne,-0.004,0
65,0.2708,28.424,15.986,27.936,16.911,10.594,5.392,Fairway,airborne,-0.004,0
66,0.2749,28.262,16.056,27.872,16.851,10.590,5.466,Fairway,airborne,-0.004,0
67,0.2791,28.101,16.126,27.809,16.791,10.586,5.540,Fairway,airborne,-0.004,0
68,0.2833,27.939,16.196,27.746,16.731,10.583,5.613,Fairway,airborne,-0.004,0
69,0.2874,27.778,16.266,27.683,16.671,10.579,5.687,Fairway,airborne,-0.004,0
70,0.2916,27.617,16.335,27.620,16.612,10.576,5.759,Fairway,airborne,-0.004,0
71,0.2958,27.456,16.404,27.557,16.552,10.572,5.832,Fairway,airborne,-0.003,0
72,0.2999,27.295,16.473,27.494,16.493,10.568,5.904,Fairway,airborne,-0.004,0
73,0.3041,27.135,16.541,27.431,16.434,10.565,5.977,Fairway,airborne,-0.004,0
74,0.3083,26.974,16.610,27.369,16.375,10.561,6.049,Fairway,airborne,-0.004,0
75,0.3124,26.814,16.678,27.306,16.316,10.557,6.121,Fairway,airborne,-0.004,0
76,0.3166,26.654,16.746,27.243,16.257,10.553,6.193,Fairway,airborne,-0.004,0
77,0.3208,26.494,16.813,27.181,16.198,10.549,6.264,Fairway,airborne,-0.004,0
78,0.3249,26.334,16.881,27.118,16.140,10.545,6.336,Fairway,airborne,-0.004,0
79,0.3291,26.175,16.948,27.056,16.081,10.541,6.407,Fairway,airborne,-0.004,0
80,0.3333,26.016,17.015,26.994,16.023,10.537,6.478,Fairway,airborne,-0.004,0
81,0.3374,25.856,17.081,26.931,15.964,10.533,6.548,Fairway,airborne,-0.004,0
82,0.3416,25.697,17.148,26.869,15.906,10.529,6.618,Fairway,airborne,-0.004,0
83,0.3457,25.539,17.214,26.807,15.848,10.526,6.688,Fairway,airborne,-0.004,0
84,0.3499,25.380,17.280,26.745,15.790,10.522,6.757,Fairway,airborne,-0.004,0
85,0.3541,25.222,17.345,26.683,15.732,10.519,6.827,Fairway,airborne,-0.004,0
86,0.3582,25.063,17.411,26.621,15.675,10.515,6.896,Fairway,airborne,-0.004,0
87,0.3624,24.905,17.476,26.559,15.617,10.511,6.964,Fairway,airborne,-0.004,0
88,0.3666,24.747,17.541,26.498,15.560,10.508,7.033,Fairway,airborne,-0.004,0
89,0.3707,24.589,17.606,26.436,15.502,10.504,7.101,Fairway,airborne,-0.004,0
90,0.3749,24.432,17.670,26.374,15.445,10.501,7.169,Fairway,airborne,-0.004,0
91,0.3791,24.274,17.734,26.313,15.388,10.497,7.237,Fairway,airborne,-0.004,0
92,0.3832,24.117,17.798,26.251,15.331,10.493,7.305,Fairway,airborne,-0.004,0
93,0.3874,23.960,17.862,26.190,15.274,10.489,7.372,Fairway,airborne,-0.004,0
94,0.3916,23.803,17.925,26.128,15.217,10.486,7.440,Fairway,airborne,-0.004,0
95,0.3957,23.646,17.989,26.067,15.160,10.482,7.507,Fairway,airborne,-0.004,0
96,0.3999,23.490,18.052,26.006,15.103,10.478,7.573,Fairway,airborne,-0.004,0
97,0.4041,23.333,18.114,25.944,15.047,10.474,7.640,Fairway,airborne,-0.004,0
98,0.4082,23.177,18.177,25.883,14.990,10.471,7.706,Fairway,airborne,-0.003,0
99,0.4124,23.021,18.239,25.822,14.934,10.467,7.772,Fairway,airborne,-0.004,0
100,0.4166,22.865,18.301,25.761,14.878,10.464,7.838,Fairway,airborne,-0.004,0
101,0.4207,22.709,18.363,25.700,14.822,10.460,7.903,Fairway,airborne,-0.004,0
102,0.4249,22.553,18.425,25.639,14.766,10.456,7.969,Fairway,airborne,-0.004,0
103,0.4291,22.398,18.486,25.579,14.710,10.453,8.034,Fairway,airborne,-0.004,0
104,0.4332,22.242,18.547,25.518,14.654,10.449,8.098,Fairway,airborne,-0.004,0
105,0.4374,22.087,18.608,25.457,14.598,10.445,8.163,Fairway,airborne,-0.004,0
106,0.4416,21.932,18.669,25.396,14.542,10.442,8.227,Fairway,airborne,-0.003,0
107,0.4457,21.777,18.729,25.336,14.487,10.439,8.291,Fairway,airborne,-0.003,0
108,0.4499,21.623,18.790,25.275,14.431,10.435,8.355,Fairway,airborne,-0.003,0
109,0.4541,21.468,18.850,25.215,14.376,10.431,8.418,Fairway,airborne,-0.004,0
