frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
0,0.0000,39.378,10.851,32.220,7.277,10.831,0.020,Fairway,airborne,0.000,0
1,0.0042,39.245,10.882,32.168,7.231,10.829,0.053,Fairway,airborne,-0.003,0
2,0.0083,39.112,10.912,32.116,7.185,10.826,0.085,Fairway,airborne,-0.003,0
3,0.0125,38.980,10.942,32.065,7.140,10.824,0.118,Fairway,airborne,-0.003,0
4,0.0167,38.847,10.971,32.013,7.094,10.821,0.150,Fairway,airborne,-0.003,0
5,0.0208,38.715,11.001,31.961,7.048,10.819,0.182,Fairway,airborne,-0.003,0
6,0.0250,38.583,11.030,31.909,7.003,10.816,0.214,Fairway,airborne,-0.003,0
7,0.0292,38.450,11.059,31.858,6.957,10.813,0.245,Fairway,airborne,-0.003,0
8,0.0333,38.318,11.088,31.806,6.911,10.811,0.277,Fairway,airborne,-0.003,0
9,0.0375,38.186,11.116,31.754,6.866,10.808,0.308,Fairway,airborne,-0.003,0
10,0.0417,38.054,11.145,31.703,6.820,10.806,0.339,Fairway,airborne,-0.003,0
11,0.0458,37.923,11.173,31.651,6.775,10.803,0.370,Fairway,airborne,-0.003,0
12,0.0500,37.791,11.201,31.600,6.730,10.800,0.401,Fairway,airborne,-0.003,0
13,0.0542,37.659,11.229,31.548,6.684,10.798,0.432,Fairway,airborne,-0.003,0
14,0.0583,37.527,11.257,31.497,6.639,10.795,0.462,Fairway,airborne,-0.003,0
15,0.0625,37.396,11.285,31.445,6.594,10.793,0.492,Fairway,airborne,-0.003,0
16,0.0667,37.265,11.312,31.394,6.548,10.790,0.522,Fairway,airborne,-0.003,0
17,0.0708,37.133,11.339,31.342,6.503,10.787,0.552,Fairway,airborne,-0.003,0
18,0.0750,37.002,11.366,31.291,6.458,10.785,0.581,Fairway,airborne,-0.003,0
19,0.0791,36.871,11.393,31.240,6.413,10.782,0.611,Fairway,airborne,-0.003,0
20,0.0833,36.740,11.420,31.188,6.368,10.780,0.640,Fairway,airborne,-0.003,0
21,0.0875,36.609,11.446,31.137,6.323,10.777,0.669,Fairway,airborne,-0.003,0
22,0.0916,36.478,11.472,31.086,6.278,10.774,0.698,Fairway,airborne,-0.003,0
23,0.0958,36.347,11.498,31.035,6.233,10.771,0.727,Fairway,airborne,-0.003,0
24,0.1000,36.216,11.524,30.984,6.188,10.769,0.756,Fairway,airborne,-0.003,0
25,0.1041,36.086,11.550,30.933,6.143,10.766,0.784,Fairway,airborne,-0.003,0
26,0.1083,35.955,11.575,30.882,6.098,10.763,0.812,Fairway,airborne,-0.003,0
27,0.1125,35.825,11.601,30.831,6.053,10.761,0.840,Fairway,airborne,-0.003,0
28,0.1166,35.694,11.626,30.780,6.008,10.758,0.868,Fairway,airborne,-0.003,0
29,0.1208,35.564,11.651,30.729,5.964,10.755,0.895,Fairway,airborne,-0.003,0
30,0.1250,35.434,11.675,30.678,5.919,10.753,0.922,Fairway,airborne,-0.003,0
31,0.1291,35.304,11.700,30.627,5.874,10.750,0.950,Fairway,airborne,-0.003,0
32,0.1333,35.174,11.724,30.576,5.829,10.747,0.977,Fairway,airborne,-0.003,0
33,0.1375,35.044,11.748,30.525,5.785,10.745,1.004,Fairway,airborne,-0.003,0
34,0.1416,34.914,11.772,30.474,5.740,10.742,1.031,Fairway,airborne,-0.003,0
35,0.1458,34.784,11.796,30.423,5.696,10.739,1.057,Fairway,airborne,-0.003,0
36,0.1500,34.654,11.820,30.373,5.651,10.736,1.084,Fairway,airborne,-0.003,0
37,0.1541,34.525,11.843,30.322,5.607,10.733,1.110,Fairway,airborne,-0.003,0
38,0.1583,34.395,11.867,30.271,5.562,10.731,1.136,Fairway,airborne,-0.003,0
39,0.1625,34.266,11.890,30.221,5.518,10.728,1.162,Fairway,airborne,-0.003,0
40,0.1666,34.136,11.913,30.170,5.473,10.725,1.188,Fairway,airborne,-0.003,0
41,0.1708,34.007,11.935,30.120,5.429,10.722,1.213,Fairway,airborne,-0.003,0
42,0.1750,33.878,11.958,30.069,5.385,10.719,1.239,Fairway,airborne,-0.003,0
43,0.1791,33.749,11.980,30.019,5.341,10.716,1.264,Fairway,airborne,-0.003,0
44,0.1833,33.620,12.002,29.968,5.296,10.713,1.289,Fairway,airborne,-0.003,0
45,0.1875,33.491,12.024,29.918,5.252,10.710,1.314,Fairway,airborne,-0.003,0
46,0.1916,33.362,12.046,29.867,5.208,10.708,1.338,Fairway,airborne,-0.003,0
47,0.1958,33.233,12.068,29.817,5.164,10.705,1.363,Fairway,airborne,-0.003,0
48,0.2000,33.104,12.089,29.766,5.120,10.702,1.387,Fairway,airborne,-0.003,0
49,0.2041,32.976,12.110,29.716,5.076,10.699,1.411,Fairway,airborne,-0.003,0
50,0.2083,32.847,12.131,29.666,5.032,10.696,1.435,Fairway,airborne,-0.003,0
51,0.2124,32.719,12.152,29.616,4.988,10.694,1.458,Fairway,airborne,-0.003,0
52,0.2166,32.590,12.173,29.565,4.944,10.691,1.482,Fairway,airborne,-0.003,0
53,0.2208,32.462,12.193,29.515,4.900,10.688,1.505,Fairway,airborne,-0.003,0
54,0.2249,32.334,12.214,29.465,4.856,10.685,1.529,Fairway,airborne,-0.003,0
55,0.2291,32.206,12.234,29.415,4.812,10.682,1.552,Fairway,airborne,-0.003,0
56,0.2333,32.078,12.254,29.365,4.768,10.679,1.575,Fairway,airborne,-0.003,0
57,0.2374,31.950,12.273,29.315,4.724,10.676,1.597,Fairway,airborne,-0.003,0
58,0.2416,31.822,12.293,29.265,4.680,10.673,1.620,Fairway,airborne,-0.003,0
59,0.2458,31.694,12.312,29.215,4.637,10.670,1.642,Fairway,airborne,-0.003,0
60,0.2499,31.566,12.332,29.165,4.593,10.667,1.664,Fairway,airborne,-0.003,0
61,0.2541,31.439,12.351,29.115,4.549,10.665,1.686,Fairway,airborne,-0.003,0
62,0.2583,31.311,12.369,29.065,4.506,10.662,1.708,Fairway,airborne,-0.003,0
63,0.2624,31.183,12.388,29.015,4.462,10.659,1.729,Fairway,airborne,-0.003,0
64,0.2666,31.056,12.407,28.965,4.418,10.656,1.751,Fairway,airborne,-0.003,0
65,0.2708,30.929,12.425,28.915,4.375,10.653,1.772,Fairway,airborne,-0.003,0
66,0.2749,30.801,12.443,28.866,4.331,10.650,1.793,Fairway,airborne,-0.003,0
67,0.2791,30.674,12.461,28.816,4.288,10.647,1.814,Fairway,airborne,-0.003,0
68,0.2833,30.547,12.479,28.766,4.244,10.644,1.834,Fairway,airborne,-0.003,0
69,0.2874,30.420,12.496,28.717,4.201,10.641,1.855,Fairway,airborne,-0.003,0
70,0.2916,30.293,12.514,28.667,4.157,10.639,1.875,Fairway,airborne,-0.003,0
71,0.2958,30.166,12.531,28.617,4.114,10.635,1.896,Fairway,airborne,-0.003,0
72,0.2999,30.039,12.548,28.568,4.071,10.632,1.916,Fairway,airborne,-0.003,0
73,0.3041,29.913,12.565,28.518,4.027,10.629,1.936,Fairway,airborne,-0.003,0
74,0.3083,29.786,12.582,28.469,3.984,10.626,1.955,Fairway,airborne,-0.003,0
75,0.3124,29.660,12.598,28.419,3.941,10.623,1.975,Fairway,airborne,-0.003,0
76,0.3166,29.533,12.614,28.370,3.898,10.620,1.994,Fairway,airborne,-0.003,0
77,0.3208,29.407,12.631,28.320,3.854,10.618,2.013,Fairway,airborne,-0.003,0
78,0.3249,29.280,12.647,28.271,3.811,10.615,2.032,Fairway,airborne,-0.003,0
79,0.3291,29.154,12.662,28.221,3.768,10.612,2.051,Fairway,airborne,-0.003,0
80,0.3333,29.028,12.678,28.172,3.725,10.609,2.069,Fairway,airborne,-0.003,0
81,0.3374,28.902,12.693,28.123,3.682,10.606,2.088,Fairway,airborne,-0.003,0
82,0.3416,28.776,12.709,28.073,3.639,10.603,2.106,Fairway,airborne,-0.003,0
83,0.3457,28.650,12.724,28.024,3.596,10.599,2.124,Fairway,airborne,-0.003,0
84,0.3499,28.524,12.738,27.975,3.553,10.596,2.142,Fairway,airborne,-0.003,0
85,0.3541,28.398,12.753,27.926,3.510,10.593,2.160,Fairway,airborne,-0.003,0
86,0.3582,28.272,12.768,27.876,3.467,10.590,2.177,Fairway,airborne,-0.003,0
87,0.3624,28.147,12.782,27.827,3.424,10.587,2.195,Fairway,airborne,-0.003,0
88,0.3666,28.021,12.796,27.778,3.381,10.584,2.212,Fairway,airborne,-0.003,0
89,0.3707,27.895,12.810,27.729,3.338,10.582,2.228,Fairway,airborne,-0.003,0
90,0.3749,27.770,12.824,27.680,3.296,10.579,2.245,Fairway,airborne,-0.003,0
91,0.3791,27.645,12.838,27.631,3.253,10.576,2.261,Fairway,airborne,-0.003,0
92,0.3832,27.519,12.851,27.582,3.210,10.574,2.278,Fairway,airborne,-0.003,0
93,0.3874,27.394,12.864,27.533,3.167,10.571,2.294,Fairway,airborne,-0.003,0
94,0.3916,27.269,12.877,27.484,3.125,10.568,2.310,Fairway,airborne,-0.003,0
95,0.3957,27.144,12.890,27.435,3.082,10.565,2.326,Fairway,airborne,-0.003,0
96,0.3999,27.019,12.903,27.386,3.039,10.562,2.341,Fairway,airborne,-0.003,0
97,0.4041,26.894,12.916,27.337,2.997,10.559,2.357,Fairway,airborne,-0.003,0
98,0.4082,26.769,12.928,27.288,2.954,10.556,2.372,Fairway,airborne,-0.003,0
99,0.4124,26.644,12.940,27.240,2.912,10.553,2.387,Fairway,airborne,-0.003,0
100,0.4166,26.520,12.952,27.191,2.869,10.550,2.403,Fairway,airborne,-0.003,0
101,0.4207,26.395,12.964,27.142,2.826,10.546,2.418,Fairway,airborne,-0.003,0
102,0.4249,26.271,12.976,27.093,2.784,10.543,2.433,Fairway,airborne,-0.003,0
103,0.4291,26.146,12.987,27.045,2.742,10.540,2.447,Fairway,airborne,-0.003,0
104,0.4332,26.022,12.999,26.996,2.699,10.537,2.462,Fairway,airborne,-0.003,0
105,0.4374,25.897,13.010,26.947,2.657,10.534,2.476,Fairway,airborne,-0.003,0
106,0.4416,25.773,13.021,26.899,2.614,10.531,2.490,Fairway,airborne,-0.003,0
107,0.4457,25.649,13.032,26.850,2.572,10.528,2.503,Fairway,airborne,-0.003,0
108,0.4499,25.525,13.042,26.802,2.530,10.526,2.517,Fairway,airborne,-0.003,0
109,0.4541,25.401,13.053,26.753,2.487,10.523,2.530,Fairway,airborne,-0.003,0
110,0.4582,25.277,13.063,26.705,2.445,10.520,2.543,Fairway,airborne,-0.003,0
111,0.4624,25.153,13.073,26.656,2.403,10.517,2.556,Fairway,airborne,-0.003,0
112,0.4666,25.029,13.083,26.608,2.361,10.514,2.569,Fairway,airborne,-0.003,0
113,0.4707,24.905,13.093,26.559,2.315,10.511,2.581,Fairway,airborne,-0.003,0
114,0.4749,24.782,13.102,26.511,2.270,10.509,2.594,Fairway,airborne,-0.003,0
115,0.4790,24.659,13.112,26.463,2.224,10.506,2.606,Fairway,airborne,-0.003,0
116,0.4832,24.536,13.121,26.415,2.178,10.503,2.618,Fairway,airborne,-0.003,0
117,0.4874,24.413,13.130,26.367,2.133,10.500,2.630,Fairway,airborne,-0.003,0
118,0.4915,24.291,13.138,26.319,2.088,10.497,2.641,Fairway,airborne,-0.003,0
119,0.4957,24.169,13.147,26.271,2.042,10.494,2.653,Fairway,airborne,-0.003,0
120,0.4999,24.047,13.155,26.224,1.997,10.491,2.664,Fairway,airborne,-0.003,0
121,0.5040,23.925,13.164,26.176,1.952,10.489,2.675,Fairway,airborne,-0.003,0
122,0.5082,23.804,13.172,26.129,1.907,10.486,2.686,Fairway,airborne,-0.003,0
123,0.5124,23.683,13.180,26.081,1.863,10.483,2.697,Fairway,airborne,-0.003,0
124,0.5165,23.562,13.187,26.034,1.818,10.480,2.707,Fairway,airborne,-0.003,0
125,0.5207,23.441,13.195,25.987,1.773,10.477,2.718,Fairway,airborne,-0.003,0
126,0.5249,23.321,13.202,25.940,1.729,10.474,2.728,Fairway,airborne,-0.003,0
127,0.5290,23.201,13.209,25.893,1.685,10.471,2.738,Fairway,airborne,-0.003,0
128,0.5332,23.081,13.216,25.846,1.640,10.469,2.747,Fairway,airborne,-0.003,0
129,0.5374,22.961,13.223,25.799,1.596,10.466,2.757,Fairway,airborne,-0.003,0
130,0.5415,22.842,13.229,25.752,1.552,10.463,2.766,Fairway,airborne,-0.003,0
131,0.5457,22.723,13.236,25.706,1.508,10.460,2.775,Fairway,airborne,-0.003,0
132,0.5499,22.604,13.242,25.659,1.465,10.457,2.784,Fairway,airborne,-0.003,0
133,0.5540,22.485,13.248,25.613,1.421,10.455,2.793,Fairway,airborne,-0.003,0
134,0.5582,22.367,13.254,25.566,1.377,10.452,2.802,Fairway,airborne,-0.003,0
135,0.5624,22.249,13.259,25.520,1.334,10.449,2.810,Fairway,airborne,-0.003,0
136,0.5665,22.131,13.265,25.474,1.290,10.446,2.818,Fairway,airborne,-0.003,0
137,0.5707,22.013,13.270,25.428,1.247,10.444,2.826,Fairway,airborne,-0.003,0
138,0.5749,21.895,13.275,25.382,1.204,10.441,2.834,Fairway,airborne,-0.003,0
139,0.5790,21.778,13.280,25.336,1.161,10.439,2.841,Fairway,airborne,-0.003,0
