frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
0,0.0000,39.378,10.851,32.220,14.554,10.831,0.020,Fairway,airborne,0.000,0
1,0.0042,39.112,10.912,32.116,14.493,10.826,0.086,Fairway,airborne,-0.005,0
2,0.0083,38.847,10.972,32.013,14.432,10.821,0.151,Fairway,airborne,-0.005,0
3,0.0125,38.583,11.032,31.909,14.372,10.816,0.216,Fairway,airborne,-0.005,0
4,0.0167,38.318,11.092,31.806,14.311,10.811,0.281,Fairway,airborne,-0.005,0
5,0.0208,38.054,11.151,31.703,14.251,10.806,0.346,Fairway,airborne,-0.005,0
6,0.0250,37.791,11.211,31.599,14.191,10.800,0.410,Fairway,airborne,-0.005,0
7,0.0292,37.527,11.270,31.497,14.131,10.795,0.474,Fairway,airborne,-0.005,0
8,0.0333,37.265,11.328,31.394,14.071,10.790,0.538,Fairway,airborne,-0.005,0
9,0.0375,37.002,11.387,31.291,14.011,10.785,0.602,Fairway,airborne,-0.005,0
10,0.0417,36.740,11.445,31.188,13.952,10.780,0.666,Fairway,airborne,-0.005,0
11,0.0458,36.478,11.503,31.086,13.892,10.774,0.729,Fairway,airborne,-0.005,0
12,0.0500,36.216,11.561,30.984,13.833,10.769,0.792,Fairway,airborne,-0.005,0
13,0.0542,35.955,11.618,30.882,13.774,10.763,0.855,Fairway,airborne,-0.005,0
14,0.0583,35.694,11.675,30.779,13.715,10.758,0.917,Fairway,airborne,-0.005,0
15,0.0625,35.434,11.733,30.678,13.656,10.753,0.980,Fairway,airborne,-0.005,0
16,0.0667,35.174,11.789,30.576,13.597,10.747,1.042,Fairway,airborne,-0.006,0
17,0.0708,34.914,11.846,30.474,13.539,10.742,1.104,Fairway,airborne,-0.006,0
18,0.0750,34.655,11.902,30.373,13.480,10.736,1.166,Fairway,airborne,-0.005,0
19,0.0791,34.395,11.958,30.271,13.422,10.731,1.228,Fairway,airborne,-0.006,0
20,0.0833,34.137,12.014,30.170,13.363,10.725,1.289,Fairway,airborne,-0.006,0
21,0.0875,33.878,12.069,30.069,13.305,10.719,1.350,Fairway,airborne,-0.006,0
22,0.0916,33.620,12.125,29.968,13.247,10.713,1.411,Fairway,airborne,-0.006,0
23,0.0958,33.362,12.180,29.867,13.189,10.708,1.472,Fairway,airborne,-0.006,0
24,0.1000,33.105,12.235,29.767,13.132,10.702,1.532,Fairway,airborne,-0.006,0
25,0.1041,32.848,12.289,29.666,13.074,10.696,1.593,Fairway,airborne,-0.006,0
26,0.1083,32.591,12.343,29.566,13.016,10.691,1.653,Fairway,airborne,-0.006,0
27,0.1125,32.335,12.398,29.465,12.959,10.685,1.713,Fairway,airborne,-0.006,0
28,0.1166,32.078,12.451,29.365,12.902,10.679,1.773,Fairway,airborne,-0.006,0
