frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
0,0.0000,39.378,10.851,32.220,10.565,10.831,0.020,Fairway,airborne,0.000,0
1,0.0042,39.290,10.895,32.186,10.511,10.830,0.066,Fairway,airborne,-0.002,0
2,0.0083,39.202,10.939,32.152,10.456,10.828,0.111,Fairway,airborne,-0.002,0
3,0.0125,39.115,10.982,32.117,10.402,10.826,0.156,Fairway,airborne,-0.002,0
4,0.0167,39.027,11.026,32.083,10.347,10.825,0.201,Fairway,airborne,-0.002,0
5,0.0208,38.940,11.069,32.049,10.293,10.823,0.246,Fairway,airborne,-0.002,0
6,0.0250,38.853,11.111,32.015,10.239,10.821,0.290,Fairway,airborne,-0.002,0
7,0.0292,38.766,11.154,31.981,10.185,10.820,0.334,Fairway,airborne,-0.002,0
8,0.0333,38.678,11.196,31.947,10.131,10.818,0.378,Fairway,airborne,-0.002,0
9,0.0375,38.592,11.238,31.913,10.077,10.816,0.422,Fairway,airborne,-0.002,0
10,0.0417,38.505,11.280,31.879,10.023,10.814,0.466,Fairway,airborne,-0.002,0
11,0.0458,38.418,11.322,31.845,9.970,10.813,0.509,Fairway,airborne,-0.002,0
12,0.0500,38.331,11.363,31.811,9.916,10.811,0.552,Fairway,airborne,-0.002,0
13,0.0542,38.245,11.404,31.777,9.863,10.809,0.595,Fairway,airborne,-0.002,0
14,0.0583,38.159,11.445,31.743,9.810,10.808,0.638,Fairway,airborne,-0.002,0
15,0.0625,38.072,11.486,31.710,9.757,10.806,0.680,Fairway,airborne,-0.002,0
16,0.0667,37.986,11.527,31.676,9.704,10.804,0.722,Fairway,airborne,-0.002,0
17,0.0708,37.900,11.567,31.642,9.651,10.803,0.764,Fairway,airborne,-0.002,0
18,0.0750,37.814,11.607,31.609,9.598,10.801,0.806,Fairway,airborne,-0.002,0
19,0.0791,37.728,11.647,31.575,9.546,10.799,0.848,Fairway,airborne,-0.002,0
20,0.0833,37.643,11.687,31.542,9.493,10.797,0.889,Fairway,airborne,-0.002,0
21,0.0875,37.557,11.726,31.508,9.441,10.796,0.930,Fairway,airborne,-0.002,0
22,0.0916,37.471,11.765,31.475,9.388,10.794,0.971,Fairway,airborne,-0.002,0
23,0.0958,37.386,11.804,31.441,9.336,10.792,1.012,Fairway,airborne,-0.002,0
24,0.1000,37.301,11.843,31.408,9.284,10.791,1.052,Fairway,airborne,-0.002,0
25,0.1041,37.215,11.881,31.374,9.232,10.789,1.093,Fairway,airborne,-0.002,0
26,0.1083,37.130,11.920,31.341,9.180,10.787,1.133,Fairway,airborne,-0.002,0
27,0.1125,37.045,11.958,31.308,9.128,10.786,1.172,Fairway,airborne,-0.002,0
28,0.1166,36.960,11.996,31.275,9.077,10.784,1.212,Fairway,airborne,-0.002,0
29,0.1208,36.876,12.034,31.242,9.025,10.782,1.251,Fairway,airborne,-0.002,0
30,0.1250,36.791,12.071,31.208,8.974,10.781,1.290,Fairway,airborne,-0.002,0
31,0.1291,36.706,12.108,31.175,8.922,10.779,1.329,Fairway,airborne,-0.002,0
32,0.1333,36.622,12.145,31.142,8.871,10.777,1.368,Fairway,airborne,-0.002,0
33,0.1375,36.537,12.182,31.109,8.820,10.775,1.407,Fairway,airborne,-0.002,0
34,0.1416,36.453,12.219,31.076,8.769,10.774,1.445,Fairway,airborne,-0.002,0
35,0.1458,36.369,12.255,31.043,8.718,10.772,1.483,Fairway,airborne,-0.002,0
36,0.1500,36.285,12.291,31.010,8.667,10.770,1.521,Fairway,airborne,-0.002,0
37,0.1541,36.201,12.327,30.978,8.616,10.768,1.559,Fairway,airborne,-0.002,0
38,0.1583,36.117,12.363,30.945,8.565,10.766,1.597,Fairway,airborne,-0.002,0
39,0.1625,36.033,12.399,30.912,8.515,10.765,1.634,Fairway,airborne,-0.002,0
40,0.1666,35.949,12.434,30.879,8.464,10.763,1.671,Fairway,airborne,-0.002,0
41,0.1708,35.865,12.469,30.846,8.414,10.762,1.708,Fairway,airborne,-0.002,0
42,0.1750,35.782,12.504,30.814,8.363,10.760,1.744,Fairway,airborne,-0.002,0
43,0.1791,35.699,12.539,30.781,8.313,10.758,1.781,Fairway,airborne,-0.002,0
44,0.1833,35.615,12.573,30.749,8.263,10.757,1.817,Fairway,airborne,-0.002,0
45,0.1875,35.532,12.608,30.716,8.213,10.755,1.853,Fairway,airborne,-0.002,0
46,0.1916,35.449,12.642,30.683,8.163,10.753,1.889,Fairway,airborne,-0.002,0
47,0.1958,35.366,12.676,30.651,8.113,10.752,1.924,Fairway,airborne,-0.002,0
48,0.2000,35.283,12.709,30.619,8.063,10.750,1.960,Fairway,airborne,-0.002,0
49,0.2041,35.200,12.743,30.586,8.013,10.748,1.995,Fairway,airborne,-0.002,0
50,0.2083,35.117,12.776,30.554,7.964,10.746,2.030,Fairway,airborne,-0.002,0
51,0.2124,35.034,12.809,30.521,7.914,10.744,2.065,Fairway,airborne,-0.002,0
52,0.2166,34.952,12.842,30.489,7.865,10.743,2.100,Fairway,airborne,-0.002,0
53,0.2208,34.869,12.875,30.457,7.815,10.741,2.134,Fairway,airborne,-0.002,0
54,0.2249,34.787,12.907,30.425,7.766,10.739,2.168,Fairway,airborne,-0.002,0
55,0.2291,34.704,12.939,30.392,7.717,10.737,2.202,Fairway,airborne,-0.002,0
56,0.2333,34.622,12.971,30.360,7.668,10.736,2.236,Fairway,airborne,-0.002,0
57,0.2374,34.540,13.003,30.328,7.619,10.734,2.270,Fairway,airborne,-0.002,0
58,0.2416,34.458,13.035,30.296,7.570,10.732,2.303,Fairway,airborne,-0.002,0
59,0.2458,34.376,13.066,30.264,7.521,10.730,2.336,Fairway,airborne,-0.002,0
60,0.2499,34.294,13.098,30.232,7.472,10.728,2.369,Fairway,airborne,-0.002,0
61,0.2541,34.212,13.129,30.200,7.423,10.726,2.402,Fairway,airborne,-0.002,0
62,0.2583,34.130,13.159,30.168,7.374,10.725,2.435,Fairway,airborne,-0.002,0
63,0.2624,34.049,13.190,30.136,7.326,10.723,2.467,Fairway,airborne,-0.002,0
64,0.2666,33.967,13.220,30.104,7.277,10.721,2.499,Fairway,airborne,-0.002,0
65,0.2708,33.886,13.251,30.072,7.229,10.719,2.531,Fairway,airborne,-0.002,0
66,0.2749,33.804,13.281,30.040,7.181,10.717,2.563,Fairway,airborne,-0.002,0
67,0.2791,33.723,13.310,30.008,7.132,10.716,2.595,Fairway,airborne,-0.002,0
68,0.2833,33.642,13.340,29.977,7.084,10.714,2.626,Fairway,airborne,-0.002,0
69,0.2874,33.561,13.369,29.945,7.036,10.712,2.658,Fairway,airborne,-0.002,0
70,0.2916,33.480,13.399,29.913,6.988,10.710,2.688,Fairway,airborne,-0.002,0
71,0.2958,33.399,13.428,29.882,6.940,10.708,2.719,Fairway,airborne,-0.002,0
72,0.2999,33.318,13.456,29.850,6.892,10.707,2.750,Fairway,airborne,-0.002,0
73,0.3041,33.237,13.485,29.818,6.844,10.705,2.780,Fairway,airborne,-0.002,0
74,0.3083,33.156,13.513,29.787,6.796,10.703,2.810,Fairway,airborne,-0.002,0
75,0.3124,33.075,13.542,29.755,6.749,10.701,2.840,Fairway,airborne,-0.002,0
76,0.3166,32.995,13.570,29.724,6.701,10.700,2.870,Fairway,airborne,-0.002,0
77,0.3208,32.914,13.597,29.692,6.653,10.698,2.900,Fairway,airborne,-0.002,0
78,0.3249,32.834,13.625,29.661,6.606,10.696,2.929,Fairway,airborne,-0.002,0
79,0.3291,32.754,13.652,29.629,6.559,10.694,2.958,Fairway,airborne,-0.002,0
80,0.3333,32.673,13.680,29.598,6.511,10.693,2.987,Fairway,airborne,-0.002,0
81,0.3374,32.593,13.707,29.567,6.464,10.691,3.016,Fairway,airborne,-0.002,0
82,0.3416,32.513,13.733,29.535,6.417,10.689,3.044,Fairway,airborne,-0.002,0
83,0.3457,32.433,13.760,29.504,6.369,10.687,3.073,Fairway,airborne,-0.002,0
84,0.3499,32.353,13.787,29.473,6.322,10.685,3.101,Fairway,airborne,-0.002,0
85,0.3541,32.273,13.813,29.441,6.275,10.684,3.129,Fairway,airborne,-0.002,0
86,0.3582,32.194,13.839,29.410,6.228,10.682,3.157,Fairway,airborne,-0.002,0
87,0.3624,32.114,13.865,29.379,6.181,10.680,3.185,Fairway,airborne,-0.002,0
88,0.3666,32.034,13.890,29.348,6.135,10.678,3.212,Fairway,airborne,-0.002,0
89,0.3707,31.955,13.916,29.317,6.088,10.676,3.240,Fairway,airborne,-0.002,0
90,0.3749,31.875,13.941,29.286,6.041,10.674,3.267,Fairway,airborne,-0.002,0
91,0.3791,31.796,13.966,29.255,5.994,10.673,3.293,Fairway,airborne,-0.002,0
92,0.3832,31.717,13.991,29.224,5.948,10.671,3.320,Fairway,airborne,-0.002,0
93,0.3874,31.638,14.016,29.193,5.901,10.669,3.347,Fairway,airborne,-0.002,0
94,0.3916,31.558,14.040,29.162,5.855,10.667,3.373,Fairway,airborne,-0.002,0
95,0.3957,31.479,14.064,29.131,5.809,10.665,3.399,Fairway,airborne,-0.002,0
96,0.3999,31.400,14.088,29.100,5.762,10.664,3.425,Fairway,airborne,-0.002,0
97,0.4041,31.321,14.112,29.069,5.716,10.662,3.450,Fairway,airborne,-0.002,0
98,0.4082,31.243,14.136,29.038,5.670,10.660,3.476,Fairway,airborne,-0.002,0
99,0.4124,31.164,14.160,29.007,5.624,10.658,3.501,Fairway,airborne,-0.002,0
100,0.4166,31.085,14.183,28.977,5.577,10.657,3.526,Fairway,airborne,-0.002,0
101,0.4207,31.006,14.206,28.946,5.531,10.655,3.551,Fairway,airborne,-0.002,0
102,0.4249,30.928,14.229,28.915,5.485,10.653,3.576,Fairway,airborne,-0.002,0
103,0.4291,30.849,14.252,28.884,5.439,10.651,3.601,Fairway,airborne,-0.002,0
104,0.4332,30.771,14.274,28.854,5.394,10.649,3.625,Fairway,airborne,-0.002,0
105,0.4374,30.693,14.297,28.823,5.348,10.648,3.649,Fairway,airborne,-0.002,0
106,0.4416,30.614,14.319,28.793,5.302,10.646,3.673,Fairway,airborne,-0.002,0
107,0.4457,30.536,14.341,28.762,5.256,10.644,3.697,Fairway,airborne,-0.002,0
108,0.4499,30.458,14.363,28.731,5.211,10.642,3.720,Fairway,airborne,-0.002,0
109,0.4541,30.380,14.384,28.701,5.165,10.641,3.744,Fairway,airborne,-0.002,0
110,0.4582,30.302,14.406,28.670,5.120,10.639,3.767,Fairway,airborne,-0.002,0
111,0.4624,30.224,14.427,28.640,5.074,10.637,3.790,Fairway,airborne,-0.002,0
112,0.4666,30.146,14.448,28.609,5.029,10.635,3.813,Fairway,airborne,-0.002,0
113,0.4707,30.069,14.469,28.579,4.983,10.633,3.836,Fairway,airborne,-0.002,0
114,0.4749,29.991,14.489,28.549,4.938,10.631,3.858,Fairway,airborne,-0.002,0
115,0.4790,29.913,14.510,28.518,4.893,10.629,3.881,Fairway,airborne,-0.002,0
116,0.4832,29.836,14.530,28.488,4.847,10.628,3.903,Fairway,airborne,-0.002,0
117,0.4874,29.758,14.550,28.458,4.802,10.626,3.925,Fairway,airborne,-0.002,0
118,0.4915,29.681,14.570,28.427,4.757,10.624,3.946,Fairway,airborne,-0.002,0
119,0.4957,29.603,14.590,28.397,4.712,10.622,3.968,Fairway,airborne,-0.002,0
120,0.4999,29.526,14.609,28.367,4.667,10.620,3.989,Fairway,airborne,-0.002,0
121,0.5040,29.449,14.629,28.337,4.622,10.619,4.010,Fairway,airborne,-0.002,0
122,0.5082,29.372,14.648,28.306,4.577,10.617,4.031,Fairway,airborne,-0.002,0
123,0.5124,29.295,14.667,28.276,4.532,10.615,4.052,Fairway,airborne,-0.002,0
124,0.5165,29.218,14.686,28.246,4.488,10.613,4.072,Fairway,airborne,-0.002,0
125,0.5207,29.141,14.704,28.216,4.443,10.611,4.093,Fairway,airborne,-0.002,0
126,0.5249,29.064,14.723,28.186,4.398,10.610,4.113,Fairway,airborne,-0.002,0
127,0.5290,28.987,14.741,28.156,4.353,10.608,4.133,Fairway,airborne,-0.002,0
128,0.5332,28.910,14.759,28.126,4.309,10.606,4.153,Fairway,airborne,-0.002,0
129,0.5374,28.834,14.777,28.096,4.264,10.604,4.173,Fairway,airborne,-0.002,0
130,0.5415,28.757,14.794,28.066,4.220,10.602,4.192,Fairway,airborne,-0.002,0
131,0.5457,28.680,14.812,28.036,4.175,10.600,4.212,Fairway,airborne,-0.002,0
132,0.5499,28.604,14.829,28.006,4.131,10.598,4.231,Fairway,airborne,-0.002,0
133,0.5540,28.528,14.846,27.976,4.086,10.596,4.250,Fairway,airborne,-0.002,0
134,0.5582,28.451,14.863,27.946,4.042,10.594,4.269,Fairway,airborne,-0.002,0
135,0.5624,28.375,14.880,27.917,3.998,10.593,4.287,Fairway,airborne,-0.002,0
136,0.5665,28.299,14.896,27.887,3.954,10.591,4.306,Fairway,airborne,-0.002,0
137,0.5707,28.223,14.913,27.857,3.909,10.589,4.324,Fairway,airborne,-0.002,0
138,0.5749,28.147,14.929,27.827,3.865,10.587,4.342,Fairway,airborne,-0.002,0
139,0.5790,28.070,14.945,27.797,3.821,10.586,4.359,Fairway,airborne,-0.002,0
140,0.5832,27.995,14.961,27.768,3.777,10.584,4.377,Fairway,airborne,-0.002,0
141,0.5874,27.919,14.976,27.738,3.733,10.582,4.394,Fairway,airborne,-0.002,0
142,0.5915,27.843,14.992,27.708,3.689,10.581,4.411,Fairway,airborne,-0.002,0
143,0.5957,27.767,15.007,27.679,3.645,10.579,4.428,Fairway,airborne,-0.002,0
144,0.5999,27.691,15.022,27.649,3.601,10.577,4.445,Fairway,airborne,-0.002,0
145,0.6040,27.616,15.037,27.620,3.558,10.576,4.462,Fairway,airborne,-0.002,0
146,0.6082,27.540,15.052,27.590,3.514,10.574,4.478,Fairway,airborne,-0.002,0
147,0.6124,27.465,15.066,27.560,3.470,10.572,4.494,Fairway,airborne,-0.002,0
148,0.6165,27.389,15.081,27.531,3.426,10.571,4.510,Fairway,airborne,-0.002,0
149,0.6207,27.314,15.095,27.501,3.383,10.569,4.526,Fairway,airborne,-0.002,0
150,0.6248,27.238,15.109,27.472,3.339,10.567,4.542,Fairway,airborne,-0.002,0
151,0.6290,27.163,15.123,27.443,3.296,10.565,4.558,Fairway,airborne,-0.002,0
152,0.6332,27.088,15.136,27.413,3.252,10.563,4.573,Fairway,airborne,-0.002,0
153,0.6373,27.013,15.150,27.384,3.209,10.562,4.588,Fairway,airborne,-0.002,0
154,0.6415,26.938,15.163,27.354,3.165,10.560,4.603,Fairway,airborne,-0.002,0
