frame,phase,surface,ballX,ballY,ballZ,groundY2arg,groundY3arg
1,roll,Fairway,52.3418,8.3431,0.0000,8.3218,8.3218
2,roll,Fairway,52.3430,8.3431,0.0000,8.3218,8.3218
3,roll,Fairway,52.3441,8.3431,0.0000,8.3217,8.3217
4,roll,Fairway,52.3452,8.3431,0.0000,8.3217,8.3217
5,roll,Fairway,52.3463,8.3430,0.0000,8.3217,8.3217
6,roll,Fairway,52.3474,8.3430,0.0000,8.3217,8.3217
7,roll,Fairway,52.3485,8.3430,0.0000,8.3217,8.3217
8,roll,Fairway,52.3496,8.3430,0.0000,8.3217,8.3217
9,roll,Fairway,52.3507,8.3430,0.0000,8.3216,8.3216
10,roll,Fairway,52.3518,8.3430,0.0000,8.3216,8.3216
11,roll,Fairway,52.3529,8.3429,0.0000,8.3216,8.3216
12,roll,Fairway,52.3540,8.3429,0.0000,8.3216,8.3216
13,roll,Fairway,52.3551,8.3429,0.0000,8.3216,8.3216
14,roll,Fairway,52.3562,8.3429,0.0000,8.3215,8.3215
15,roll,Fairway,52.3573,8.3429,0.0000,8.3215,8.3215
16,roll,Fairway,52.3584,8.3429,0.0000,8.3215,8.3215
17,roll,Fairway,52.3595,8.3428,0.0000,8.3215,8.3215
18,roll,Fairway,52.3606,8.3428,0.0000,8.3215,8.3215
19,roll,Fairway,52.3617,8.3428,0.0000,8.3215,8.3215
20,roll,Fairway,52.3628,8.3428,0.0000,8.3214,8.3214
21,roll,Fairway,52.3638,8.3428,0.0000,8.3214,8.3214
22,roll,Fairway,52.3649,8.3427,0.0000,8.3214,8.3214
23,roll,Fairway,52.3660,8.3427,0.0000,8.3214,8.3214
24,roll,Fairway,52.3671,8.3427,0.0000,8.3214,8.3214
25,roll,Fairway,52.3682,8.3427,0.0000,8.3213,8.3213
26,roll,Fairway,52.3693,8.3427,0.0000,8.3213,8.3213
27,roll,Fairway,52.3703,8.3427,0.0000,8.3213,8.3213
28,roll,Fairway,52.3714,8.3426,0.0000,8.3213,8.3213
29,roll,Fairway,52.3725,8.3426,0.0000,8.3213,8.3213
30,roll,Fairway,52.3736,8.3426,0.0000,8.3213,8.3213
31,roll,Fairway,52.3747,8.3426,0.0000,8.3212,8.3212
32,roll,Fairway,52.3758,8.3426,0.0000,8.3212,8.3212
33,roll,Fairway,52.3768,8.3425,0.0000,8.3212,8.3212
34,roll,Fairway,52.3779,8.3425,0.0000,8.3212,8.3212
35,roll,Fairway,52.3790,8.3425,0.0000,8.3212,8.3212
36,roll,Fairway,52.3801,8.3425,0.0000,8.3211,8.3211
37,roll,Fairway,52.3812,8.3425,0.0000,8.3211,8.3211
38,roll,Fairway,52.3823,8.3425,0.0000,8.3211,8.3211
39,roll,Fairway,52.3833,8.3424,0.0000,8.3211,8.3211
40,roll,Fairway,52.3844,8.3424,0.0000,8.3211,8.3211
41,roll,Fairway,52.3855,8.3424,0.0000,8.3210,8.3210
42,roll,Fairway,52.3865,8.3424,0.0000,8.3210,8.3210
43,roll,Fairway,52.3876,8.3424,0.0000,8.3210,8.3210
44,roll,Fairway,52.3887,8.3423,0.0000,8.3210,8.3210
45,roll,Fairway,52.3897,8.3423,0.0000,8.3210,8.3210
46,roll,Fairway,52.3908,8.3423,0.0000,8.3210,8.3210
47,roll,Fairway,52.3919,8.3423,0.0000,8.3209,8.3209
48,roll,Fairway,52.3929,8.3423,0.0000,8.3209,8.3209
49,roll,Fairway,52.3940,8.3423,0.0000,8.3209,8.3209
50,roll,Fairway,52.3951,8.3422,0.0000,8.3209,8.3209
51,roll,Fairway,52.3962,8.3422,0.0000,8.3209,8.3209
52,roll,Fairway,52.3972,8.3422,0.0000,8.3209,8.3209
53,roll,Fairway,52.3983,8.3422,0.0000,8.3208,8.3208
54,roll,Fairway,52.3994,8.3422,0.0000,8.3208,8.3208
55,roll,Fairway,52.4004,8.3421,0.0000,8.3208,8.3208
56,roll,Fairway,52.4015,8.3421,0.0000,8.3208,8.3208
57,roll,Fairway,52.4026,8.3421,0.0000,8.3208,8.3208
58,roll,Fairway,52.4036,8.3421,0.0000,8.3208,8.3208
59,roll,Fairway,52.4047,8.3421,0.0000,8.3207,8.3207
60,roll,Fairway,52.4057,8.3421,0.0000,8.3207,8.3207
61,roll,Fairway,52.4068,8.3420,0.0000,8.3207,8.3207
62,roll,Fairway,52.4078,8.3420,0.0000,8.3207,8.3207
63,roll,Fairway,52.4089,8.3420,0.0000,8.3207,8.3207
64,roll,Fairway,52.4099,8.3420,0.0000,8.3206,8.3206
65,roll,Fairway,52.4110,8.3420,0.0000,8.3206,8.3206
66,roll,Fairway,52.4120,8.3419,0.0000,8.3206,8.3206
67,roll,Fairway,52.4131,8.3419,0.0000,8.3206,8.3206
68,roll,Fairway,52.4141,8.3419,0.0000,8.3206,8.3206
69,roll,Fairway,52.4152,8.3419,0.0000,8.3206,8.3206
70,roll,Fairway,52.4162,8.3419,0.0000,8.3205,8.3205
71,roll,Fairway,52.4173,8.3419,0.0000,8.3205,8.3205
72,roll,Fairway,52.4184,8.3418,0.0000,8.3205,8.3205
73,roll,Fairway,52.4194,8.3418,0.0000,8.3205,8.3205
74,roll,Fairway,52.4205,8.3418,0.0000,8.3205,8.3205
75,roll,Fairway,52.4215,8.3418,0.0000,8.3205,8.3205
76,roll,Fairway,52.4226,8.3418,0.0000,8.3204,8.3204
77,roll,Fairway,52.4236,8.3418,0.0000,8.3204,8.3204
78,roll,Fairway,52.4246,8.3418,0.0000,8.3204,8.3204
79,roll,Fairway,52.4257,8.3417,0.0000,8.3204,8.3204
80,roll,Fairway,52.4267,8.3417,0.0000,8.3204,8.3204
81,roll,Fairway,52.4278,8.3417,0.0000,8.3203,8.3203
82,roll,Fairway,52.4288,8.3417,0.0000,8.3203,8.3203
83,roll,Fairway,52.4298,8.3417,0.0000,8.3203,8.3203
84,roll,Fairway,52.4309,8.3416,0.0000,8.3203,8.3203
85,roll,Fairway,52.4319,8.3416,0.0000,8.3203,8.3203
86,roll,Fairway,52.4329,8.3416,0.0000,8.3203,8.3203
87,roll,Fairway,52.4340,8.3416,0.0000,8.3202,8.3202
88,roll,Fairway,52.4350,8.3416,0.0000,8.3202,8.3202
89,roll,Fairway,52.4361,8.3416,0.0000,8.3202,8.3202
90,roll,Fairway,52.4371,8.3415,0.0000,8.3202,8.3202
91,roll,Fairway,52.4381,8.3415,0.0000,8.3202,8.3202
92,roll,Fairway,52.4392,8.3415,0.0000,8.3202,8.3202
93,roll,Fairway,52.4402,8.3415,0.0000,8.3201,8.3201
94,roll,Fairway,52.4412,8.3415,0.0000,8.3201,8.3201
95,roll,Fairway,52.4423,8.3414,0.0000,8.3201,8.3201
96,roll,Fairway,52.4433,8.3414,0.0000,8.3201,8.3201
97,roll,Fairway,52.4443,8.3414,0.0000,8.3201,8.3201
98,roll,Fairway,52.4453,8.3414,0.0000,8.3201,8.3201
99,roll,Fairway,52.4464,8.3414,0.0000,8.3200,8.3200
100,roll,Fairway,52.4474,8.3414,0.0000,8.3200,8.3200
101,roll,Fairway,52.4484,8.3413,0.0000,8.3200,8.3200
102,roll,Fairway,52.4494,8.3413,0.0000,8.3200,8.3200
103,roll,Fairway,52.4504,8.3413,0.0000,8.3200,8.3200
104,roll,Fairway,52.4515,8.3413,0.0000,8.3199,8.3199
105,roll,Fairway,52.4525,8.3413,0.0000,8.3199,8.3199
106,roll,Fairway,52.4535,8.3413,0.0000,8.3199,8.3199
107,roll,Fairway,52.4545,8.3412,0.0000,8.3199,8.3199
108,roll,Fairway,52.4556,8.3412,0.0000,8.3199,8.3199
109,roll,Fairway,52.4566,8.3412,0.0000,8.3199,8.3199
110,roll,Fairway,52.4576,8.3412,0.0000,8.3198,8.3198
111,roll,Fairway,52.4586,8.3412,0.0000,8.3198,8.3198
112,roll,Fairway,52.4596,8.3412,0.0000,8.3198,8.3198
113,roll,Fairway,52.4607,8.3411,0.0000,8.3198,8.3198
114,roll,Fairway,52.4617,8.3411,0.0000,8.3198,8.3198
115,roll,Fairway,52.4627,8.3411,0.0000,8.3198,8.3198
116,roll,Fairway,52.4637,8.3411,0.0000,8.3197,8.3197
117,roll,Fairway,52.4647,8.3411,0.0000,8.3197,8.3197
118,roll,Fairway,52.4657,8.3411,0.0000,8.3197,8.3197
119,roll,Fairway,52.4667,8.3410,0.0000,8.3197,8.3197
120,roll,Fairway,52.4677,8.3410,0.0000,8.3197,8.3197
121,roll,Fairway,52.4687,8.3410,0.0000,8.3197,8.3197
122,roll,Fairway,52.4697,8.3410,0.0000,8.3196,8.3196
123,roll,Fairway,52.4707,8.3410,0.0000,8.3196,8.3196
124,roll,Fairway,52.4717,8.3410,0.0000,8.3196,8.3196
125,roll,Fairway,52.4728,8.3409,0.0000,8.3196,8.3196
126,roll,Fairway,52.4738,8.3409,0.0000,8.3196,8.3196
127,roll,Fairway,52.4748,8.3409,0.0000,8.3196,8.3196
128,roll,Fairway,52.4758,8.3409,0.0000,8.3195,8.3195
129,roll,Fairway,52.4768,8.3409,0.0000,8.3195,8.3195
130,roll,Fairway,52.4778,8.3409,0.0000,8.3195,8.3195
131,roll,Fairway,52.4788,8.3408,0.0000,8.3195,8.3195
132,roll,Fairway,52.4798,8.3408,0.0000,8.3195,8.3195
133,roll,Fairway,52.4808,8.3408,0.0000,8.3195,8.3195
134,roll,Fairway,52.4818,8.3408,0.0000,8.3194,8.3194
135,roll,Fairway,52.4828,8.3408,0.0000,8.3194,8.3194
136,roll,Fairway,52.4838,8.3408,0.0000,8.3194,8.3194
137,roll,Fairway,52.4848,8.3407,0.0000,8.3194,8.3194
138,roll,Fairway,52.4858,8.3407,0.0000,8.3194,8.3194
139,roll,Fairway,52.4867,8.3407,0.0000,8.3194,8.3194
140,roll,Fairway,52.4877,8.3407,0.0000,8.3193,8.3193
141,roll,Fairway,52.4887,8.3407,0.0000,8.3193,8.3193
142,roll,Fairway,52.4897,8.3407,0.0000,8.3193,8.3193
143,roll,Fairway,52.4907,8.3406,0.0000,8.3193,8.3193
144,roll,Fairway,52.4917,8.3406,0.0000,8.3193,8.3193
145,roll,Fairway,52.4927,8.3406,0.0000,8.3193,8.3193
146,roll,Fairway,52.4937,8.3406,0.0000,8.3192,8.3192
147,roll,Fairway,52.4947,8.3406,0.0000,8.3192,8.3192
148,roll,Fairway,52.4957,8.3406,0.0000,8.3192,8.3192
149,roll,Fairway,52.4967,8.3405,0.0000,8.3192,8.3192
150,roll,Fairway,52.4977,8.3405,0.0000,8.3192,8.3192
151,roll,Fairway,52.4986,8.3405,0.0000,8.3192,8.3192
152,roll,Fairway,52.4996,8.3405,0.0000,8.3191,8.3191
153,roll,Fairway,52.5006,8.3405,0.0000,8.3191,8.3191
154,roll,Fairway,52.5016,8.3405,0.0000,8.3191,8.3191
155,roll,Fairway,52.5026,8.3404,0.0000,8.3191,8.3191
156,roll,Fairway,52.5035,8.3404,0.0000,8.3191,8.3191
