frame,phase,surface,ballX,ballY,ballZ,groundY2arg,groundY3arg
1,roll,Fairway,78.5225,10.2882,28.0893,10.2669,10.2669
2,roll,Fairway,78.5207,10.2882,28.0891,10.2669,10.2669
3,roll,Fairway,78.5188,10.2883,28.0890,10.2669,10.2669
4,roll,Fairway,78.5169,10.2883,28.0888,10.2669,10.2669
5,roll,Fairway,78.5151,10.2883,28.0886,10.2669,10.2669
6,roll,Fairway,78.5132,10.2883,28.0885,10.2670,10.2670
7,roll,Fairway,78.5114,10.2883,28.0883,10.2670,10.2670
8,roll,Fairway,78.5095,10.2883,28.0881,10.2670,10.2670
9,roll,Fairway,78.5077,10.2884,28.0880,10.2670,10.2670
10,roll,Fairway,78.5058,10.2884,28.0878,10.2670,10.2670
11,roll,Fairway,78.5040,10.2884,28.0876,10.2670,10.2670
12,roll,Fairway,78.5022,10.2884,28.0875,10.2670,10.2670
13,roll,Fairway,78.5003,10.2884,28.0873,10.2671,10.2671
14,roll,Fairway,78.4985,10.2884,28.0871,10.2671,10.2671
15,roll,Fairway,78.4966,10.2884,28.0870,10.2671,10.2671
16,roll,Fairway,78.4948,10.2884,28.0868,10.2671,10.2671
17,roll,Fairway,78.4929,10.2885,28.0866,10.2671,10.2671
18,roll,Fairway,78.4911,10.2885,28.0865,10.2671,10.2671
19,roll,Fairway,78.4893,10.2885,28.0863,10.2671,10.2671
20,roll,Fairway,78.4874,10.2885,28.0861,10.2672,10.2672
21,roll,Fairway,78.4856,10.2885,28.0860,10.2672,10.2672
22,roll,Fairway,78.4838,10.2885,28.0858,10.2672,10.2672
23,roll,Fairway,78.4820,10.2885,28.0856,10.2672,10.2672
24,roll,Fairway,78.4801,10.2886,28.0855,10.2672,10.2672
25,roll,Fairway,78.4783,10.2886,28.0853,10.2672,10.2672
26,roll,Fairway,78.4765,10.2886,28.0851,10.2672,10.2672
27,roll,Fairway,78.4746,10.2886,28.0850,10.2672,10.2672
28,roll,Fairway,78.4728,10.2886,28.0848,10.2673,10.2673
29,roll,Fairway,78.4710,10.2886,28.0846,10.2673,10.2673
30,roll,Fairway,78.4692,10.2886,28.0844,10.2673,10.2673
31,roll,Fairway,78.4674,10.2887,28.0843,10.2673,10.2673
32,roll,Fairway,78.4655,10.2887,28.0841,10.2673,10.2673
33,roll,Fairway,78.4637,10.2887,28.0839,10.2673,10.2673
34,roll,Fairway,78.4619,10.2887,28.0838,10.2674,10.2674
35,roll,Fairway,78.4601,10.2887,28.0836,10.2674,10.2674
36,roll,Fairway,78.4583,10.2887,28.0834,10.2674,10.2674
37,roll,Fairway,78.4565,10.2887,28.0833,10.2674,10.2674
38,roll,Fairway,78.4546,10.2887,28.0831,10.2674,10.2674
39,roll,Fairway,78.4528,10.2888,28.0829,10.2674,10.2674
40,roll,Fairway,78.4510,10.2888,28.0828,10.2674,10.2674
41,roll,Fairway,78.4492,10.2888,28.0826,10.2674,10.2674
42,roll,Fairway,78.4474,10.2888,28.0824,10.2675,10.2675
43,roll,Fairway,78.4456,10.2888,28.0823,10.2675,10.2675
44,roll,Fairway,78.4438,10.2888,28.0821,10.2675,10.2675
45,roll,Fairway,78.4420,10.2889,28.0819,10.2675,10.2675
46,roll,Fairway,78.4402,10.2889,28.0818,10.2675,10.2675
47,roll,Fairway,78.4384,10.2889,28.0816,10.2675,10.2675
48,roll,Fairway,78.4366,10.2889,28.0814,10.2675,10.2675
49,roll,Fairway,78.4348,10.2889,28.0813,10.2676,10.2676
50,roll,Fairway,78.4330,10.2889,28.0811,10.2676,10.2676
51,roll,Fairway,78.4312,10.2889,28.0809,10.2676,10.2676
52,roll,Fairway,78.4294,10.2889,28.0808,10.2676,10.2676
53,roll,Fairway,78.4277,10.2890,28.0806,10.2676,10.2676
54,roll,Fairway,78.4259,10.2890,28.0805,10.2676,10.2676
55,roll,Fairway,78.4241,10.2890,28.0803,10.2676,10.2676
56,roll,Fairway,78.4223,10.2890,28.0802,10.2676,10.2676
57,roll,Fairway,78.4205,10.2890,28.0800,10.2677,10.2677
58,roll,Fairway,78.4187,10.2890,28.0799,10.2677,10.2677
59,roll,Fairway,78.4170,10.2890,28.0797,10.2677,10.2677
60,roll,Fairway,78.4152,10.2891,28.0795,10.2677,10.2677
61,roll,Fairway,78.4134,10.2891,28.0794,10.2677,10.2677
62,roll,Fairway,78.4116,10.2891,28.0792,10.2677,10.2677
63,roll,Fairway,78.4098,10.2891,28.0791,10.2678,10.2678
64,roll,Fairway,78.4081,10.2891,28.0789,10.2678,10.2678
65,roll,Fairway,78.4063,10.2891,28.0788,10.2678,10.2678
66,roll,Fairway,78.4045,10.2891,28.0786,10.2678,10.2678
67,roll,Fairway,78.4027,10.2891,28.0785,10.2678,10.2678
68,roll,Fairway,78.4010,10.2892,28.0783,10.2678,10.2678
69,roll,Fairway,78.3992,10.2892,28.0782,10.2678,10.2678
70,roll,Fairway,78.3974,10.2892,28.0780,10.2678,10.2678
71,roll,Fairway,78.3957,10.2892,28.0779,10.2679,10.2679
72,roll,Fairway,78.3939,10.2892,28.0777,10.2679,10.2679
73,roll,Fairway,78.3921,10.2892,28.0776,10.2679,10.2679
74,roll,Fairway,78.3904,10.2893,28.0774,10.2679,10.2679
75,roll,Fairway,78.3886,10.2893,28.0773,10.2679,10.2679
76,roll,Fairway,78.3868,10.2893,28.0771,10.2679,10.2679
77,roll,Fairway,78.3851,10.2893,28.0770,10.2679,10.2679
78,roll,Fairway,78.3833,10.2893,28.0768,10.2679,10.2679
79,roll,Fairway,78.3816,10.2893,28.0766,10.2680,10.2680
80,roll,Fairway,78.3798,10.2893,28.0765,10.2680,10.2680
81,roll,Fairway,78.3781,10.2893,28.0763,10.2680,10.2680
82,roll,Fairway,78.3763,10.2894,28.0762,10.2680,10.2680
83,roll,Fairway,78.3746,10.2894,28.0760,10.2680,10.2680
84,roll,Fairway,78.3728,10.2894,28.0759,10.2680,10.2680
85,roll,Fairway,78.3711,10.2894,28.0757,10.2681,10.2681
86,roll,Fairway,78.3693,10.2894,28.0756,10.2681,10.2681
87,roll,Fairway,78.3676,10.2894,28.0754,10.2681,10.2681
88,roll,Fairway,78.3658,10.2894,28.0753,10.2681,10.2681
89,roll,Fairway,78.3641,10.2894,28.0751,10.2681,10.2681
90,roll,Fairway,78.3623,10.2895,28.0750,10.2681,10.2681
91,roll,Fairway,78.3606,10.2895,28.0748,10.2681,10.2681
92,roll,Fairway,78.3589,10.2895,28.0747,10.2681,10.2681
93,roll,Fairway,78.3571,10.2895,28.0745,10.2682,10.2682
94,roll,Fairway,78.3554,10.2895,28.0744,10.2682,10.2682
95,roll,Fairway,78.3536,10.2895,28.0742,10.2682,10.2682
96,roll,Fairway,78.3519,10.2895,28.0741,10.2682,10.2682
97,roll,Fairway,78.3502,10.2896,28.0739,10.2682,10.2682
98,roll,Fairway,78.3484,10.2896,28.0738,10.2682,10.2682
99,roll,Fairway,78.3467,10.2896,28.0736,10.2682,10.2682
100,roll,Fairway,78.3450,10.2896,28.0734,10.2683,10.2683
101,roll,Fairway,78.3433,10.2896,28.0733,10.2683,10.2683
102,roll,Fairway,78.3415,10.2896,28.0731,10.2683,10.2683
103,roll,Fairway,78.3398,10.2896,28.0730,10.2683,10.2683
