frame,phase,surface,ballX,ballY,ballZ,groundY2arg,groundY3arg
1,roll,Fairway,-405.1804,0.0213,-72.0000,0.0000,0.0000
2,roll,Fairway,-405.1820,0.0213,-72.0000,0.0000,0.0000
3,roll,Fairway,-405.1836,0.0213,-72.0000,0.0000,0.0000
4,roll,Fairway,-405.1852,0.0213,-72.0000,0.0000,0.0000
5,roll,Fairway,-405.1869,0.0213,-72.0000,0.0000,0.0000
6,roll,Fairway,-405.1885,0.0213,-72.0000,0.0000,0.0000
7,roll,Fairway,-405.1901,0.0213,-72.0000,0.0000,0.0000
8,roll,Fairway,-405.1918,0.0213,-72.0000,0.0000,0.0000
9,roll,Fairway,-405.1934,0.0213,-72.0000,0.0000,0.0000
10,roll,Fairway,-405.1950,0.0213,-72.0000,0.0000,0.0000
11,roll,Fairway,-405.1966,0.0213,-72.0000,0.0000,0.0000
12,roll,Fairway,-405.1982,0.0213,-72.0000,0.0000,0.0000
13,roll,Fairway,-405.1999,0.0213,-72.0000,0.0000,0.0000
14,roll,Fairway,-405.2015,0.0213,-72.0000,0.0000,0.0000
15,roll,Fairway,-405.2031,0.0213,-72.0000,0.0000,0.0000
16,roll,Fairway,-405.2047,0.0213,-72.0000,0.0000,0.0000
17,roll,Fairway,-405.2063,0.0213,-72.0000,0.0000,0.0000
18,roll,Fairway,-405.2079,0.0213,-72.0000,0.0000,0.0000
19,roll,Fairway,-405.2096,0.0213,-72.0000,0.0000,0.0000
20,roll,Fairway,-405.2112,0.0213,-72.0000,0.0000,0.0000
21,roll,Fairway,-405.2128,0.0213,-72.0000,0.0000,0.0000
22,roll,Fairway,-405.2144,0.0213,-72.0000,0.0000,0.0000
23,roll,Fairway,-405.2160,0.0213,-72.0000,0.0000,0.0000
24,roll,Fairway,-405.2176,0.0213,-72.0000,0.0000,0.0000
25,roll,Fairway,-405.2192,0.0213,-72.0000,0.0000,0.0000
26,roll,Fairway,-405.2208,0.0213,-72.0000,0.0000,0.0000
27,roll,Fairway,-405.2224,0.0213,-72.0000,0.0000,0.0000
28,roll,Fairway,-405.2240,0.0213,-72.0000,0.0000,0.0000
29,roll,Fairway,-405.2256,0.0213,-72.0000,0.0000,0.0000
30,roll,Fairway,-405.2272,0.0213,-72.0000,0.0000,0.0000
31,roll,Fairway,-405.2288,0.0213,-72.0000,0.0000,0.0000
32,roll,Fairway,-405.2304,0.0213,-72.0000,0.0000,0.0000
33,roll,Fairway,-405.2320,0.0213,-72.0000,0.0000,0.0000
34,roll,Fairway,-405.2336,0.0213,-72.0000,0.0000,0.0000
35,roll,Fairway,-405.2352,0.0213,-72.0000,0.0000,0.0000
36,roll,Fairway,-405.2368,0.0213,-72.0000,0.0000,0.0000
37,roll,Fairway,-405.2384,0.0213,-72.0000,0.0000,0.0000
38,roll,Fairway,-405.2400,0.0213,-72.0000,0.0000,0.0000
39,roll,Fairway,-405.2416,0.0213,-72.0000,0.0000,0.0000
40,roll,Fairway,-405.2432,0.0213,-72.0000,0.0000,0.0000
41,roll,Fairway,-405.2448,0.0213,-72.0000,0.0000,0.0000
42,roll,Fairway,-405.2463,0.0213,-72.0000,0.0000,0.0000
43,roll,Fairway,-405.2479,0.0213,-72.0000,0.0000,0.0000
44,roll,Fairway,-405.2495,0.0213,-72.0000,0.0000,0.0000
45,roll,Fairway,-405.2511,0.0213,-72.0000,0.0000,0.0000
46,roll,Fairway,-405.2527,0.0213,-72.0000,0.0000,0.0000
47,roll,Fairway,-405.2543,0.0213,-72.0000,0.0000,0.0000
48,roll,Fairway,-405.2558,0.0213,-72.0000,0.0000,0.0000
49,roll,Fairway,-405.2574,0.0213,-72.0000,0.0000,0.0000
50,roll,Fairway,-405.2590,0.0213,-72.0000,0.0000,0.0000
51,roll,Fairway,-405.2606,0.0213,-72.0000,0.0000,0.0000
52,roll,Fairway,-405.2621,0.0213,-72.0000,0.0000,0.0000
53,roll,Fairway,-405.2637,0.0213,-72.0000,0.0000,0.0000
54,roll,Fairway,-405.2653,0.0213,-72.0000,0.0000,0.0000
55,roll,Fairway,-405.2668,0.0213,-72.0000,0.0000,0.0000
56,roll,Fairway,-405.2684,0.0213,-72.0000,0.0000,0.0000
57,roll,Fairway,-405.2700,0.0213,-72.0000,0.0000,0.0000
58,roll,Fairway,-405.2715,0.0213,-72.0000,0.0000,0.0000
59,roll,Fairway,-405.2731,0.0213,-72.0000,0.0000,0.0000
60,roll,Fairway,-405.2747,0.0213,-72.0000,0.0000,0.0000
61,roll,Fairway,-405.2762,0.0213,-72.0000,0.0000,0.0000
62,roll,Fairway,-405.2778,0.0213,-72.0000,0.0000,0.0000
63,roll,Fairway,-405.2794,0.0213,-72.0000,0.0000,0.0000
64,roll,Fairway,-405.2809,0.0213,-72.0000,0.0000,0.0000
65,roll,Fairway,-405.2825,0.0213,-72.0000,0.0000,0.0000
66,roll,Fairway,-405.2841,0.0213,-72.0000,0.0000,0.0000
67,roll,Fairway,-405.2856,0.0213,-72.0000,0.0000,0.0000
68,roll,Fairway,-405.2872,0.0213,-72.0000,0.0000,0.0000
69,roll,Fairway,-405.2887,0.0213,-72.0000,0.0000,0.0000
70,roll,Fairway,-405.2903,0.0213,-72.0000,0.0000,0.0000
71,roll,Fairway,-405.2918,0.0213,-72.0000,0.0000,0.0000
72,roll,Fairway,-405.2934,0.0213,-72.0000,0.0000,0.0000
73,roll,Fairway,-405.2949,0.0213,-72.0000,0.0000,0.0000
74,roll,Fairway,-405.2965,0.0213,-72.0000,0.0000,0.0000
75,roll,Fairway,-405.2980,0.0213,-72.0000,0.0000,0.0000
76,roll,Fairway,-405.2996,0.0213,-72.0000,0.0000,0.0000
77,roll,Fairway,-405.3011,0.0213,-72.0000,0.0000,0.0000
78,roll,Fairway,-405.3027,0.0213,-72.0000,0.0000,0.0000
79,roll,Fairway,-405.3042,0.0213,-72.0000,0.0000,0.0000
80,roll,Fairway,-405.3057,0.0213,-72.0000,0.0000,0.0000
81,roll,Fairway,-405.3073,0.0213,-72.0000,0.0000,0.0000
82,roll,Fairway,-405.3088,0.0213,-72.0000,0.0000,0.0000
83,roll,Fairway,-405.3104,0.0213,-72.0000,0.0000,0.0000
84,roll,Fairway,-405.3119,0.0213,-72.0000,0.0000,0.0000
85,roll,Fairway,-405.3134,0.0213,-72.0000,0.0000,0.0000
86,roll,Fairway,-405.3150,0.0213,-72.0000,0.0000,0.0000
87,roll,Fairway,-405.3165,0.0213,-72.0000,0.0000,0.0000
88,roll,Fairway,-405.3181,0.0213,-72.0000,0.0000,0.0000
89,roll,Fairway,-405.3196,0.0213,-72.0000,0.0000,0.0000
90,roll,Fairway,-405.3211,0.0213,-72.0000,0.0000,0.0000
91,roll,Fairway,-405.3226,0.0213,-72.0000,0.0000,0.0000
92,roll,Fairway,-405.3242,0.0213,-72.0000,0.0000,0.0000
93,roll,Fairway,-405.3257,0.0213,-72.0000,0.0000,0.0000
94,roll,Fairway,-405.3272,0.0213,-72.0000,0.0000,0.0000
95,roll,Fairway,-405.3287,0.0213,-72.0000,0.0000,0.0000
96,roll,Fairway,-405.3303,0.0213,-72.0000,0.0000,0.0000
97,roll,Fairway,-405.3318,0.0213,-72.0000,0.0000,0.0000
98,roll,Fairway,-405.3333,0.0213,-72.0000,0.0000,0.0000
99,roll,Fairway,-405.3348,0.0213,-72.0000,0.0000,0.0000
100,roll,Fairway,-405.3364,0.0213,-72.0000,0.0000,0.0000
101,roll,Fairway,-405.3379,0.0213,-72.0000,0.0000,0.0000
102,roll,Fairway,-405.3394,0.0213,-72.0000,0.0000,0.0000
103,roll,Fairway,-405.3409,0.0213,-72.0000,0.0000,0.0000
104,roll,Fairway,-405.3424,0.0213,-72.0000,0.0000,0.0000
105,roll,Fairway,-405.3439,0.0213,-72.0000,0.0000,0.0000
106,roll,Fairway,-405.3455,0.0213,-72.0000,0.0000,0.0000
107,roll,Fairway,-405.3470,0.0213,-72.0000,0.0000,0.0000
108,roll,Fairway,-405.3484,0.0213,-72.0000,0.0000,0.0000
109,roll,Fairway,-405.3500,0.0213,-72.0000,0.0000,0.0000
110,roll,Fairway,-405.3515,0.0213,-72.0000,0.0000,0.0000
111,roll,Fairway,-405.3530,0.0213,-72.0000,0.0000,0.0000
112,roll,Fairway,-405.3545,0.0213,-72.0000,0.0000,0.0000
113,roll,Fairway,-405.3560,0.0213,-72.0000,0.0000,0.0000
114,roll,Fairway,-405.3575,0.0213,-72.0000,0.0000,0.0000
115,roll,Fairway,-405.3590,0.0213,-72.0000,0.0000,0.0000
116,roll,Fairway,-405.3605,0.0213,-72.0000,0.0000,0.0000
117,roll,Fairway,-405.3621,0.0213,-72.0000,0.0000,0.0000
118,roll,Fairway,-405.3635,0.0213,-72.0000,0.0000,0.0000
119,roll,Fairway,-405.3651,0.0213,-72.0000,0.0000,0.0000
120,roll,Fairway,-405.3665,0.0213,-72.0000,0.0000,0.0000
121,roll,Fairway,-405.3680,0.0213,-72.0000,0.0000,0.0000
122,roll,Fairway,-405.3695,0.0213,-72.0000,0.0000,0.0000
123,roll,Fairway,-405.3710,0.0213,-72.0000,0.0000,0.0000
124,roll,Fairway,-405.3725,0.0213,-72.0000,0.0000,0.0000
125,roll,Fairway,-405.3740,0.0213,-72.0000,0.0000,0.0000
126,roll,Fairway,-405.3755,0.0213,-72.0000,0.0000,0.0000
127,roll,Fairway,-405.3770,0.0213,-72.0000,0.0000,0.0000
128,roll,Fairway,-405.3785,0.0213,-72.0000,0.0000,0.0000
129,roll,Fairway,-405.3800,0.0213,-72.0000,0.0000,0.0000
130,roll,Fairway,-405.3815,0.0213,-72.0000,0.0000,0.0000
131,roll,Fairway,-405.3830,0.0213,-72.0000,0.0000,0.0000
132,roll,Fairway,-405.3845,0.0213,-72.0000,0.0000,0.0000
133,roll,Fairway,-405.3859,0.0213,-72.0000,0.0000,0.0000
134,roll,Fairway,-405.3874,0.0213,-72.0000,0.0000,0.0000
135,roll,Fairway,-405.3889,0.0213,-72.0000,0.0000,0.0000
136,roll,Fairway,-405.3904,0.0213,-72.0000,0.0000,0.0000
137,roll,Fairway,-405.3918,0.0213,-72.0000,0.0000,0.0000
138,roll,Fairway,-405.3933,0.0213,-72.0000,0.0000,0.0000
139,roll,Fairway,-405.3948,0.0213,-72.0000,0.0000,0.0000
140,roll,Fairway,-405.3963,0.0213,-72.0000,0.0000,0.0000
141,roll,Fairway,-405.3978,0.0213,-72.0000,0.0000,0.0000
142,roll,Fairway,-405.3992,0.0213,-72.0000,0.0000,0.0000
143,roll,Fairway,-405.4007,0.0213,-72.0000,0.0000,0.0000
144,roll,Fairway,-405.4022,0.0213,-72.0000,0.0000,0.0000
145,roll,Fairway,-405.4037,0.0213,-72.0000,0.0000,0.0000
146,roll,Fairway,-405.4052,0.0213,-72.0000,0.0000,0.0000
