frame,ballX,ballY,ballZ,groundY,diff
220,-230.320,17.776,-20.170,17.496,0.280
221,-230.320,17.787,-19.969,17.533,0.253
222,-230.320,17.798,-19.768,17.571,0.226
223,-230.320,17.808,-19.567,17.608,0.200
224,-230.320,17.819,-19.367,17.645,0.174
225,-230.320,17.829,-19.167,17.682,0.147
226,-230.320,17.840,-18.967,17.719,0.120
227,-230.320,17.850,-18.767,17.756,0.094
228,-230.320,17.859,-18.568,17.793,0.067
229,-230.320,17.869,-18.368,17.828,0.041
230,-230.320,17.879,-18.170,17.866,0.013
231,-230.320,17.888,-17.971,17.901,-0.014
232,-230.320,17.897,-17.773,17.937,-0.041
233,-230.320,17.906,-17.574,17.974,-0.068
234,-230.320,17.915,-17.377,18.010,-0.095
235,-230.320,17.923,-17.179,18.045,-0.122
236,-230.320,17.932,-16.982,18.081,-0.149
237,-230.320,17.940,-16.784,18.116,-0.177
238,-230.320,17.948,-16.588,18.152,-0.204
239,-230.320,17.956,-16.391,18.187,-0.231
240,-230.320,17.963,-16.195,18.221,-0.258
241,-230.320,17.971,-15.998,18.257,-0.287
242,-230.320,17.978,-15.802,18.293,-0.315
243,-230.320,17.985,-15.607,18.328,-0.343
244,-230.320,17.992,-15.411,18.363,-0.371
245,-230.320,17.999,-15.216,18.398,-0.399
246,-230.320,18.005,-15.021,18.433,-0.427
247,-230.320,18.012,-14.827,18.467,-0.455
248,-230.320,18.018,-14.632,18.502,-0.484
249,-230.320,18.024,-14.438,18.537,-0.513
