frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
0,0.0000,39.378,10.851,32.220,14.792,10.831,0.020,Fairway,airborne,0.000,0
1,0.0042,39.255,10.913,32.172,14.741,10.829,0.084,Fairway,airborne,-0.002,0
2,0.0083,39.132,10.974,32.124,14.690,10.827,0.148,Fairway,airborne,-0.002,0
3,0.0125,39.009,11.035,32.076,14.639,10.824,0.211,Fairway,airborne,-0.002,0
4,0.0167,38.886,11.096,32.028,14.588,10.822,0.274,Fairway,airborne,-0.002,0
5,0.0208,38.764,11.157,31.980,14.537,10.819,0.337,Fairway,airborne,-0.002,0
6,0.0250,38.641,11.217,31.932,14.487,10.817,0.400,Fairway,airborne,-0.002,0
7,0.0292,38.519,11.278,31.884,14.436,10.815,0.463,Fairway,airborne,-0.002,0
8,0.0333,38.396,11.338,31.836,14.385,10.812,0.525,Fairway,airborne,-0.002,0
9,0.0375,38.274,11.397,31.788,14.335,10.810,0.587,Fairway,airborne,-0.002,0
10,0.0417,38.152,11.457,31.741,14.284,10.808,0.649,Fairway,airborne,-0.002,0
11,0.0458,38.029,11.516,31.693,14.234,10.805,0.711,Fairway,airborne,-0.002,0
12,0.0500,37.907,11.576,31.645,14.183,10.803,0.773,Fairway,airborne,-0.002,0
13,0.0542,37.785,11.634,31.597,14.133,10.800,0.834,Fairway,airborne,-0.003,0
14,0.0583,37.663,11.693,31.550,14.083,10.798,0.895,Fairway,airborne,-0.002,0
15,0.0625,37.542,11.752,31.502,14.033,10.795,0.956,Fairway,airborne,-0.002,0
16,0.0667,37.420,11.810,31.454,13.982,10.793,1.017,Fairway,airborne,-0.002,0
17,0.0708,37.298,11.868,31.407,13.932,10.791,1.078,Fairway,airborne,-0.002,0
18,0.0750,37.176,11.926,31.359,13.882,10.788,1.138,Fairway,airborne,-0.002,0
19,0.0791,37.055,11.984,31.312,13.832,10.786,1.198,Fairway,airborne,-0.002,0
20,0.0833,36.933,12.041,31.264,13.782,10.783,1.258,Fairway,airborne,-0.002,0
21,0.0875,36.812,12.099,31.217,13.733,10.781,1.318,Fairway,airborne,-0.002,0
22,0.0916,36.691,12.156,31.169,13.683,10.779,1.377,Fairway,airborne,-0.002,0
23,0.0958,36.570,12.213,31.122,13.633,10.776,1.437,Fairway,airborne,-0.003,0
24,0.1000,36.448,12.269,31.075,13.583,10.773,1.496,Fairway,airborne,-0.003,0
25,0.1041,36.327,12.326,31.027,13.534,10.771,1.555,Fairway,airborne,-0.003,0
26,0.1083,36.206,12.382,30.980,13.484,10.768,1.614,Fairway,airborne,-0.003,0
27,0.1125,36.086,12.438,30.933,13.434,10.766,1.672,Fairway,airborne,-0.003,0
28,0.1166,35.965,12.494,30.885,13.385,10.763,1.731,Fairway,airborne,-0.002,0
29,0.1208,35.844,12.550,30.838,13.335,10.761,1.789,Fairway,airborne,-0.002,0
30,0.1250,35.723,12.605,30.791,13.286,10.759,1.846,Fairway,airborne,-0.002,0
31,0.1291,35.603,12.660,30.744,13.237,10.756,1.904,Fairway,airborne,-0.002,0
32,0.1333,35.482,12.715,30.697,13.187,10.754,1.962,Fairway,airborne,-0.002,0
33,0.1375,35.362,12.770,30.649,13.138,10.751,2.019,Fairway,airborne,-0.002,0
34,0.1416,35.241,12.825,30.602,13.089,10.749,2.076,Fairway,airborne,-0.003,0
35,0.1458,35.121,12.879,30.555,13.040,10.746,2.133,Fairway,airborne,-0.003,0
36,0.1500,35.001,12.933,30.508,12.991,10.744,2.190,Fairway,airborne,-0.003,0
37,0.1541,34.881,12.987,30.461,12.941,10.741,2.246,Fairway,airborne,-0.003,0
38,0.1583,34.761,13.041,30.414,12.892,10.739,2.303,Fairway,airborne,-0.003,0
39,0.1625,34.641,13.095,30.367,12.843,10.736,2.359,Fairway,airborne,-0.003,0
40,0.1666,34.521,13.148,30.321,12.795,10.733,2.415,Fairway,airborne,-0.003,0
41,0.1708,34.401,13.201,30.274,12.746,10.731,2.471,Fairway,airborne,-0.003,0
42,0.1750,34.281,13.254,30.227,12.697,10.728,2.526,Fairway,airborne,-0.003,0
43,0.1791,34.162,13.307,30.180,12.648,10.725,2.582,Fairway,airborne,-0.003,0
44,0.1833,34.042,13.360,30.133,12.599,10.723,2.637,Fairway,airborne,-0.003,0
45,0.1875,33.923,13.412,30.087,12.551,10.720,2.692,Fairway,airborne,-0.003,0
46,0.1916,33.803,13.464,30.040,12.502,10.717,2.747,Fairway,airborne,-0.003,0
47,0.1958,33.684,13.516,29.993,12.453,10.715,2.802,Fairway,airborne,-0.003,0
48,0.2000,33.564,13.568,29.946,12.405,10.712,2.856,Fairway,airborne,-0.003,0
49,0.2041,33.445,13.620,29.900,12.356,10.709,2.910,Fairway,airborne,-0.003,0
50,0.2083,33.326,13.671,29.853,12.308,10.707,2.964,Fairway,airborne,-0.003,0
51,0.2124,33.207,13.722,29.807,12.260,10.704,3.018,Fairway,airborne,-0.003,0
52,0.2166,33.088,13.773,29.760,12.211,10.702,3.071,Fairway,airborne,-0.003,0
53,0.2208,32.969,13.824,29.714,12.163,10.699,3.125,Fairway,airborne,-0.003,0
54,0.2249,32.850,13.874,29.667,12.115,10.696,3.178,Fairway,airborne,-0.003,0
55,0.2291,32.731,13.925,29.621,12.066,10.694,3.231,Fairway,airborne,-0.003,0
56,0.2333,32.613,13.975,29.574,12.018,10.691,3.284,Fairway,airborne,-0.003,0
57,0.2374,32.494,14.025,29.528,11.970,10.689,3.336,Fairway,airborne,-0.003,0
58,0.2416,32.376,14.075,29.481,11.922,10.686,3.389,Fairway,airborne,-0.003,0
59,0.2458,32.257,14.124,29.435,11.874,10.683,3.441,Fairway,airborne,-0.003,0
60,0.2499,32.139,14.174,29.389,11.826,10.680,3.493,Fairway,airborne,-0.003,0
61,0.2541,32.020,14.223,29.342,11.778,10.678,3.545,Fairway,airborne,-0.003,0
62,0.2583,31.902,14.272,29.296,11.730,10.675,3.597,Fairway,airborne,-0.003,0
63,0.2624,31.784,14.320,29.250,11.682,10.672,3.648,Fairway,airborne,-0.003,0
64,0.2666,31.666,14.369,29.204,11.635,10.670,3.699,Fairway,airborne,-0.003,0
65,0.2708,31.548,14.417,29.158,11.587,10.667,3.750,Fairway,airborne,-0.003,0
66,0.2749,31.430,14.465,29.111,11.539,10.664,3.801,Fairway,airborne,-0.003,0
67,0.2791,31.312,14.513,29.065,11.491,10.662,3.852,Fairway,airborne,-0.003,0
68,0.2833,31.194,14.561,29.019,11.444,10.659,3.902,Fairway,airborne,-0.003,0
69,0.2874,31.076,14.609,28.973,11.396,10.656,3.952,Fairway,airborne,-0.003,0
70,0.2916,30.958,14.656,28.927,11.349,10.654,4.002,Fairway,airborne,-0.003,0
71,0.2958,30.841,14.703,28.881,11.301,10.651,4.052,Fairway,airborne,-0.003,0
72,0.2999,30.723,14.750,28.835,11.254,10.648,4.102,Fairway,airborne,-0.003,0
73,0.3041,30.605,14.797,28.789,11.206,10.646,4.151,Fairway,airborne,-0.003,0
74,0.3083,30.488,14.844,28.743,11.159,10.643,4.201,Fairway,airborne,-0.003,0
75,0.3124,30.371,14.890,28.697,11.111,10.640,4.250,Fairway,airborne,-0.003,0
76,0.3166,30.253,14.936,28.651,11.064,10.638,4.299,Fairway,airborne,-0.003,0
77,0.3208,30.136,14.982,28.605,11.017,10.635,4.347,Fairway,airborne,-0.003,0
78,0.3249,30.019,15.028,28.560,10.970,10.632,4.396,Fairway,airborne,-0.003,0
79,0.3291,29.902,15.074,28.514,10.922,10.629,4.444,Fairway,airborne,-0.003,0
80,0.3333,29.785,15.119,28.468,10.875,10.626,4.493,Fairway,airborne,-0.003,0
81,0.3374,29.668,15.164,28.422,10.828,10.624,4.540,Fairway,airborne,-0.003,0
82,0.3416,29.551,15.209,28.377,10.778,10.621,4.588,Fairway,airborne,-0.003,0
83,0.3457,29.434,15.254,28.331,10.714,10.618,4.636,Fairway,airborne,-0.003,0
84,0.3499,29.318,15.298,28.285,10.650,10.615,4.683,Fairway,airborne,-0.003,0
85,0.3541,29.201,15.343,28.240,10.587,10.613,4.730,Fairway,airborne,-0.003,0
86,0.3582,29.085,15.387,28.195,10.523,10.610,4.776,Fairway,airborne,-0.003,0
87,0.3624,28.970,15.430,28.149,10.460,10.607,4.823,Fairway,airborne,-0.003,0
88,0.3666,28.854,15.474,28.104,10.397,10.605,4.869,Fairway,airborne,-0.003,0
89,0.3707,28.739,15.517,28.059,10.335,10.602,4.915,Fairway,airborne,-0.003,0
90,0.3749,28.624,15.560,28.014,10.272,10.599,4.961,Fairway,airborne,-0.003,0
91,0.3791,28.509,15.602,27.969,10.210,10.596,5.006,Fairway,airborne,-0.003,0
92,0.3832,28.395,15.645,27.924,10.148,10.593,5.052,Fairway,airborne,-0.003,0
93,0.3874,28.281,15.687,27.880,10.087,10.590,5.096,Fairway,airborne,-0.003,0
94,0.3916,28.166,15.729,27.835,10.025,10.588,5.141,Fairway,airborne,-0.003,0
95,0.3957,28.053,15.770,27.791,9.964,10.585,5.185,Fairway,airborne,-0.003,0
96,0.3999,27.939,15.812,27.746,9.903,10.583,5.229,Fairway,airborne,-0.003,0
97,0.4041,27.826,15.853,27.702,9.842,10.580,5.273,Fairway,airborne,-0.002,0
98,0.4082,27.713,15.894,27.658,9.782,10.578,5.316,Fairway,airborne,-0.002,0
99,0.4124,27.600,15.934,27.613,9.722,10.575,5.359,Fairway,airborne,-0.002,0
100,0.4166,27.487,15.975,27.569,9.662,10.573,5.402,Fairway,airborne,-0.002,0
101,0.4207,27.375,16.015,27.525,9.602,10.570,5.445,Fairway,airborne,-0.003,0
102,0.4249,27.262,16.055,27.481,9.542,10.568,5.487,Fairway,airborne,-0.003,0
103,0.4291,27.150,16.094,27.438,9.482,10.565,5.529,Fairway,airborne,-0.003,0
104,0.4332,27.039,16.134,27.394,9.423,10.562,5.571,Fairway,airborne,-0.003,0
105,0.4374,26.927,16.173,27.350,9.364,10.560,5.613,Fairway,airborne,-0.003,0
106,0.4416,26.816,16.212,27.307,9.305,10.557,5.655,Fairway,airborne,-0.003,0
107,0.4457,26.704,16.250,27.263,9.247,10.554,5.696,Fairway,airborne,-0.003,0
108,0.4499,26.594,16.289,27.220,9.188,10.552,5.737,Fairway,airborne,-0.003,0
109,0.4541,26.483,16.327,27.177,9.130,10.549,5.778,Fairway,airborne,-0.003,0
110,0.4582,26.372,16.365,27.133,9.072,10.546,5.819,Fairway,airborne,-0.003,0
111,0.4624,26.262,16.402,27.090,9.014,10.543,5.859,Fairway,airborne,-0.003,0
112,0.4666,26.152,16.440,27.047,8.956,10.540,5.900,Fairway,airborne,-0.003,0
113,0.4707,26.042,16.477,27.004,8.899,10.538,5.940,Fairway,airborne,-0.003,0
114,0.4749,25.932,16.514,26.961,8.841,10.535,5.979,Fairway,airborne,-0.003,0
115,0.4790,25.823,16.551,26.918,8.784,10.532,6.018,Fairway,airborne,-0.003,0
116,0.4832,25.714,16.587,26.876,8.727,10.530,6.057,Fairway,airborne,-0.002,0
117,0.4874,25.605,16.623,26.833,8.670,10.527,6.096,Fairway,airborne,-0.002,0
118,0.4915,25.496,16.659,26.790,8.614,10.525,6.134,Fairway,airborne,-0.002,0
119,0.4957,25.387,16.695,26.748,8.557,10.523,6.173,Fairway,airborne,-0.002,0
120,0.4999,25.279,16.731,26.705,8.501,10.520,6.211,Fairway,airborne,-0.002,0
121,0.5040,25.170,16.766,26.663,8.445,10.518,6.248,Fairway,airborne,-0.003,0
122,0.5082,25.062,16.801,26.621,8.389,10.515,6.286,Fairway,airborne,-0.003,0
123,0.5124,24.954,16.836,26.579,8.333,10.513,6.323,Fairway,airborne,-0.002,0
124,0.5165,24.847,16.870,26.536,8.277,10.510,6.360,Fairway,airborne,-0.002,0
125,0.5207,24.739,16.905,26.494,8.222,10.508,6.397,Fairway,airborne,-0.002,0
126,0.5249,24.632,16.939,26.452,8.167,10.505,6.434,Fairway,airborne,-0.002,0
127,0.5290,24.525,16.973,26.411,8.111,10.503,6.470,Fairway,airborne,-0.002,0
128,0.5332,24.418,17.006,26.369,8.056,10.500,6.506,Fairway,airborne,-0.003,0
129,0.5374,24.311,17.040,26.327,8.002,10.498,6.542,Fairway,airborne,-0.003,0
130,0.5415,24.204,17.073,26.285,7.947,10.495,6.578,Fairway,airborne,-0.003,0
131,0.5457,24.098,17.106,26.244,7.892,10.493,6.613,Fairway,airborne,-0.003,0
132,0.5499,23.992,17.139,26.202,7.838,10.490,6.649,Fairway,airborne,-0.003,0
133,0.5540,23.886,17.171,26.161,7.784,10.488,6.684,Fairway,airborne,-0.002,0
134,0.5582,23.780,17.204,26.119,7.730,10.485,6.719,Fairway,airborne,-0.003,0
135,0.5624,23.674,17.236,26.078,7.676,10.483,6.753,Fairway,airborne,-0.003,0
136,0.5665,23.569,17.268,26.037,7.622,10.480,6.788,Fairway,airborne,-0.003,0
137,0.5707,23.463,17.299,25.995,7.568,10.478,6.822,Fairway,airborne,-0.003,0
138,0.5749,23.358,17.331,25.954,7.515,10.475,6.856,Fairway,airborne,-0.003,0
139,0.5790,23.253,17.362,25.913,7.462,10.473,6.889,Fairway,airborne,-0.002,0
140,0.5832,23.149,17.393,25.872,7.408,10.470,6.923,Fairway,airborne,-0.002,0
141,0.5874,23.044,17.424,25.831,7.355,10.468,6.956,Fairway,airborne,-0.002,0
142,0.5915,22.940,17.454,25.791,7.302,10.465,6.989,Fairway,airborne,-0.002,0
143,0.5957,22.835,17.484,25.750,7.250,10.463,7.021,Fairway,airborne,-0.002,0
144,0.5999,22.731,17.514,25.709,7.197,10.460,7.054,Fairway,airborne,-0.002,0
145,0.6040,22.627,17.544,25.668,7.144,10.458,7.086,Fairway,airborne,-0.002,0
146,0.6082,22.524,17.574,25.628,7.092,10.456,7.118,Fairway,airborne,-0.002,0
147,0.6124,22.420,17.603,25.587,7.040,10.453,7.150,Fairway,airborne,-0.002,0
148,0.6165,22.317,17.633,25.547,6.988,10.451,7.182,Fairway,airborne,-0.002,0
149,0.6207,22.213,17.662,25.506,6.936,10.448,7.213,Fairway,airborne,-0.002,0
150,0.6248,22.110,17.690,25.466,6.884,10.446,7.244,Fairway,airborne,-0.002,0
151,0.6290,22.007,17.719,25.426,6.832,10.444,7.275,Fairway,airborne,-0.002,0
152,0.6332,21.904,17.747,25.386,6.780,10.441,7.306,Fairway,airborne,-0.002,0
153,0.6373,21.802,17.775,25.346,6.729,10.439,7.336,Fairway,airborne,-0.002,0
154,0.6415,21.699,17.803,25.305,6.677,10.437,7.366,Fairway,airborne,-0.002,0
155,0.6457,21.597,17.831,25.265,6.626,10.434,7.397,Fairway,airborne,-0.002,0
156,0.6498,21.495,17.858,25.225,6.575,10.432,7.427,Fairway,airborne,-0.002,0
