frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
0,0.0000,39.378,10.851,32.220,21.796,10.831,0.020,Fairway,airborne,0.000,0
1,0.0042,39.257,10.942,32.173,21.737,10.829,0.113,Fairway,airborne,-0.002,0
2,0.0083,39.137,11.033,32.126,21.679,10.827,0.206,Fairway,airborne,-0.002,0
3,0.0125,39.016,11.123,32.079,21.621,10.824,0.298,Fairway,airborne,-0.002,0
4,0.0167,38.896,11.213,32.032,21.563,10.822,0.391,Fairway,airborne,-0.002,0
5,0.0208,38.775,11.302,31.985,21.504,10.820,0.483,Fairway,airborne,-0.002,0
6,0.0250,38.655,11.392,31.938,21.446,10.817,0.574,Fairway,airborne,-0.002,0
7,0.0292,38.535,11.481,31.891,21.388,10.815,0.666,Fairway,airborne,-0.002,0
8,0.0333,38.415,11.570,31.844,21.331,10.813,0.757,Fairway,airborne,-0.002,0
9,0.0375,38.295,11.659,31.797,21.273,10.810,0.848,Fairway,airborne,-0.002,0
10,0.0417,38.175,11.747,31.750,21.215,10.808,0.939,Fairway,airborne,-0.002,0
11,0.0458,38.056,11.835,31.703,21.158,10.806,1.030,Fairway,airborne,-0.002,0
12,0.0500,37.936,11.923,31.656,21.100,10.803,1.120,Fairway,airborne,-0.002,0
13,0.0542,37.816,12.011,31.609,21.043,10.801,1.210,Fairway,airborne,-0.002,0
14,0.0583,37.697,12.099,31.563,20.986,10.799,1.300,Fairway,airborne,-0.002,0
15,0.0625,37.577,12.186,31.516,20.929,10.796,1.390,Fairway,airborne,-0.002,0
16,0.0667,37.458,12.273,31.469,20.871,10.794,1.479,Fairway,airborne,-0.002,0
17,0.0708,37.339,12.360,31.423,20.814,10.791,1.568,Fairway,airborne,-0.002,0
18,0.0750,37.220,12.446,31.376,20.758,10.789,1.657,Fairway,airborne,-0.002,0
19,0.0791,37.101,12.533,31.330,20.701,10.787,1.746,Fairway,airborne,-0.002,0
20,0.0833,36.982,12.619,31.283,20.644,10.784,1.835,Fairway,airborne,-0.002,0
21,0.0875,36.863,12.705,31.237,20.587,10.782,1.923,Fairway,airborne,-0.002,0
22,0.0916,36.744,12.790,31.190,20.531,10.780,2.011,Fairway,airborne,-0.002,0
23,0.0958,36.626,12.876,31.144,20.474,10.777,2.099,Fairway,airborne,-0.002,0
24,0.1000,36.507,12.961,31.097,20.418,10.775,2.186,Fairway,airborne,-0.002,0
25,0.1041,36.389,13.046,31.051,20.362,10.772,2.274,Fairway,airborne,-0.002,0
26,0.1083,36.270,13.131,31.005,20.305,10.770,2.361,Fairway,airborne,-0.002,0
27,0.1125,36.152,13.215,30.959,20.249,10.767,2.448,Fairway,airborne,-0.002,0
28,0.1166,36.034,13.299,30.912,20.193,10.765,2.534,Fairway,airborne,-0.002,0
29,0.1208,35.916,13.383,30.866,20.137,10.763,2.621,Fairway,airborne,-0.002,0
30,0.1250,35.798,13.467,30.820,20.081,10.760,2.707,Fairway,airborne,-0.002,0
31,0.1291,35.680,13.551,30.774,20.026,10.758,2.793,Fairway,airborne,-0.002,0
32,0.1333,35.562,13.634,30.728,19.970,10.755,2.878,Fairway,airborne,-0.002,0
33,0.1375,35.444,13.717,30.682,19.914,10.753,2.964,Fairway,airborne,-0.002,0
34,0.1416,35.327,13.800,30.636,19.859,10.751,3.049,Fairway,airborne,-0.002,0
35,0.1458,35.209,13.882,30.590,19.803,10.748,3.134,Fairway,airborne,-0.003,0
36,0.1500,35.092,13.965,30.544,19.748,10.746,3.219,Fairway,airborne,-0.003,0
37,0.1541,34.974,14.047,30.498,19.692,10.743,3.304,Fairway,airborne,-0.003,0
38,0.1583,34.857,14.129,30.452,19.637,10.741,3.388,Fairway,airborne,-0.002,0
39,0.1625,34.740,14.210,30.406,19.582,10.738,3.472,Fairway,airborne,-0.002,0
40,0.1666,34.623,14.292,30.360,19.527,10.736,3.556,Fairway,airborne,-0.002,0
41,0.1708,34.506,14.373,30.315,19.472,10.733,3.640,Fairway,airborne,-0.003,0
42,0.1750,34.389,14.454,30.269,19.417,10.730,3.724,Fairway,airborne,-0.003,0
43,0.1791,34.272,14.535,30.223,19.362,10.728,3.807,Fairway,airborne,-0.003,0
44,0.1833,34.155,14.615,30.177,19.308,10.725,3.890,Fairway,airborne,-0.003,0
45,0.1875,34.038,14.696,30.132,19.253,10.723,3.973,Fairway,airborne,-0.003,0
46,0.1916,33.921,14.776,30.086,19.198,10.720,4.056,Fairway,airborne,-0.002,0
47,0.1958,33.805,14.856,30.041,19.144,10.718,4.138,Fairway,airborne,-0.003,0
48,0.2000,33.688,14.935,29.995,19.089,10.715,4.220,Fairway,airborne,-0.003,0
49,0.2041,33.572,15.015,29.949,19.035,10.712,4.303,Fairway,airborne,-0.003,0
50,0.2083,33.456,15.094,29.904,18.981,10.710,4.384,Fairway,airborne,-0.002,0
51,0.2124,33.340,15.173,29.858,18.926,10.707,4.466,Fairway,airborne,-0.002,0
52,0.2166,33.223,15.252,29.813,18.872,10.705,4.547,Fairway,airborne,-0.002,0
53,0.2208,33.107,15.330,29.768,18.818,10.702,4.628,Fairway,airborne,-0.003,0
54,0.2249,32.991,15.408,29.722,18.764,10.700,4.709,Fairway,airborne,-0.003,0
55,0.2291,32.875,15.486,29.677,18.710,10.697,4.789,Fairway,airborne,-0.003,0
56,0.2333,32.760,15.564,29.632,18.656,10.695,4.870,Fairway,airborne,-0.003,0
57,0.2374,32.644,15.642,29.586,18.602,10.692,4.950,Fairway,airborne,-0.003,0
58,0.2416,32.528,15.719,29.541,18.549,10.690,5.030,Fairway,airborne,-0.003,0
59,0.2458,32.413,15.796,29.496,18.495,10.687,5.109,Fairway,airborne,-0.003,0
60,0.2499,32.297,15.873,29.451,18.441,10.684,5.189,Fairway,airborne,-0.003,0
61,0.2541,32.182,15.950,29.406,18.388,10.681,5.269,Fairway,airborne,-0.003,0
62,0.2583,32.066,16.026,29.360,18.334,10.679,5.348,Fairway,airborne,-0.003,0
63,0.2624,31.951,16.103,29.315,18.281,10.676,5.427,Fairway,airborne,-0.003,0
64,0.2666,31.836,16.179,29.270,18.228,10.673,5.505,Fairway,airborne,-0.003,0
65,0.2708,31.721,16.254,29.225,18.174,10.671,5.584,Fairway,airborne,-0.003,0
66,0.2749,31.606,16.330,29.180,18.121,10.668,5.662,Fairway,airborne,-0.003,0
67,0.2791,31.491,16.405,29.135,18.068,10.666,5.740,Fairway,airborne,-0.003,0
68,0.2833,31.376,16.481,29.090,18.015,10.663,5.817,Fairway,airborne,-0.003,0
69,0.2874,31.261,16.556,29.046,17.962,10.661,5.895,Fairway,airborne,-0.003,0
70,0.2916,31.147,16.630,29.001,17.909,10.658,5.972,Fairway,airborne,-0.003,0
71,0.2958,31.032,16.705,28.956,17.856,10.655,6.049,Fairway,airborne,-0.003,0
72,0.2999,30.917,16.779,28.911,17.804,10.653,6.126,Fairway,airborne,-0.003,0
73,0.3041,30.803,16.853,28.866,17.751,10.650,6.203,Fairway,airborne,-0.003,0
74,0.3083,30.688,16.927,28.821,17.698,10.648,6.279,Fairway,airborne,-0.003,0
75,0.3124,30.574,17.000,28.777,17.646,10.645,6.355,Fairway,airborne,-0.003,0
76,0.3166,30.460,17.074,28.732,17.593,10.642,6.431,Fairway,airborne,-0.003,0
77,0.3208,30.346,17.147,28.687,17.541,10.640,6.507,Fairway,airborne,-0.003,0
78,0.3249,30.232,17.220,28.643,17.488,10.637,6.583,Fairway,airborne,-0.003,0
79,0.3291,30.118,17.293,28.598,17.436,10.634,6.659,Fairway,airborne,-0.003,0
80,0.3333,30.004,17.365,28.554,17.384,10.631,6.734,Fairway,airborne,-0.003,0
81,0.3374,29.890,17.438,28.509,17.332,10.629,6.809,Fairway,airborne,-0.003,0
82,0.3416,29.776,17.510,28.465,17.279,10.626,6.883,Fairway,airborne,-0.003,0
83,0.3457,29.662,17.581,28.420,17.227,10.623,6.958,Fairway,airborne,-0.003,0
84,0.3499,29.549,17.653,28.376,17.175,10.621,7.032,Fairway,airborne,-0.003,0
85,0.3541,29.435,17.725,28.331,17.123,10.618,7.106,Fairway,airborne,-0.003,0
86,0.3582,29.321,17.796,28.287,17.072,10.616,7.180,Fairway,airborne,-0.003,0
87,0.3624,29.208,17.867,28.242,17.020,10.613,7.254,Fairway,airborne,-0.003,0
88,0.3666,29.095,17.938,28.198,16.968,10.610,7.327,Fairway,airborne,-0.003,0
89,0.3707,28.981,18.008,28.154,16.916,10.608,7.400,Fairway,airborne,-0.003,0
90,0.3749,28.868,18.078,28.109,16.865,10.605,7.473,Fairway,airborne,-0.003,0
91,0.3791,28.755,18.149,28.065,16.813,10.602,7.546,Fairway,airborne,-0.003,0
92,0.3832,28.642,18.219,28.021,16.762,10.599,7.619,Fairway,airborne,-0.003,0
93,0.3874,28.529,18.288,27.977,16.710,10.596,7.692,Fairway,airborne,-0.003,0
94,0.3916,28.416,18.358,27.933,16.659,10.594,7.764,Fairway,airborne,-0.003,0
95,0.3957,28.303,18.427,27.888,16.607,10.591,7.836,Fairway,airborne,-0.003,0
96,0.3999,28.190,18.496,27.844,16.556,10.588,7.908,Fairway,airborne,-0.003,0
97,0.4041,28.078,18.565,27.800,16.505,10.586,7.979,Fairway,airborne,-0.003,0
98,0.4082,27.965,18.634,27.756,16.454,10.583,8.050,Fairway,airborne,-0.003,0
99,0.4124,27.852,18.702,27.712,16.402,10.581,8.121,Fairway,airborne,-0.002,0
100,0.4166,27.740,18.770,27.668,16.351,10.578,8.192,Fairway,airborne,-0.002,0
101,0.4207,27.627,18.838,27.624,16.300,10.576,8.262,Fairway,airborne,-0.002,0
