frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
0,0.0000,39.378,10.851,32.220,10.188,10.831,0.020,Fairway,airborne,0.000,0
1,0.0042,39.192,10.894,32.148,10.133,10.828,0.066,Fairway,airborne,-0.004,0
2,0.0083,39.007,10.936,32.075,10.079,10.824,0.112,Fairway,airborne,-0.004,0
3,0.0125,38.821,10.978,32.003,10.024,10.821,0.157,Fairway,airborne,-0.004,0
4,0.0167,38.636,11.019,31.930,9.970,10.817,0.202,Fairway,airborne,-0.004,0
5,0.0208,38.451,11.061,31.858,9.916,10.813,0.247,Fairway,airborne,-0.004,0
6,0.0250,38.267,11.102,31.786,9.862,10.810,0.292,Fairway,airborne,-0.004,0
7,0.0292,38.082,11.143,31.714,9.808,10.806,0.337,Fairway,airborne,-0.004,0
8,0.0333,37.898,11.184,31.642,9.755,10.803,0.381,Fairway,airborne,-0.004,0
9,0.0375,37.715,11.224,31.570,9.701,10.799,0.425,Fairway,airborne,-0.004,0
10,0.0417,37.531,11.264,31.498,9.647,10.795,0.469,Fairway,airborne,-0.004,0
11,0.0458,37.348,11.305,31.426,9.594,10.792,0.513,Fairway,airborne,-0.004,0
12,0.0500,37.165,11.344,31.355,9.541,10.788,0.556,Fairway,airborne,-0.004,0
13,0.0542,36.982,11.384,31.283,9.487,10.784,0.600,Fairway,airborne,-0.004,0
14,0.0583,36.799,11.423,31.212,9.434,10.781,0.643,Fairway,airborne,-0.004,0
15,0.0625,36.617,11.463,31.140,9.381,10.777,0.686,Fairway,airborne,-0.004,0
16,0.0667,36.434,11.502,31.069,9.328,10.773,0.728,Fairway,airborne,-0.004,0
17,0.0708,36.252,11.540,30.998,9.276,10.769,0.771,Fairway,airborne,-0.004,0
18,0.0750,36.071,11.579,30.927,9.223,10.766,0.813,Fairway,airborne,-0.004,0
19,0.0791,35.889,11.617,30.856,9.170,10.762,0.855,Fairway,airborne,-0.004,0
20,0.0833,35.708,11.655,30.785,9.118,10.758,0.897,Fairway,airborne,-0.004,0
21,0.0875,35.527,11.693,30.714,9.065,10.755,0.938,Fairway,airborne,-0.004,0
22,0.0916,35.346,11.731,30.643,9.013,10.751,0.980,Fairway,airborne,-0.004,0
23,0.0958,35.166,11.768,30.573,8.961,10.747,1.021,Fairway,airborne,-0.004,0
24,0.1000,34.985,11.805,30.502,8.909,10.743,1.062,Fairway,airborne,-0.004,0
25,0.1041,34.805,11.842,30.432,8.857,10.739,1.103,Fairway,airborne,-0.004,0
26,0.1083,34.625,11.879,30.361,8.805,10.736,1.143,Fairway,airborne,-0.004,0
27,0.1125,34.446,11.916,30.291,8.753,10.732,1.184,Fairway,airborne,-0.004,0
