frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
0,0.0000,39.378,10.851,32.220,16.070,10.831,0.020,Fairway,airborne,0.000,0
1,0.0042,39.304,10.918,32.191,16.008,10.830,0.088,Fairway,airborne,-0.001,0
2,0.0083,39.230,10.985,32.162,15.946,10.829,0.156,Fairway,airborne,-0.001,0
3,0.0125,39.156,11.051,32.133,15.884,10.827,0.224,Fairway,airborne,-0.001,0
4,0.0167,39.082,11.117,32.104,15.823,10.826,0.291,Fairway,airborne,-0.001,0
5,0.0208,39.008,11.183,32.076,15.761,10.824,0.359,Fairway,airborne,-0.001,0
6,0.0250,38.934,11.248,32.047,15.700,10.823,0.426,Fairway,airborne,-0.001,0
7,0.0292,38.860,11.314,32.018,15.639,10.821,0.492,Fairway,airborne,-0.001,0
8,0.0333,38.787,11.379,31.989,15.578,10.820,0.559,Fairway,airborne,-0.001,0
9,0.0375,38.713,11.443,31.960,15.518,10.818,0.625,Fairway,airborne,-0.001,0
10,0.0417,38.640,11.508,31.932,15.457,10.817,0.691,Fairway,airborne,-0.001,0
11,0.0458,38.567,11.572,31.903,15.397,10.816,0.757,Fairway,airborne,-0.001,0
12,0.0500,38.493,11.636,31.874,15.337,10.814,0.822,Fairway,airborne,-0.001,0
13,0.0542,38.420,11.700,31.846,15.277,10.813,0.887,Fairway,airborne,-0.001,0
14,0.0583,38.347,11.763,31.817,15.217,10.811,0.952,Fairway,airborne,-0.001,0
15,0.0625,38.274,11.827,31.789,15.157,10.810,1.017,Fairway,airborne,-0.001,0
16,0.0667,38.202,11.890,31.760,15.098,10.809,1.081,Fairway,airborne,-0.001,0
17,0.0708,38.129,11.953,31.732,15.039,10.807,1.145,Fairway,airborne,-0.001,0
18,0.0750,38.056,12.015,31.703,14.979,10.806,1.209,Fairway,airborne,-0.001,0
19,0.0791,37.984,12.077,31.675,14.920,10.804,1.273,Fairway,airborne,-0.001,0
20,0.0833,37.911,12.139,31.647,14.862,10.803,1.336,Fairway,airborne,-0.001,0
21,0.0875,37.839,12.201,31.618,14.803,10.801,1.400,Fairway,airborne,-0.001,0
22,0.0916,37.766,12.263,31.590,14.744,10.800,1.463,Fairway,airborne,-0.001,0
23,0.0958,37.694,12.324,31.562,14.686,10.799,1.525,Fairway,airborne,-0.001,0
24,0.1000,37.622,12.385,31.534,14.628,10.797,1.588,Fairway,airborne,-0.001,0
25,0.1041,37.550,12.446,31.505,14.570,10.796,1.650,Fairway,airborne,-0.001,0
26,0.1083,37.478,12.506,31.477,14.512,10.794,1.712,Fairway,airborne,-0.001,0
27,0.1125,37.406,12.567,31.449,14.454,10.793,1.774,Fairway,airborne,-0.001,0
28,0.1166,37.334,12.627,31.421,14.396,10.791,1.835,Fairway,airborne,-0.001,0
29,0.1208,37.263,12.687,31.393,14.339,10.790,1.897,Fairway,airborne,-0.001,0
30,0.1250,37.191,12.746,31.365,14.281,10.788,1.958,Fairway,airborne,-0.001,0
31,0.1291,37.119,12.806,31.337,14.224,10.787,2.018,Fairway,airborne,-0.001,0
32,0.1333,37.048,12.865,31.309,14.167,10.786,2.079,Fairway,airborne,-0.001,0
33,0.1375,36.977,12.924,31.281,14.110,10.784,2.139,Fairway,airborne,-0.001,0
34,0.1416,36.905,12.982,31.253,14.053,10.783,2.199,Fairway,airborne,-0.001,0
35,0.1458,36.834,13.041,31.225,13.996,10.781,2.259,Fairway,airborne,-0.001,0
36,0.1500,36.763,13.099,31.197,13.940,10.780,2.319,Fairway,airborne,-0.001,0
37,0.1541,36.692,13.157,31.170,13.883,10.779,2.378,Fairway,airborne,-0.001,0
38,0.1583,36.621,13.214,31.142,13.827,10.777,2.437,Fairway,airborne,-0.001,0
39,0.1625,36.550,13.272,31.114,13.771,10.776,2.496,Fairway,airborne,-0.001,0
40,0.1666,36.479,13.329,31.087,13.715,10.774,2.555,Fairway,airborne,-0.001,0
41,0.1708,36.408,13.386,31.059,13.659,10.773,2.614,Fairway,airborne,-0.001,0
42,0.1750,36.338,13.443,31.031,13.603,10.771,2.672,Fairway,airborne,-0.001,0
43,0.1791,36.267,13.500,31.004,13.547,10.770,2.730,Fairway,airborne,-0.001,0
44,0.1833,36.197,13.556,30.976,13.492,10.768,2.788,Fairway,airborne,-0.001,0
45,0.1875,36.126,13.612,30.949,13.436,10.767,2.845,Fairway,airborne,-0.001,0
46,0.1916,36.056,13.668,30.921,13.381,10.765,2.902,Fairway,airborne,-0.001,0
47,0.1958,35.986,13.723,30.893,13.326,10.764,2.959,Fairway,airborne,-0.001,0
48,0.2000,35.915,13.779,30.866,13.271,10.763,3.016,Fairway,airborne,-0.001,0
49,0.2041,35.845,13.834,30.839,13.216,10.761,3.073,Fairway,airborne,-0.001,0
50,0.2083,35.775,13.889,30.811,13.161,10.760,3.129,Fairway,airborne,-0.001,0
51,0.2124,35.705,13.944,30.784,13.106,10.758,3.185,Fairway,airborne,-0.001,0
52,0.2166,35.635,13.998,30.756,13.052,10.757,3.241,Fairway,airborne,-0.001,0
53,0.2208,35.565,14.052,30.729,12.997,10.756,3.297,Fairway,airborne,-0.001,0
54,0.2249,35.496,14.106,30.702,12.943,10.754,3.352,Fairway,airborne,-0.001,0
55,0.2291,35.426,14.160,30.675,12.889,10.753,3.407,Fairway,airborne,-0.001,0
56,0.2333,35.356,14.214,30.647,12.834,10.751,3.462,Fairway,airborne,-0.001,0
57,0.2374,35.287,14.267,30.620,12.780,10.750,3.517,Fairway,airborne,-0.001,0
58,0.2416,35.217,14.320,30.593,12.727,10.748,3.572,Fairway,airborne,-0.002,0
59,0.2458,35.148,14.373,30.566,12.673,10.747,3.626,Fairway,airborne,-0.002,0
60,0.2499,35.079,14.426,30.539,12.619,10.745,3.680,Fairway,airborne,-0.002,0
61,0.2541,35.009,14.478,30.512,12.565,10.744,3.734,Fairway,airborne,-0.001,0
62,0.2583,34.940,14.530,30.485,12.512,10.742,3.788,Fairway,airborne,-0.001,0
63,0.2624,34.871,14.582,30.458,12.459,10.741,3.841,Fairway,airborne,-0.001,0
64,0.2666,34.802,14.634,30.431,12.405,10.739,3.895,Fairway,airborne,-0.001,0
65,0.2708,34.733,14.686,30.404,12.352,10.738,3.948,Fairway,airborne,-0.001,0
66,0.2749,34.664,14.737,30.377,12.299,10.737,4.000,Fairway,airborne,-0.001,0
67,0.2791,34.595,14.788,30.350,12.246,10.735,4.053,Fairway,airborne,-0.001,0
68,0.2833,34.526,14.839,30.323,12.193,10.733,4.106,Fairway,airborne,-0.002,0
69,0.2874,34.458,14.890,30.296,12.141,10.732,4.158,Fairway,airborne,-0.002,0
70,0.2916,34.389,14.940,30.269,12.088,10.730,4.210,Fairway,airborne,-0.002,0
71,0.2958,34.320,14.990,30.242,12.035,10.729,4.261,Fairway,airborne,-0.002,0
72,0.2999,34.252,15.040,30.215,11.983,10.727,4.313,Fairway,airborne,-0.002,0
73,0.3041,34.184,15.090,30.189,11.931,10.726,4.364,Fairway,airborne,-0.002,0
74,0.3083,34.115,15.140,30.162,11.878,10.724,4.415,Fairway,airborne,-0.002,0
75,0.3124,34.047,15.189,30.135,11.826,10.723,4.466,Fairway,airborne,-0.002,0
76,0.3166,33.979,15.238,30.108,11.774,10.721,4.517,Fairway,airborne,-0.001,0
77,0.3208,33.910,15.287,30.082,11.722,10.720,4.567,Fairway,airborne,-0.001,0
78,0.3249,33.842,15.336,30.055,11.670,10.718,4.618,Fairway,airborne,-0.002,0
79,0.3291,33.774,15.384,30.029,11.618,10.717,4.668,Fairway,airborne,-0.002,0
80,0.3333,33.706,15.433,30.002,11.567,10.715,4.717,Fairway,airborne,-0.002,0
81,0.3374,33.638,15.481,29.975,11.515,10.714,4.767,Fairway,airborne,-0.002,0
82,0.3416,33.570,15.529,29.949,11.464,10.712,4.816,Fairway,airborne,-0.002,0
83,0.3457,33.503,15.576,29.922,11.412,10.711,4.866,Fairway,airborne,-0.001,0
84,0.3499,33.435,15.624,29.896,11.361,10.709,4.914,Fairway,airborne,-0.001,0
85,0.3541,33.367,15.671,29.869,11.310,10.708,4.963,Fairway,airborne,-0.001,0
86,0.3582,33.300,15.718,29.843,11.258,10.706,5.012,Fairway,airborne,-0.001,0
87,0.3624,33.232,15.765,29.816,11.207,10.705,5.060,Fairway,airborne,-0.001,0
88,0.3666,33.164,15.811,29.790,11.156,10.703,5.108,Fairway,airborne,-0.001,0
89,0.3707,33.097,15.858,29.764,11.105,10.702,5.156,Fairway,airborne,-0.002,0
90,0.3749,33.030,15.904,29.737,11.055,10.700,5.203,Fairway,airborne,-0.002,0
91,0.3791,32.962,15.950,29.711,11.004,10.699,5.251,Fairway,airborne,-0.001,0
92,0.3832,32.895,15.995,29.685,10.953,10.697,5.298,Fairway,airborne,-0.001,0
93,0.3874,32.828,16.041,29.658,10.903,10.696,5.345,Fairway,airborne,-0.001,0
94,0.3916,32.761,16.086,29.632,10.852,10.695,5.392,Fairway,airborne,-0.001,0
95,0.3957,32.694,16.131,29.606,10.802,10.693,5.438,Fairway,airborne,-0.001,0
96,0.3999,32.627,16.176,29.580,10.752,10.692,5.485,Fairway,airborne,-0.001,0
97,0.4041,32.560,16.221,29.553,10.701,10.690,5.531,Fairway,airborne,-0.001,0
98,0.4082,32.493,16.265,29.527,10.651,10.689,5.577,Fairway,airborne,-0.001,0
99,0.4124,32.426,16.310,29.501,10.601,10.687,5.622,Fairway,airborne,-0.002,0
100,0.4166,32.359,16.354,29.475,10.551,10.686,5.668,Fairway,airborne,-0.002,0
101,0.4207,32.292,16.397,29.449,10.501,10.684,5.713,Fairway,airborne,-0.002,0
102,0.4249,32.226,16.441,29.423,10.451,10.682,5.759,Fairway,airborne,-0.002,0
103,0.4291,32.159,16.485,29.397,10.402,10.681,5.804,Fairway,airborne,-0.002,0
104,0.4332,32.093,16.528,29.371,10.352,10.679,5.848,Fairway,airborne,-0.002,0
105,0.4374,32.026,16.571,29.345,10.302,10.678,5.893,Fairway,airborne,-0.002,0
106,0.4416,31.960,16.614,29.319,10.253,10.676,5.937,Fairway,airborne,-0.001,0
107,0.4457,31.893,16.656,29.293,10.203,10.675,5.981,Fairway,airborne,-0.001,0
108,0.4499,31.827,16.699,29.267,10.154,10.673,6.025,Fairway,airborne,-0.001,0
109,0.4541,31.761,16.741,29.241,10.105,10.672,6.069,Fairway,airborne,-0.001,0
110,0.4582,31.694,16.783,29.215,10.055,10.670,6.112,Fairway,airborne,-0.001,0
111,0.4624,31.628,16.825,29.189,10.006,10.669,6.156,Fairway,airborne,-0.001,0
112,0.4666,31.562,16.866,29.163,9.957,10.667,6.199,Fairway,airborne,-0.001,0
113,0.4707,31.496,16.907,29.137,9.908,10.666,6.242,Fairway,airborne,-0.001,0
114,0.4749,31.430,16.949,29.112,9.859,10.664,6.284,Fairway,airborne,-0.001,0
115,0.4790,31.364,16.990,29.086,9.810,10.663,6.327,Fairway,airborne,-0.001,0
116,0.4832,31.298,17.030,29.060,9.761,10.661,6.369,Fairway,airborne,-0.001,0
117,0.4874,31.232,17.071,29.034,9.713,10.660,6.411,Fairway,airborne,-0.001,0
