frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
0,0.0000,39.378,10.851,32.220,22.498,10.831,0.020,Fairway,airborne,0.000,0
1,0.0042,39.274,10.945,32.180,22.441,10.829,0.116,Fairway,airborne,-0.002,0
2,0.0083,39.170,11.038,32.139,22.385,10.827,0.211,Fairway,airborne,-0.002,0
3,0.0125,39.066,11.132,32.098,22.329,10.825,0.306,Fairway,airborne,-0.002,0
4,0.0167,38.962,11.224,32.058,22.273,10.823,0.401,Fairway,airborne,-0.002,0
5,0.0208,38.859,11.317,32.017,22.217,10.821,0.496,Fairway,airborne,-0.002,0
6,0.0250,38.755,11.409,31.977,22.161,10.819,0.590,Fairway,airborne,-0.002,0
7,0.0292,38.652,11.502,31.936,22.105,10.817,0.684,Fairway,airborne,-0.002,0
8,0.0333,38.548,11.594,31.896,22.049,10.815,0.778,Fairway,airborne,-0.002,0
9,0.0375,38.445,11.685,31.855,21.994,10.813,0.872,Fairway,airborne,-0.002,0
10,0.0417,38.341,11.777,31.815,21.938,10.811,0.966,Fairway,airborne,-0.002,0
11,0.0458,38.238,11.868,31.775,21.883,10.809,1.059,Fairway,airborne,-0.002,0
12,0.0500,38.135,11.959,31.734,21.827,10.807,1.152,Fairway,airborne,-0.002,0
13,0.0542,38.032,12.050,31.694,21.772,10.805,1.245,Fairway,airborne,-0.002,0
14,0.0583,37.929,12.141,31.653,21.717,10.803,1.337,Fairway,airborne,-0.002,0
15,0.0625,37.826,12.231,31.613,21.662,10.801,1.430,Fairway,airborne,-0.002,0
16,0.0667,37.723,12.321,31.573,21.606,10.799,1.522,Fairway,airborne,-0.002,0
17,0.0708,37.620,12.411,31.533,21.551,10.797,1.614,Fairway,airborne,-0.002,0
18,0.0750,37.517,12.501,31.493,21.497,10.795,1.706,Fairway,airborne,-0.002,0
19,0.0791,37.414,12.590,31.452,21.442,10.793,1.797,Fairway,airborne,-0.002,0
20,0.0833,37.312,12.679,31.412,21.387,10.791,1.888,Fairway,airborne,-0.002,0
21,0.0875,37.209,12.768,31.372,21.332,10.789,1.979,Fairway,airborne,-0.002,0
22,0.0916,37.107,12.857,31.332,21.277,10.787,2.070,Fairway,airborne,-0.002,0
