frame,phase,surface,ballX,ballY,ballZ,groundY2arg,groundY3arg
1,roll,Fairway,10.7664,7.8846,-17.4772,7.8633,7.8633
2,roll,Fairway,10.7667,7.8846,-17.4773,7.8633,7.8633
3,roll,Fairway,10.7671,7.8846,-17.4774,7.8633,7.8633
4,roll,Fairway,10.7675,7.8846,-17.4775,7.8633,7.8633
5,roll,Fairway,10.7678,7.8846,-17.4776,7.8633,7.8633
6,roll,Fairway,10.7682,7.8846,-17.4777,7.8632,7.8632
7,roll,Fairway,10.7686,7.8846,-17.4778,7.8632,7.8632
8,roll,Fairway,10.7689,7.8846,-17.4779,7.8632,7.8632
9,roll,Fairway,10.7693,7.8846,-17.4780,7.8632,7.8632
10,roll,Fairway,10.7697,7.8846,-17.4781,7.8632,7.8632
11,roll,Fairway,10.7700,7.8846,-17.4782,7.8632,7.8632
