frame,phase,surface,ballX,ballY,ballZ,groundY2arg,groundY3arg
1,putt,Green,-241.9792,10.4128,-72.0000,10.3915,10.3915
2,putt,Green,-241.9584,10.4150,-72.0000,10.3936,10.3936
3,putt,Green,-241.9376,10.4171,-72.0000,10.3958,10.3958
4,putt,Green,-241.9169,10.4193,-72.0000,10.3979,10.3979
5,putt,Green,-241.8961,10.4214,-72.0000,10.4001,10.4001
6,putt,Green,-241.8753,10.4236,-72.0000,10.4023,10.4023
7,putt,Green,-241.8546,10.4258,-72.0000,10.4044,10.4044
8,putt,Green,-241.8338,10.4279,-72.0000,10.4066,10.4066
9,putt,Green,-241.8131,10.4301,-72.0000,10.4087,10.4087
10,putt,Green,-241.7924,10.4322,-72.0000,10.4109,10.4109
11,putt,Green,-241.7717,10.4344,-72.0000,10.4130,10.4130
12,putt,Green,-241.7510,10.4365,-72.0000,10.4152,10.4152
13,putt,Green,-241.7303,10.4387,-72.0000,10.4174,10.4174
14,putt,Green,-241.7096,10.4409,-72.0000,10.4195,10.4195
15,putt,Green,-241.6889,10.4430,-72.0000,10.4217,10.4217
16,putt,Green,-241.6682,10.4452,-72.0000,10.4238,10.4238
17,putt,Green,-241.6476,10.4473,-72.0000,10.4260,10.4260
18,putt,Green,-241.6269,10.4495,-72.0000,10.4282,10.4282
19,putt,Green,-241.6063,10.4517,-72.0000,10.4303,10.4303
20,putt,Green,-241.5857,10.4538,-72.0000,10.4325,10.4325
21,putt,Green,-241.5650,10.4560,-72.0000,10.4346,10.4346
22,putt,Green,-241.5444,10.4561,-72.0000,10.4347,10.4347
23,putt,Green,-241.5238,10.4556,-72.0000,10.4342,10.4342
24,putt,Green,-241.5032,10.4551,-72.0000,10.4337,10.4337
25,putt,Green,-241.4826,10.4546,-72.0000,10.4332,10.4332
26,putt,Green,-241.4620,10.4541,-72.0000,10.4327,10.4327
27,putt,Green,-241.4415,10.4536,-72.0000,10.4323,10.4323
28,putt,Green,-241.4209,10.4531,-72.0000,10.4318,10.4318
29,putt,Green,-241.4003,10.4526,-72.0000,10.4313,10.4313
30,putt,Green,-241.3798,10.4521,-72.0000,10.4308,10.4308
31,putt,Green,-241.3593,10.4516,-72.0000,10.4303,10.4303
32,putt,Green,-241.3387,10.4511,-72.0000,10.4298,10.4298
33,putt,Green,-241.3182,10.4506,-72.0000,10.4292,10.4292
34,putt,Green,-241.2977,10.4500,-72.0000,10.4286,10.4286
35,putt,Green,-241.2772,10.4494,-72.0000,10.4281,10.4281
36,putt,Green,-241.2567,10.4488,-72.0000,10.4275,10.4275
37,putt,Green,-241.2362,10.4483,-72.0000,10.4269,10.4269
38,putt,Green,-241.2157,10.4477,-72.0000,10.4264,10.4264
39,putt,Green,-241.1952,10.4471,-72.0000,10.4258,10.4258
40,putt,Green,-241.1748,10.4466,-72.0000,10.4252,10.4252
41,putt,Green,-241.1543,10.4460,-72.0000,10.4246,10.4246
42,putt,Green,-241.1339,10.4454,-72.0000,10.4241,10.4241
43,putt,Green,-241.1134,10.4448,-72.0000,10.4235,10.4235
44,putt,Green,-241.0930,10.4443,-72.0000,10.4229,10.4229
45,putt,Green,-241.0726,10.4437,-72.0000,10.4224,10.4224
46,putt,Green,-241.0522,10.4431,-72.0000,10.4218,10.4218
47,putt,Green,-241.0318,10.4426,-72.0000,10.4212,10.4212
48,putt,Green,-241.0114,10.4420,-72.0000,10.4206,10.4206
49,putt,Green,-240.9910,10.4414,-72.0000,10.4201,10.4201
50,putt,Green,-240.9706,10.4409,-72.0000,10.4195,10.4195
51,putt,Green,-240.9503,10.4403,-72.0000,10.4190,10.4190
52,putt,Green,-240.9299,10.4397,-72.0000,10.4184,10.4184
53,putt,Green,-240.9095,10.4392,-72.0000,10.4178,10.4178
54,putt,Green,-240.8892,10.4386,-72.0000,10.4172,10.4172
55,putt,Green,-240.8689,10.4380,-72.0000,10.4167,10.4167
56,putt,Green,-240.8485,10.4375,-72.0000,10.4161,10.4161
57,putt,Green,-240.8282,10.4369,-72.0000,10.4155,10.4155
58,putt,Green,-240.8079,10.4363,-72.0000,10.4150,10.4150
59,putt,Green,-240.7876,10.4358,-72.0000,10.4144,10.4144
60,putt,Green,-240.7673,10.4352,-72.0000,10.4139,10.4139
61,putt,Green,-240.7470,10.4347,-72.0000,10.4133,10.4133
62,putt,Green,-240.7268,10.4341,-72.0000,10.4128,10.4128
63,putt,Green,-240.7065,10.4336,-72.0000,10.4122,10.4122
64,putt,Green,-240.6862,10.4330,-72.0000,10.4117,10.4117
65,putt,Green,-240.6660,10.4325,-72.0000,10.4111,10.4111
66,putt,Green,-240.6457,10.4319,-72.0000,10.4106,10.4106
67,putt,Green,-240.6255,10.4314,-72.0000,10.4100,10.4100
68,putt,Green,-240.6053,10.4308,-72.0000,10.4095,10.4095
69,putt,Green,-240.5851,10.4303,-72.0000,10.4089,10.4089
70,putt,Green,-240.5649,10.4297,-72.0000,10.4084,10.4084
71,putt,Green,-240.5447,10.4292,-72.0000,10.4078,10.4078
72,putt,Green,-240.5245,10.4286,-72.0000,10.4073,10.4073
73,putt,Green,-240.5043,10.4281,-72.0000,10.4067,10.4067
74,putt,Green,-240.4841,10.4275,-72.0000,10.4062,10.4062
75,putt,Green,-240.4639,10.4270,-72.0000,10.4056,10.4056
76,putt,Green,-240.4438,10.4264,-72.0000,10.4051,10.4051
77,putt,Green,-240.4236,10.4259,-72.0000,10.4045,10.4045
78,putt,Green,-240.4035,10.4253,-72.0000,10.4040,10.4040
79,putt,Green,-240.3834,10.4248,-72.0000,10.4034,10.4034
80,putt,Green,-240.3633,10.4242,-72.0000,10.4029,10.4029
81,putt,Green,-240.3431,10.4237,-72.0000,10.4023,10.4023
82,putt,Green,-240.3230,10.4231,-72.0000,10.4018,10.4018
83,putt,Green,-240.3029,10.4226,-72.0000,10.4012,10.4012
84,putt,Green,-240.2828,10.4220,-72.0000,10.4007,10.4007
85,putt,Green,-240.2628,10.4215,-72.0000,10.4001,10.4001
86,putt,Green,-240.2427,10.4209,-72.0000,10.3996,10.3996
87,putt,Green,-240.2226,10.4204,-72.0000,10.3990,10.3990
88,putt,Green,-240.2026,10.4199,-72.0000,10.3985,10.3985
89,putt,Green,-240.1825,10.4193,-72.0000,10.3980,10.3980
90,putt,Green,-240.1625,10.4188,-72.0000,10.3975,10.3975
91,putt,Green,-240.1425,10.4183,-72.0000,10.3969,10.3969
92,putt,Green,-240.1224,10.4177,-72.0000,10.3964,10.3964
93,putt,Green,-240.1024,10.4172,-72.0000,10.3959,10.3959
94,putt,Green,-240.0824,10.4167,-72.0000,10.3953,10.3953
95,putt,Green,-240.0624,10.4162,-72.0000,10.3948,10.3948
96,putt,Green,-240.0424,10.4156,-72.0000,10.3943,10.3943
97,putt,Green,-240.0224,10.4151,-72.0000,10.3938,10.3938
98,putt,Green,-240.0025,10.4146,-72.0000,10.3932,10.3932
99,putt,Green,-239.9825,10.4141,-72.0000,10.3927,10.3927
100,putt,Green,-239.9626,10.4135,-72.0000,10.3922,10.3922
101,putt,Green,-239.9426,10.4130,-72.0000,10.3917,10.3917
102,putt,Green,-239.9227,10.4125,-72.0000,10.3911,10.3911
103,putt,Green,-239.9027,10.4120,-72.0000,10.3906,10.3906
104,putt,Green,-239.8828,10.4114,-72.0000,10.3901,10.3901
105,putt,Green,-239.8629,10.4109,-72.0000,10.3896,10.3896
106,putt,Green,-239.8430,10.4104,-72.0000,10.3890,10.3890
107,putt,Green,-239.8231,10.4099,-72.0000,10.3885,10.3885
108,putt,Green,-239.8032,10.4094,-72.0000,10.3880,10.3880
109,putt,Green,-239.7833,10.4088,-72.0000,10.3875,10.3875
110,putt,Green,-239.7635,10.4083,-72.0000,10.3870,10.3870
111,putt,Green,-239.7436,10.4078,-72.0000,10.3865,10.3865
112,putt,Green,-239.7237,10.4073,-72.0000,10.3859,10.3859
113,putt,Green,-239.7039,10.4068,-72.0000,10.3854,10.3854
114,putt,Green,-239.6841,10.4063,-72.0000,10.3849,10.3849
115,putt,Green,-239.6642,10.4058,-72.0000,10.3844,10.3844
116,putt,Green,-239.6444,10.4052,-72.0000,10.3839,10.3839
117,putt,Green,-239.6246,10.4047,-72.0000,10.3834,10.3834
118,putt,Green,-239.6048,10.4042,-72.0000,10.3829,10.3829
119,putt,Green,-239.5850,10.4037,-72.0000,10.3823,10.3823
120,putt,Green,-239.5652,10.4032,-72.0000,10.3818,10.3818
121,putt,Green,-239.5454,10.4027,-72.0000,10.3813,10.3813
122,putt,Green,-239.5256,10.4022,-72.0000,10.3808,10.3808
123,putt,Green,-239.5059,10.4016,-72.0000,10.3803,10.3803
124,putt,Green,-239.4861,10.4011,-72.0000,10.3798,10.3798
125,putt,Green,-239.4664,10.4006,-72.0000,10.3793,10.3793
126,putt,Green,-239.4466,10.4001,-72.0000,10.3788,10.3788
127,putt,Green,-239.4269,10.3996,-72.0000,10.3783,10.3783
128,putt,Green,-239.4072,10.3991,-72.0000,10.3777,10.3777
129,putt,Green,-239.3875,10.3986,-72.0000,10.3772,10.3772
130,putt,Green,-239.3678,10.3981,-72.0000,10.3767,10.3767
131,putt,Green,-239.3481,10.3976,-72.0000,10.3762,10.3762
132,putt,Green,-239.3284,10.3970,-72.0000,10.3757,10.3757
133,putt,Green,-239.3087,10.3965,-72.0000,10.3752,10.3752
134,putt,Green,-239.2890,10.3960,-72.0000,10.3747,10.3747
135,putt,Green,-239.2693,10.3955,-72.0000,10.3742,10.3742
136,putt,Green,-239.2497,10.3950,-72.0000,10.3737,10.3737
137,putt,Green,-239.2300,10.3945,-72.0000,10.3731,10.3731
138,putt,Green,-239.2104,10.3940,-72.0000,10.3727,10.3727
139,putt,Green,-239.1908,10.3935,-72.0000,10.3722,10.3722
140,putt,Green,-239.1711,10.3930,-72.0000,10.3717,10.3717
141,putt,Green,-239.1515,10.3925,-72.0000,10.3712,10.3712
142,putt,Green,-239.1319,10.3920,-72.0000,10.3707,10.3707
143,putt,Green,-239.1123,10.3916,-72.0000,10.3702,10.3702
144,putt,Green,-239.0927,10.3911,-72.0000,10.3697,10.3697
145,putt,Green,-239.0732,10.3906,-72.0000,10.3692,10.3692
146,putt,Green,-239.0536,10.3901,-72.0000,10.3688,10.3688
147,putt,Green,-239.0340,10.3896,-72.0000,10.3683,10.3683
148,putt,Green,-239.0145,10.3891,-72.0000,10.3678,10.3678
149,putt,Green,-238.9949,10.3886,-72.0000,10.3673,10.3673
150,putt,Green,-238.9754,10.3882,-72.0000,10.3668,10.3668
151,putt,Green,-238.9558,10.3877,-72.0000,10.3663,10.3663
152,putt,Green,-238.9363,10.3872,-72.0000,10.3658,10.3658
153,putt,Green,-238.9168,10.3867,-72.0000,10.3654,10.3654
154,putt,Green,-238.8973,10.3862,-72.0000,10.3649,10.3649
155,putt,Green,-238.8778,10.3857,-72.0000,10.3644,10.3644
156,putt,Green,-238.8583,10.3853,-72.0000,10.3639,10.3639
157,putt,Green,-238.8388,10.3848,-72.0000,10.3634,10.3634
158,putt,Green,-238.8193,10.3843,-72.0000,10.3629,10.3629
159,putt,Green,-238.7999,10.3838,-72.0000,10.3624,10.3624
160,putt,Green,-238.7804,10.3833,-72.0000,10.3620,10.3620
161,putt,Green,-238.7609,10.3828,-72.0000,10.3615,10.3615
162,putt,Green,-238.7415,10.3823,-72.0000,10.3610,10.3610
163,putt,Green,-238.7221,10.3818,-72.0000,10.3605,10.3605
164,putt,Green,-238.7026,10.3814,-72.0000,10.3600,10.3600
165,putt,Green,-238.6832,10.3809,-72.0000,10.3595,10.3595
166,putt,Green,-238.6638,10.3804,-72.0000,10.3590,10.3590
167,putt,Green,-238.6444,10.3799,-72.0000,10.3585,10.3585
168,putt,Green,-238.6250,10.3794,-72.0000,10.3581,10.3581
169,putt,Green,-238.6056,10.3789,-72.0000,10.3576,10.3576
170,putt,Green,-238.5862,10.3784,-72.0000,10.3571,10.3571
171,putt,Green,-238.5669,10.3779,-72.0000,10.3566,10.3566
