AssetPath,GameObjectPath,TextValue,Class,Group,HasBinder,ExistingKey,SuggestedKey,ReuseOf,Notes
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/TopBar/RewardPoints/PointsValue","",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/TopBar/Header/HeaderText","",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/InfoLabelBG/BallName","Bridgestone TOURSTAGE Extra Distance",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/InfoLabelBG/BallCountInfo/BallCount","3",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallStats/PowerStatElement (1)/StatType","Power",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallStats/PowerStatElement (1)/Stat Value","+3",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallStats/ReboundStatElement (2)/StatType","Rebound",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallStats/ReboundStatElement (2)/Stat Value","+2",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallStats/WindResistanceStatElement (3)/StatType","Wind 
Resistance",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallStats/WindResistanceStatElement (3)/Stat Value","0",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallStats/RollStatElement (4)/StatType","Roll",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallStats/RollStatElement (4)/Stat Value","+5",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallStats/SpinStatElement (5)/StatType","Spin",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallStats/SpinStatElement (5)/Stat Value","+4",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/InfoButton/InfoButtonText","INFO",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/ParametersButton/ParametersButtonText","STATS",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallInfoElement/BallInfoText","Designed for Consistently Outstanding Tour Performance

Ideal for the better player seeking distance & feel",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallElement/Header/BallName","BALL",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallElement/Header/BallCount","10",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/BallElement/SelectedLabel/SelectedText","Selected",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/StatElementPrefab/StatType","Power",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/StatElementPrefab/Stat Value","+3",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/SelectButton/SelectText","SELECT",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/BallSelectionPanel.prefab","BallSelectionView/CancelButton/CancelText","CANCEL",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/ClubSelectionv2ViewPanel.prefab","ClubSelectionButton/ClubInfo/ClubType","DRIVER",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/ClubSelectionv2ViewPanel.prefab","ClubSelectionButton/ClubInfo/ClubDistance","195.7 yrds",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/ClubSelectionv2ViewPanel.prefab","ClubSelectionScreen/ClubElement/ClubRarityBG/ClubType","ClubType",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/ClubSelectionv2ViewPanel.prefab","ClubSelectionScreen/ClubElement/ClubRarityBG/RarityLevelInfo/ClubLevel","99",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/ClubSelectionv2ViewPanel.prefab","ClubSelectionScreen/ClubElement/InBagLabel/InBagText","In Bag",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/ClubSelectionv2ViewPanel.prefab","ClubSelectionScreen/ClubElement/SelectedLabel/SelectedText","Selected",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/ClubSelectionv2ViewPanel.prefab","ClubSelectionScreen/TopBar/RewardPoints/PointsValue","",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/ClubSelectionv2ViewPanel.prefab","ClubSelectionScreen/TopBar/Header/HeaderText","",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/ClubSelectionv2ViewPanel.prefab","ClubSelectionScreen/ClubInfoElement/StatElement/StatType","Total Distance",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
"Assets/Prefabs/Original/Gameplay/Hud/ClubSelectionv2ViewPanel.prefab","ClubSelectionScreen/ClubInfoElement/StatElement/Stat Value","Value",CANDIDATE_DEAD,Inventory/Bag,N,,,,"Original/ — may be superseded by Prefabs/UI/Account"
