stage 2 SOLVE, roll mode stancescan at address, captureDeltaTime=0.0167
clip hands (rig OFF): L pos=(80.0248, 14.2352, -25.0776) rot=(0.68677, -0.01396, -0.72482, -0.05281) | R pos=(80.1302, 14.2020, -25.0387) rot=(0.60147, -0.17849, 0.77627, 0.06153)
STANCE SWEEP (Hips lift with the feet pinned by leg IK × Spine bend about the target line; clip hands, rig hands off):
lift mm bend° | torso tilt° | knee flex L/R° | arm hang L/R° | hands↔thighs mm (surface) | hands vs chin mm | hands over knee mm | hand height mm | shoulder height mm
  0.00    0 | 31.9 | 31.2/32.4 | 16.9/20.7 | 245.66 (145.66) | -31.19 | 132.97 | 784.31 | 1211.00
  0.00    5 | 27.8 | 31.2/32.4 | 19.8/24.0 | 268.11 (168.11) | 16.12 | 158.99 | 810.40 | 1228.43
  0.00   10 | 23.8 | 31.2/32.4 | 23.4/27.8 | 289.18 (189.18) | 63.30 | 187.37 | 837.86 | 1244.06
  0.00   -5 | 36.0 | 31.2/32.4 | 15.1/18.1 | 222.07 (122.07) | -78.25 | 109.11 | 759.82 | 1191.91
  0.00   15 | 19.7 | 31.2/32.4 | 27.5/31.9 | 308.70 (208.70) | 110.03 | 218.15 | 866.51 | 1257.77
 20.00    0 | 31.9 | 16.3/18.5 | 16.9/20.7 | 260.58 (160.58) | -31.19 | 149.33 | 805.34 | 1232.03
 20.00    5 | 27.8 | 16.3/18.5 | 19.8/24.0 | 280.84 (180.84) | 16.12 | 175.35 | 831.43 | 1249.46
 20.00   10 | 23.8 | 16.3/18.5 | 23.4/27.8 | 299.45 (199.45) | 63.31 | 203.73 | 858.89 | 1265.09
 20.00   -5 | 36.0 | 16.3/18.5 | 15.1/18.1 | 238.86 (138.86) | -78.25 | 125.47 | 780.84 | 1212.93
 20.00   15 | 19.7 | 16.3/18.5 | 27.5/31.9 | 316.25 (216.25) | 110.03 | 234.51 | 887.53 | 1278.80
 40.00    0 | 31.9 | 0.3/0.5 | 16.9/20.7 | 271.98 (171.98) | -31.19 | 159.88 | 826.37 | 1253.06
 40.00    5 | 27.8 | 0.3/0.5 | 19.8/24.0 | 289.37 (189.37) | 16.12 | 185.90 | 852.46 | 1270.49
 40.00   10 | 23.8 | 0.3/0.5 | 23.4/27.8 | 304.85 (204.85) | 63.31 | 214.28 | 879.93 | 1286.12
 40.00   -5 | 36.0 | 0.3/0.5 | 15.1/18.1 | 252.82 (152.82) | -78.25 | 136.02 | 801.88 | 1233.97
 40.00   15 | 19.7 | 0.3/0.5 | 27.5/31.9 | 318.40 (218.40) | 110.03 | 245.06 | 908.57 | 1299.83
 60.00    0 | 31.9 | 0.3/0.5 | 16.9/20.7 | 272.10 (172.10) | -31.19 | 160.27 | 847.40 | 1274.09
 60.00    5 | 27.8 | 0.3/0.5 | 19.8/24.0 | 289.45 (189.45) | 16.12 | 186.29 | 873.49 | 1291.52
 60.00   10 | 23.8 | 0.3/0.5 | 23.4/27.8 | 304.88 (204.88) | 63.30 | 214.67 | 900.96 | 1307.15
 60.00   -5 | 36.0 | 0.3/0.5 | 15.1/18.1 | 252.98 (152.98) | -78.25 | 136.41 | 822.91 | 1255.00
 60.00   15 | 19.7 | 0.3/0.5 | 27.5/31.9 | 318.40 (218.40) | 110.03 | 245.45 | 929.60 | 1320.87
 80.00    0 | 31.9 | 0.3/0.5 | 16.9/20.7 | 272.21 (172.21) | -31.19 | 160.63 | 868.44 | 1295.13
 80.00    5 | 27.8 | 0.3/0.5 | 19.8/24.0 | 289.53 (189.53) | 16.12 | 186.65 | 894.53 | 1312.56
 80.00   10 | 23.8 | 0.3/0.5 | 23.4/27.8 | 304.91 (204.91) | 63.30 | 215.03 | 921.99 | 1328.18
 80.00   -5 | 36.0 | 0.3/0.5 | 15.1/18.1 | 253.12 (153.12) | -78.25 | 136.77 | 843.94 | 1276.03
 80.00   15 | 19.7 | 0.3/0.5 | 27.5/31.9 | 318.40 (218.40) | 110.03 | 245.81 | 950.63 | 1341.90
100.00    0 | 31.9 | 0.3/0.5 | 16.9/20.7 | 272.32 (172.32) | -31.19 | 160.97 | 889.47 | 1316.15
100.00    5 | 27.8 | 0.3/0.5 | 19.8/24.0 | 289.60 (189.60) | 16.12 | 186.99 | 915.56 | 1333.59
100.00   10 | 23.8 | 0.3/0.5 | 23.4/27.8 | 304.94 (204.94) | 63.30 | 215.37 | 943.02 | 1349.21
100.00   -5 | 36.0 | 0.3/0.5 | 15.1/18.1 | 253.26 (153.26) | -78.25 | 137.11 | 864.97 | 1297.06
100.00   15 | 19.7 | 0.3/0.5 | 27.5/31.9 | 318.40 (218.40) | 110.03 | 246.15 | 971.66 | 1362.93

stance pick: lift 20.00 mm, bend 5° (posture in band, short of room), Euler (4.9272, 359.9219, 359.1496), hips offset (0.0006, 0.0195, 0.0043) — guideline: torso tilt 25.0–45.0°, knee flex 15.0–25.0°, clip hands ≥ 200.00 mm over the knee
