stage 2 SOLVE, roll mode stancescan at address, captureDeltaTime=0.0167
clip hands (rig OFF): L pos=(80.0248, 14.2352, -25.0776) rot=(0.68677, -0.01396, -0.72482, -0.05281) | R pos=(80.1302, 14.2020, -25.0387) rot=(0.60147, -0.17849, 0.77627, 0.06153)
STANCE SWEEP (Spine bend about the target line, Pivot space; clip hands, rig hands off):
bend° | torso tilt° | knee flex L/R° | arm hang L/R° | hands↔thighs mm (surface) | hands vs chin mm | hands over knee mm | hand height mm | shoulder height mm
   0 | 31.9 | 31.2/32.4 | 16.9/20.7 | 245.66 (145.66) | -31.19 | 132.97 | 784.31 | 1211.00
   5 | 27.8 | 31.2/32.4 | 19.8/24.0 | 268.11 (168.11) | 16.12 | 158.99 | 810.40 | 1228.43
  -5 | 36.0 | 31.2/32.4 | 15.1/18.1 | 222.07 (122.07) | -78.25 | 109.11 | 759.82 | 1191.91
  10 | 23.8 | 31.2/32.4 | 23.4/27.8 | 289.18 (189.18) | 63.31 | 187.37 | 837.86 | 1244.06
 -10 | 40.2 | 31.2/32.4 | 14.8/16.6 | 197.57 (97.57) | -124.70 | 88.25 | 737.08 | 1171.29
  15 | 19.7 | 31.2/32.4 | 27.5/31.9 | 308.70 (208.70) | 110.03 | 218.15 | 866.51 | 1257.77
 -15 | 44.4 | 31.2/32.4 | 16.0/16.5 | 172.46 (72.46) | -170.20 | 70.39 | 716.29 | 1149.31
  20 | 15.7 | 31.2/32.4 | 31.8/36.3 | 326.49 (226.49) | 155.92 | 251.10 | 896.10 | 1269.46
 -20 | 48.6 | 31.2/32.4 | 18.6/17.8 | 147.12 (47.12) | -214.38 | 54.95 | 697.59 | 1126.14
  25 | 11.7 | 31.2/32.4 | 36.2/40.7 | 342.41 (242.41) | 200.63 | 285.97 | 926.43 | 1279.04
 -25 | 52.9 | 31.2/32.4 | 22.0/20.3 | 122.06 (22.06) | -256.93 | 42.92 | 681.15 | 1101.95
  30 | 7.7 | 31.2/32.4 | 40.8/45.3 | 356.31 (256.31) | 243.83 | 322.49 | 957.25 | 1286.44
 -30 | 57.3 | 31.2/32.4 | 25.9/23.5 | 98.14 (-1.86) | -297.51 | 34.39 | 667.06 | 1076.91

stance pick: bend 5° (in band), Euler (4.9272, 359.9219, 359.1496) — guideline: torso tilt 25.0–45.0° from vertical, clip hands ≥ 150.00 mm over the knee
