# prev vs tight   |   noise floor: tight vs tight2
frame                     mean|d|  max|d|   %moved   |    mean|d|  max|d|   %moved   verdict
hole01_behindgreen          3.962     196   17.07%   |      3.788     207   17.03%   1.0x the noise floor
hole01_tee                 34.886     255   70.83%   |     66.979     255   72.82%   BELOW the scene's own noise
hole06_behindgreen          2.032     212   36.96%   |      1.266     206   29.56%   1.6x the noise floor
hole06_tee                  1.107     204   27.18%   |      2.518     217   37.19%   BELOW the scene's own noise
hole07_behindgreen          0.714     194    8.49%   |      0.626     190    8.21%   1.1x the noise floor
hole07_bridgeClose          0.213      46    8.93%   |      0.018       8    1.25%   11.8x the noise floor
hole07_bridgeWide           0.181      28    6.82%   |      0.004       7    0.29%   45.4x the noise floor
hole07_tee                  0.820     255    7.82%   |      0.729     255    7.61%   1.1x the noise floor
hole12_behindgreen          0.634     186   11.52%   |      0.988     183   12.43%   BELOW the scene's own noise
hole12_bridgeClose1         2.304     188   58.61%   |      1.659     184   34.55%   1.4x the noise floor
hole12_bridgeClose2         1.632     115   69.03%   |      1.023     107   48.90%   1.6x the noise floor
hole12_bridgeWide1          3.151     183   55.40%   |      3.814     179   43.17%   BELOW the scene's own noise
hole12_bridgeWide2          4.091     211   74.77%   |      4.063     206   68.66%   1.0x the noise floor
hole12_tee                  3.958     212   56.37%   |      6.157     211   55.72%   BELOW the scene's own noise
