wk_2026_38	GET BogeyB Drivers & Woods	BogeyB ドライバー＆ウッドが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_39	GET G&F Woods & Irons	G&F ウッド＆アイアンが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_40	GET PAR PERFECT Irons & A.Wedges	PAR PERFECT アイアン＆Aウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_41	GET EAGLEZ A.Wedges & P.Wedges	EAGLEZ Aウェッジ＆Pウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_42	GET GOLFIN P.Wedges & S.Wedges	GOLFIN Pウェッジ＆Sウェッジが登場	SPORTS DAY\n*DOUBLE* LEGENDARY!	スポーツの日\n*レジェンダリー*2本立て！
wk_2026_43	GET PUTT ACE S.Wedges & Putters	PUTT ACE Sウェッジ＆パターが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_44	GET FAIRLOFT Putters & Drivers	FAIRLOFT パター＆ドライバーが登場	HALLOWEEN NIGHT\n*DOUBLE* LEGENDARY!	ハロウィンナイト\n*レジェンダリー*2本立て！
wk_2026_45	GET GOLFINIX Drivers & Woods	GOLFINIX ドライバー＆ウッドが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_46	GET ROYAL SWING Woods & Irons	ROYAL SWING ウッド＆アイアンが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_47	GET Fairway THREADS Irons & A.Wedges	Fairway THREADS アイアン＆Aウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
wk_2026_48	GET A.Wedges & P.Wedges	Aウェッジ＆Pウェッジが登場	3× RATE-UP ON\n*LEGENDARY* GEAR!	*レジェンダリー*装備\n確率3倍！
