Zone Grid (X from -190 to 100, Z from -60 to 60):
  (-190,10): Fairway
  (-190,20): Fairway
  (-190,30): Fairway
  (-190,40): Fairway
  (-190,50): CartPath
  (-190,60): Fairway
  (-180,10): Fairway
  (-180,20): Fairway
  (-180,30): Fairway
  (-180,40): Fairway
  (-180,50): Fairway
  (-170,0): Fairway
  (-170,10): Fairway
  (-170,20): Tee
  (-170,30): Tee
  (-170,40): Fairway
  (-170,50): Fairway
  (-160,0): Fairway
  (-160,10): Fairway
  (-160,20): Tee
  (-160,30): Tee
  (-160,40): Fairway
  (-160,50): Fairway
  (-150,0): Fairway
  (-150,10): Fairway
  (-150,20): Tee
  (-150,30): Fairway
  (-150,40): Fairway
  (-150,50): Fairway
  (-140,0): Fairway
  (-140,10): Fairway
  (-140,20): Fairway
  (-140,30): Fairway
  (-140,40): Fairway
  (-140,50): Fairway
  (-130,0): Fairway
  (-130,10): Fairway
  (-130,20): Fairway
  (-130,30): Fairway
  (-130,40): Fairway
  (-130,50): Fairway
  (-120,-10): Fairway
  (-120,0): Fairway
  (-120,10): Fairway
  (-120,20): Fairway
  (-120,30): Fairway
  (-120,40): Tee
  (-120,50): Fairway
  (-110,-10): Fairway
  (-110,0): CartPath
  (-110,10): Fairway
  (-110,20): Fairway
  (-110,30): Fairway
  (-110,40): Fairway
  (-110,50): Fairway
  (-100,-10): Fairway
  (-100,0): CartPath
  (-100,10): Fairway
  (-100,20): Fairway
  (-100,30): Fairway
  (-100,40): Fairway
  (-100,50): Fairway
  (-100,60): Fairway
  (-90,-10): Fairway
  (-90,0): Fairway
  (-90,10): Fairway
  (-90,20): Fairway
  (-90,30): Fairway
  (-90,40): Fairway
  (-90,50): Fairway
  (-80,-10): Fairway
  (-80,0): Fairway
  (-80,10): Fairway
  (-80,20): Fairway
  (-80,30): Fairway
  (-80,40): Fairway
  (-70,-10): Fairway
  (-70,0): Fairway
  (-70,10): Fairway
  (-70,20): Fairway
  (-70,30): Fairway
  (-70,40): Fairway
  (-60,-20): Fairway
  (-60,-10): Fairway
  (-60,0): Fairway
  (-60,10): Fairway
  (-60,20): Fairway
  (-60,30): Fairway
  (-60,40): Fairway
  (-60,50): Fairway
  (-50,-20): Fairway
  (-50,-10): Fairway
  (-50,0): Fairway
  (-50,10): Fairway
  (-50,20): Fairway
  (-50,30): Fairway
  (-50,40): Fairway
  (-50,50): Fairway
  (-40,-30): Fairway
  (-40,-20): CartPath
  (-40,-10): Fairway
  (-40,0): Fairway
  (-40,10): Fairway
  (-40,20): Fairway
  (-40,30): Fairway
  (-40,40): Fairway
  (-40,50): Fairway
  (-30,-30): Fairway
  (-30,-20): Fairway
  (-30,-10): Fairway
  (-30,0): Fairway
  (-30,10): Fairway
  (-30,20): Fairway
  (-30,30): Fairway
  (-30,40): Fairway
  (-20,-30): Fairway
  (-20,-20): Fairway
  (-20,-10): Fairway
  (-20,0): Fairway
  (-20,10): Fairway
  (-20,20): Fairway
  (-20,30): Fairway
  (-20,40): Fairway
  (-10,-40): Fairway
  (-10,-30): Fairway
  (-10,-20): Fairway
  (-10,-10): Fairway
  (-10,0): Fairway
  (-10,10): Fairway
  (-10,20): Fairway
  (-10,30): Fairway
  (-10,40): Fairway
  (0,-40): Fairway
  (0,-30): CartPath
  (0,-20): Fairway
  (0,-10): Fairway
  (0,0): Fairway
  (0,10): Fairway
  (0,20): Fairway
  (0,30): Fairway
  (0,40): Fairway
  (10,-50): Fairway
  (10,-40): Fairway
  (10,-30): Fairway
  (10,-20): Fairway
  (10,-10): Fairway
  (10,0): Fairway
  (10,10): Fairway
  (10,20): Fairway
  (10,30): Fairway
  (20,-60): Fairway
  (20,-50): Fairway
  (20,-40): Fairway
  (20,-30): Fairway
  (20,-20): Fairway
  (20,-10): Fairway
  (20,0): Fairway
  (20,10): Sand
  (20,20): Fairway
  (30,-60): Fairway
  (30,-50): Fairway
  (30,-40): Fairway
  (30,-30): Fairway
  (30,-20): Fairway
  (30,-10): Fairway
  (30,0): Fairway
  (30,10): Fairway
  (40,-60): Fairway
  (40,-50): Fairway
  (40,-40): Fairway
  (40,-30): Fairway
  (40,-20): Fairway
  (70,0): Water
  (70,10): Water
  (70,20): Water
  (70,30): Water
  (70,40): Water
  (70,50): Water
  (70,60): Water
  (80,-60): Water
  (80,-50): Water
  (80,-40): Water
  (80,-30): Water
  (80,-20): Water
