mode,hole,surface_target,target_v_horizontal_mps,target_spin_rpm,actual_v_at_contact_mps,first_contact_pos_x,first_contact_pos_y,first_contact_pos_z,end_pos_x,end_pos_y,end_pos_z,end_surface,roll_distance_m,bounce_count,sim_duration_s,sample_id,timestamp_iso
roll,1,Fairway,3.0,500,3.899,-279.1089,8.8448,-133.7730,-278.4074,8.7701,-133.7730,Fairway,0.7015,4,2.0838,1,2026-05-18T10:33:11.1602850+02:00
roll,1,Fairway,3.0,500,3.899,-279.1089,8.8448,-133.7730,-278.4074,8.7701,-133.7730,Fairway,0.7015,4,2.0838,2,2026-05-18T10:33:11.4764610+02:00
roll,1,Fairway,3.0,2700,3.899,-279.1089,8.8448,-133.7730,-278.4074,8.7701,-133.7730,Fairway,0.7015,4,2.0838,1,2026-05-18T10:33:11.8051050+02:00
roll,1,Fairway,3.0,2700,3.899,-279.1089,8.8448,-133.7730,-278.4074,8.7701,-133.7730,Fairway,0.7015,4,2.0838,2,2026-05-18T10:33:12.1302740+02:00
roll,1,Fairway,6.0,500,7.578,-275.3350,8.3229,-133.7769,-273.0765,8.0414,-133.7745,Fairway,2.2585,5,2.4309,1,2026-05-18T10:33:12.4567230+02:00
roll,1,Fairway,6.0,500,7.578,-275.3350,8.3229,-133.7769,-273.0765,8.0414,-133.7745,Fairway,2.2585,5,2.4309,2,2026-05-18T10:33:12.7814390+02:00
roll,1,Fairway,6.0,2700,7.578,-275.3348,8.3229,-133.7730,-273.0764,8.0414,-133.7730,Fairway,2.2585,5,2.4310,1,2026-05-18T10:33:13.1186050+02:00
roll,1,Fairway,6.0,2700,7.578,-275.3348,8.3229,-133.7730,-273.0764,8.0414,-133.7730,Fairway,2.2585,5,2.4310,2,2026-05-18T10:33:13.4727140+02:00
roll,1,Fairway,9.0,500,10.852,-269.4651,7.5510,-133.7878,-264.8185,7.0234,-133.7756,Fairway,4.6467,5,5.0425,1,2026-05-18T10:33:13.7875650+02:00
roll,1,Fairway,9.0,500,10.852,-269.4651,7.5510,-133.7878,-264.8185,7.0234,-133.7756,Fairway,4.6467,5,5.0425,2,2026-05-18T10:33:14.1282510+02:00
roll,1,Fairway,9.0,2700,10.852,-269.4645,7.5510,-133.7730,-264.8179,7.0234,-133.7730,Fairway,4.6467,5,5.0426,1,2026-05-18T10:33:14.5127820+02:00
roll,1,Fairway,9.0,2700,10.852,-269.4645,7.5510,-133.7730,-264.8179,7.0234,-133.7730,Fairway,4.6467,5,5.0426,2,2026-05-18T10:33:14.8517060+02:00
roll,1,Fairway,12.0,500,13.624,-262.0539,6.7091,-133.8100,-255.0426,6.1016,-133.7788,Fairway,7.0114,5,6.8130,1,2026-05-18T10:33:15.2014170+02:00
roll,1,Fairway,12.0,500,13.624,-262.0539,6.7091,-133.8100,-255.0426,6.1016,-133.7788,Fairway,7.0114,5,6.8130,2,2026-05-18T10:33:15.5273500+02:00
roll,1,Fairway,12.0,2700,13.624,-262.0535,6.7091,-133.8366,-255.0421,6.1016,-133.7988,Fairway,7.0115,5,6.8131,1,2026-05-18T10:33:15.8583170+02:00
roll,1,Fairway,12.0,2700,13.624,-262.0535,6.7091,-133.8366,-255.0421,6.1016,-133.7988,Fairway,7.0115,5,6.8131,2,2026-05-18T10:33:16.2011050+02:00
roll,1,Fairway,15.0,500,15.947,-253.5407,5.9595,-133.8491,-244.7816,5.3742,-133.7934,Fairway,8.7593,6,4.8063,1,2026-05-18T10:33:16.5379520+02:00
roll,1,Fairway,15.0,500,15.947,-253.5407,5.9595,-133.8491,-244.7816,5.3742,-133.7934,Fairway,8.7593,6,4.8063,2,2026-05-18T10:33:16.8699680+02:00
roll,1,Fairway,15.0,2700,15.947,-253.5556,5.9633,-134.0165,-244.7935,5.3747,-133.8954,Fairway,8.7629,6,4.8066,1,2026-05-18T10:33:17.2211530+02:00
roll,1,Fairway,15.0,2700,15.947,-253.5556,5.9633,-134.0165,-244.7935,5.3747,-133.8954,Fairway,8.7629,6,4.8066,2,2026-05-18T10:33:17.5450770+02:00
