mode,source_hole,surface_target,target_v_horizontal_mps,target_spin_rpm,actual_v_at_contact_mps,first_contact_pos_x,first_contact_pos_y,first_contact_pos_z,end_pos_x,end_pos_y,end_pos_z,end_surface,roll_distance_m,bounce_count,sim_duration_s,sample_id,timestamp_iso
roll,1,Fairway,3.0,500,8.557,-278.4264,8.7511,-133.7730,-276.9576,8.5703,-133.7730,Fairway,1.4688,5,2.3959,1,2026-05-18T12:35:56.4062470+02:00
roll,1,Fairway,3.0,500,8.572,-278.3214,8.7358,-133.7730,-276.8505,8.5556,-133.7730,Fairway,1.4709,5,2.4002,2,2026-05-18T12:35:56.9044590+02:00
roll,1,Fairway,3.0,2700,8.554,-278.4466,8.7535,-133.7730,-277.0063,8.5777,-133.7730,Fairway,1.4403,5,2.3933,1,2026-05-18T12:35:57.5053650+02:00
roll,1,Fairway,3.0,2700,8.570,-278.3414,8.7393,-133.7730,-276.8991,8.5630,-133.7730,Fairway,1.4423,5,2.3961,2,2026-05-18T12:35:58.1045190+02:00
roll,1,Fairway,6.0,500,10.443,-277.0573,8.5600,-133.7730,-273.7963,8.1382,-133.7730,Fairway,3.2610,5,2.6945,1,2026-05-18T12:35:58.7076320+02:00
roll,1,Fairway,6.0,500,10.456,-276.9473,8.5465,-133.7730,-273.6795,8.1214,-133.7730,Fairway,3.2677,5,2.7005,2,2026-05-18T12:35:59.3043680+02:00
roll,1,Fairway,6.0,2700,10.441,-277.0901,8.5661,-133.7730,-273.8636,8.1468,-133.7730,Fairway,3.2265,5,2.6373,1,2026-05-18T12:35:59.8042640+02:00
roll,1,Fairway,6.0,2700,10.453,-276.9802,8.5527,-133.7730,-273.7467,8.1309,-133.7730,Fairway,3.2335,5,2.6453,2,2026-05-18T12:36:00.3041220+02:00
roll,1,Fairway,9.0,500,12.844,-276.1125,8.4329,-133.7730,-270.4576,7.6982,-133.7730,Fairway,5.6549,5,4.8096,1,2026-05-18T12:36:00.8045940+02:00
roll,1,Fairway,9.0,500,12.854,-275.9973,8.4133,-133.7730,-270.3407,7.6835,-133.7730,Fairway,5.6565,5,4.8121,2,2026-05-18T12:36:01.3044410+02:00
roll,1,Fairway,9.0,2700,12.843,-276.1447,8.4341,-133.7730,-270.5033,7.7038,-133.7730,Fairway,5.6414,5,4.7927,1,2026-05-18T12:36:01.9043430+02:00
roll,1,Fairway,9.0,2700,12.853,-276.0308,8.4206,-133.7730,-270.3843,7.6892,-133.7730,Fairway,5.6465,5,4.7927,2,2026-05-18T12:36:02.4046300+02:00
roll,1,Fairway,12.0,500,15.540,-275.4589,8.3389,-133.7730,-267.4772,7.3294,-133.7730,Fairway,7.9816,6,3.1083,1,2026-05-18T12:36:02.9044120+02:00
roll,1,Fairway,12.0,500,15.547,-275.3409,8.3242,-133.7730,-267.3531,7.3150,-133.7730,Fairway,7.9878,6,3.1112,2,2026-05-18T12:36:03.4043740+02:00
roll,1,Fairway,12.0,2700,15.538,-275.3943,8.3291,-133.7730,-267.4024,7.3201,-133.7730,Fairway,7.9919,6,3.0919,1,2026-05-18T12:36:03.9054610+02:00
roll,1,Fairway,12.0,2700,15.546,-275.2759,8.3144,-133.7730,-267.2798,7.3057,-133.7730,Fairway,7.9961,6,3.0929,2,2026-05-18T12:36:04.5043660+02:00
roll,1,Fairway,15.0,500,18.481,-275.0010,8.2762,-133.7730,-263.9658,6.9320,-133.7730,Fairway,11.0352,6,3.6287,1,2026-05-18T12:36:05.1043740+02:00
roll,1,Fairway,15.0,500,18.486,-274.8814,8.2632,-133.7730,-263.8397,6.9180,-133.7730,Fairway,11.0418,6,3.6288,2,2026-05-18T12:36:05.7044180+02:00
roll,1,Fairway,15.0,2700,18.476,-274.8753,8.2632,-133.7730,-263.8463,6.9189,-133.7730,Fairway,11.0290,6,3.6671,1,2026-05-18T12:36:06.3052440+02:00
roll,1,Fairway,15.0,2700,18.481,-274.7543,8.2412,-133.7730,-263.7323,6.9068,-133.7730,Fairway,11.0220,6,3.6651,2,2026-05-18T12:36:06.9045790+02:00
roll,1,Fairway,20.0,500,23.864,-274.5036,8.2111,-133.7730,-257.1964,6.2798,-133.7730,Fairway,17.3073,6,5.3038,1,2026-05-18T12:36:07.4043060+02:00
roll,1,Fairway,20.0,500,23.868,-274.3813,8.1876,-133.7730,-257.0865,6.2699,-133.7730,Fairway,17.2948,6,5.3024,2,2026-05-18T12:36:07.9043130+02:00
roll,1,Fairway,20.0,2700,23.857,-274.3637,8.1852,-133.7730,-257.1431,6.2751,-133.7730,Fairway,17.2206,6,5.3291,1,2026-05-18T12:36:08.4043930+02:00
roll,1,Fairway,20.0,2700,23.861,-274.2406,8.1723,-133.7730,-257.0170,6.2641,-133.7730,Fairway,17.2237,6,5.3275,2,2026-05-18T12:36:09.0042570+02:00
roll,1,Fairway,25.0,500,29.252,-274.2171,8.1640,-133.7730,-250.0511,5.7266,-133.7730,Fairway,24.1660,6,6.5552,1,2026-05-18T12:36:09.6044100+02:00
roll,1,Fairway,25.0,500,29.254,-274.0931,8.1511,-133.7730,-249.9273,5.7184,-133.7730,Fairway,24.1658,6,6.5567,2,2026-05-18T12:36:10.2044180+02:00
roll,1,Fairway,25.0,2700,29.242,-274.0757,8.1463,-133.7730,-250.0455,5.7260,-133.7730,Fairway,24.0303,6,6.5741,1,2026-05-18T12:36:10.8046090+02:00
roll,1,Fairway,25.0,2700,29.244,-273.9486,8.1316,-133.7730,-249.9226,5.7178,-133.7730,Fairway,24.0260,6,6.5742,2,2026-05-18T12:36:11.4046730+02:00
roll,1,Green,3.0,500,8.312,-236.5110,10.2145,-75.7730,-235.9938,10.2233,-75.7730,Green,0.5172,4,1.6734,1,2026-05-18T12:36:12.0269920+02:00
roll,1,Green,3.0,500,8.315,-236.4101,10.2119,-75.7730,-235.8927,10.2208,-75.7730,Green,0.5174,4,1.6740,2,2026-05-18T12:36:12.5042640+02:00
roll,1,Green,3.0,2700,8.312,-236.5285,10.2149,-75.7730,-236.0187,10.2239,-75.7730,Green,0.5098,4,1.6744,1,2026-05-18T12:36:13.1047110+02:00
roll,1,Green,3.0,2700,8.315,-236.4276,10.2125,-75.7730,-235.9176,10.2214,-75.7730,Green,0.5099,4,1.6751,2,2026-05-18T12:36:13.7043610+02:00
roll,1,Green,6.0,500,10.119,-235.3221,10.1853,-75.7730,-234.2313,10.1801,-75.7730,Green,1.0908,4,1.6343,1,2026-05-18T12:36:14.3043430+02:00
roll,1,Green,6.0,500,10.121,-235.2204,10.1829,-75.7730,-234.1292,10.1775,-75.7730,Green,1.0912,4,1.6350,2,2026-05-18T12:36:14.9044150+02:00
roll,1,Green,6.0,2700,10.119,-235.3477,10.1862,-75.7730,-234.2627,10.1809,-75.7730,Green,1.0850,4,1.6379,1,2026-05-18T12:36:15.5042920+02:00
roll,1,Green,6.0,2700,10.122,-235.2460,10.1838,-75.7730,-234.1606,10.1783,-75.7730,Green,1.0854,4,1.6386,2,2026-05-18T12:36:16.1046570+02:00
