hole,runtime_surface,authored_surface,provenance,cell_count,hole_total
Hole_01,OOB,OOB,ObMask,616994,1048576
Hole_01,CartPath,OOB,Polygon,8735,1048576
Hole_01,CartPath,Rough,Polygon,10334,1048576
Hole_01,Fairway,Rough,Default,337402,1048576
Hole_01,Fairway,Semirough,Default,212,1048576
Hole_01,Fairway,Rough,Polygon,61794,1048576
Hole_01,Sand,Rough,Polygon,3716,1048576
Hole_01,Green,Rough,Polygon,3233,1048576
Hole_01,Sand,Semirough,Polygon,14,1048576
Hole_01,Tee,Rough,Polygon,6135,1048576
Hole_01,Fairway,Semirough,Polygon,5,1048576
Hole_01,Tee,Semirough,Polygon,2,1048576
Hole_02,Fairway,Rough,Default,976814,1048576
Hole_02,Fairway,Semirough,Default,157,1048576
Hole_02,Tee,Rough,Polygon,1923,1048576
Hole_02,Fairway,Rough,Polygon,66734,1048576
Hole_02,Sand,Rough,Polygon,744,1048576
Hole_02,Sand,Semirough,Polygon,2,1048576
Hole_02,CartPath,Rough,Polygon,2202,1048576
Hole_03,OOB,OOB,ObMask,504485,1048576
Hole_03,Fairway,Rough,Default,433479,1048576
Hole_03,Fairway,Semirough,Default,2954,1048576
Hole_03,Fairway,Rough,Polygon,81485,1048576
Hole_03,Green,Rough,Polygon,8253,1048576
Hole_03,Sand,Rough,Polygon,7880,1048576
Hole_03,Fairway,Semirough,Polygon,2,1048576
Hole_03,Sand,Semirough,Polygon,6,1048576
Hole_03,Tee,Rough,Polygon,10020,1048576
Hole_03,Tee,Semirough,Polygon,12,1048576
Hole_04,OOB,OOB,ObMask,549480,1048576
Hole_04,Fairway,Rough,Default,403481,1048576
Hole_04,Fairway,Semirough,Default,190,1048576
Hole_04,Tee,Rough,Polygon,19148,1048576
Hole_04,Tee,Semirough,Polygon,17,1048576
Hole_04,CartPath,OOB,Polygon,14125,1048576
Hole_04,CartPath,Rough,Polygon,12228,1048576
Hole_04,Sand,Rough,Polygon,5590,1048576
Hole_04,Fairway,Rough,Polygon,24664,1048576
Hole_04,Green,Rough,Polygon,19648,1048576
Hole_04,Fairway,Semirough,Polygon,5,1048576
Hole_05,OOB,OOB,ObMask,672381,1048576
Hole_05,Water,OOB,Polygon,8504,1048576
Hole_05,CartPath,OOB,Polygon,1599,1048576
Hole_05,Fairway,Rough,Default,289015,1048576
Hole_05,CartPath,Rough,Polygon,10300,1048576
Hole_05,Fairway,Rough,Polygon,55385,1048576
Hole_05,Fairway,Semirough,Default,144,1048576
Hole_05,Green,Rough,Polygon,4590,1048576
Hole_05,Sand,Rough,Polygon,914,1048576
Hole_05,Sand,Semirough,Polygon,1,1048576
Hole_05,CartPath,Semirough,Polygon,5,1048576
Hole_05,Tee,Rough,Polygon,5737,1048576
Hole_05,Tee,Semirough,Polygon,1,1048576
Hole_06,OOB,OOB,ObMask,353421,1048576
Hole_06,CartPath,OOB,Polygon,9582,1048576
Hole_06,CartPath,Rough,Polygon,38130,1048576
Hole_06,Fairway,Rough,Default,515838,1048576
Hole_06,Water,Rough,Polygon,66792,1048576
Hole_06,Fairway,Semirough,Default,321,1048576
Hole_06,Tee,Rough,Polygon,15070,1048576
Hole_06,Fairway,Rough,Polygon,23346,1048576
Hole_06,Tee,OOB,Polygon,1192,1048576
Hole_06,Green,Rough,Polygon,24028,1048576
Hole_06,Sand,Rough,Polygon,856,1048576
Hole_07,OOB,OOB,ObMask,579361,1048576
Hole_07,Fairway,Rough,Default,379436,1048576
Hole_07,Water,OOB,Polygon,19645,1048576
Hole_07,CartPath,Rough,Polygon,18370,1048576
Hole_07,Fairway,Semirough,Default,588,1048576
Hole_07,Fairway,Rough,Polygon,27679,1048576
Hole_07,Sand,Rough,Polygon,2173,1048576
Hole_07,Green,Rough,Polygon,9635,1048576
Hole_07,Fairway,Semirough,Polygon,8,1048576
Hole_07,Tee,Rough,Polygon,9003,1048576
Hole_07,Sand,Semirough,Polygon,4,1048576
Hole_07,CartPath,OOB,Polygon,2674,1048576
Hole_08,OOB,OOB,ObMask,813137,1048576
Hole_08,Fairway,Rough,Default,127775,1048576
Hole_08,Fairway,Semirough,Default,227,1048576
Hole_08,Tee,Rough,Polygon,2350,1048576
Hole_08,CartPath,Rough,Polygon,6634,1048576
Hole_08,CartPath,OOB,Polygon,13809,1048576
Hole_08,Water,Rough,Polygon,7475,1048576
Hole_08,Water,OOB,Polygon,14561,1048576
Hole_08,Fairway,Rough,Polygon,55992,1048576
Hole_08,Sand,Rough,Polygon,3118,1048576
Hole_08,Sand,Semirough,Polygon,20,1048576
Hole_08,Sand,OOB,Polygon,426,1048576
Hole_08,Fairway,Semirough,Polygon,11,1048576
Hole_08,Green,Rough,Polygon,3041,1048576
Hole_09,OOB,OOB,ObMask,517390,1048576
Hole_09,Water,OOB,Polygon,9648,1048576
Hole_09,CartPath,OOB,Polygon,11144,1048576
Hole_09,Fairway,Rough,Default,314452,1048576
Hole_09,Water,Rough,Polygon,19988,1048576
Hole_09,Fairway,Semirough,Default,433,1048576
Hole_09,Tee,Rough,Polygon,5229,1048576
Hole_09,CartPath,Rough,Polygon,17614,1048576
Hole_09,Fairway,Rough,Polygon,135668,1048576
Hole_09,Sand,Rough,Polygon,8857,1048576
Hole_09,Green,Rough,Polygon,8109,1048576
Hole_09,Sand,Semirough,Polygon,44,1048576
Hole_10,OOB,OOB,ObMask,590789,1048576
Hole_10,CartPath,OOB,Polygon,713,1048576
Hole_10,Fairway,Rough,Default,405893,1048576
Hole_10,CartPath,Rough,Polygon,15586,1048576
Hole_10,Fairway,Semirough,Default,412,1048576
Hole_10,Sand,Rough,Polygon,5857,1048576
Hole_10,Green,Rough,Polygon,5212,1048576
Hole_10,Green,Semirough,Polygon,9,1048576
Hole_10,Sand,Semirough,Polygon,37,1048576
Hole_10,Fairway,Rough,Polygon,20011,1048576
Hole_10,Tee,Rough,Polygon,4056,1048576
Hole_10,Tee,Semirough,Polygon,1,1048576
Hole_11,OOB,OOB,ObMask,731059,1048576
Hole_11,Fairway,Rough,Default,266530,1048576
Hole_11,Fairway,Semirough,Default,249,1048576
Hole_11,Fairway,Rough,Polygon,15587,1048576
Hole_11,Green,Rough,Polygon,15624,1048576
Hole_11,Sand,Rough,Polygon,4639,1048576
Hole_11,Sand,Semirough,Polygon,7,1048576
Hole_11,Tee,Rough,Polygon,12547,1048576
Hole_11,Tee,Semirough,Polygon,1,1048576
Hole_11,CartPath,OOB,Polygon,2333,1048576
Hole_12,OOB,OOB,ObMask,747448,1048576
Hole_12,Fairway,Rough,Default,194959,1048576
Hole_12,CartPath,OOB,Polygon,11408,1048576
Hole_12,Fairway,Semirough,Default,196,1048576
Hole_12,Tee,Rough,Polygon,1042,1048576
Hole_12,Water,Rough,Polygon,28215,1048576
Hole_12,Water,OOB,Polygon,14522,1048576
Hole_12,CartPath,Rough,Polygon,305,1048576
Hole_12,Tee,OOB,Polygon,2813,1048576
Hole_12,Fairway,Rough,Polygon,43282,1048576
Hole_12,Sand,Rough,Polygon,2518,1048576
Hole_12,Sand,Semirough,Polygon,14,1048576
Hole_12,Sand,OOB,Polygon,1854,1048576
Hole_13,OOB,OOB,ObMask,775721,1048576
Hole_13,Fairway,Rough,Default,145684,1048576
Hole_13,Fairway,Rough,Polygon,42731,1048576
Hole_13,Green,Rough,Polygon,2768,1048576
Hole_13,CartPath,OOB,Polygon,7576,1048576
Hole_13,CartPath,Rough,Polygon,7596,1048576
Hole_13,Water,OOB,Polygon,61275,1048576
Hole_13,Fairway,Semirough,Default,167,1048576
Hole_13,Sand,OOB,Polygon,706,1048576
Hole_13,Sand,Semirough,Polygon,6,1048576
Hole_13,Tee,Rough,Polygon,3581,1048576
Hole_13,Sand,Rough,Polygon,765,1048576
Hole_14,OOB,OOB,ObMask,708168,1048576
Hole_14,CartPath,OOB,Polygon,10977,1048576
Hole_14,Fairway,Rough,Default,293560,1048576
Hole_14,CartPath,Rough,Polygon,11700,1048576
Hole_14,Fairway,Semirough,Default,217,1048576
Hole_14,Tee,Rough,Polygon,3206,1048576
Hole_14,Tee,Semirough,Polygon,2,1048576
Hole_14,Water,Rough,Polygon,12326,1048576
Hole_14,Sand,Rough,Polygon,1844,1048576
Hole_14,Water,OOB,Polygon,6564,1048576
Hole_14,Sand,Semirough,Polygon,12,1048576
