hole,zone_index,zone_name,Polygon,ObMask,Default,total,notes
1,0,background,21,0,223,244,
1,1,fairway,108523,0,1418,109941,
1,2,green,6038,0,0,6038,
1,3,semi_rough,40,0,411,451,
1,4,rough,6006,280,383746,390032,
1,5,trees,6945,493,205268,212706,
1,6,bunker,7641,0,2576,10217,
1,8,cart_path,18906,2,5604,24512,
1,9,ob,15868,1117602,387,1133857,
1,10,tee_box,10992,0,1554,12546,
2,0,background,2,0,418,420,STALE_RASTER:Hole02 source raster shows 0 OB cells; runtime obMask is correct
2,1,fairway,190874,0,1323,192197,
2,2,green,16678,0,0,16678,
2,3,semi_rough,6,0,535,541,
2,4,rough,9099,753717,480394,1243210,
2,5,trees,2588,1687927,168635,1859150,
2,6,bunker,3376,0,2698,6074,
2,8,cart_path,41131,4835,11962,57928,
2,10,tee_box,9820,0,3422,13242,
3,0,background,14,0,351,365,
3,1,fairway,87574,0,1330,88904,
3,2,green,9577,0,0,9577,
3,3,semi_rough,30,0,1534,1564,
3,4,rough,4278,69,213535,217882,
3,5,trees,6786,355,237526,244667,
3,6,bunker,9042,0,4969,14011,
3,8,cart_path,13174,0,8543,21717,
3,9,ob,4802,562801,613,568216,
3,10,tee_box,10897,0,1848,12745,
4,0,background,59,0,423,482,
4,1,fairway,66069,0,2349,68418,
4,2,green,76445,0,0,76445,
4,3,semi_rough,84,0,633,717,
4,4,rough,37279,845,1081478,1119602,
4,5,trees,459,1337,228030,229826,
4,6,bunker,18830,0,10170,29000,
4,8,cart_path,33718,4,2810,36532,
4,9,ob,47294,1841673,484,1889451,
4,10,tee_box,59885,0,8106,67991,
5,0,background,7,0,455,462,
5,1,fairway,199953,0,15074,215027,
5,2,green,17971,0,0,17971,
5,3,semi_rough,6,0,565,571,
5,4,rough,8524,602,511132,520258,
5,5,trees,11040,1539,518308,530887,
5,6,bunker,4811,0,3973,8784,
5,8,cart_path,41669,32,13959,55660,
5,9,ob,37904,2527221,862,2565987,
5,10,tee_box,23671,0,5170,28841,
6,0,background,2,0,495,497,
6,1,fairway,37251,0,1014,38265,
6,2,green,43951,0,0,43951,
6,3,semi_rough,4,0,571,575,
6,4,rough,17677,217,613744,631638,
6,5,trees,9755,528,250304,260587,
6,6,bunker,6544,0,3244,9788,
6,7,water,112726,0,17150,129876,
6,8,cart_path,46793,3,5138,51934,
6,9,ob,18906,621418,96,640420,
6,10,tee_box,26573,5,11139,37717,
7,0,background,4,0,511,515,
7,1,fairway,113788,0,508,114296,
7,2,green,12046,0,0,12046,
7,3,semi_rough,16,0,688,704,
7,4,rough,4429,340,251399,256168,
7,5,trees,2150,381,82234,84765,
7,6,bunker,2822,0,2504,5326,
7,7,water,1879,1,510,2390,
7,8,cart_path,21095,1,15779,36875,
7,9,ob,40124,673938,320,714382,
7,10,tee_box,14496,0,3221,17717,
8,0,background,37,0,377,414,
8,1,fairway,160148,0,487,160635,
8,2,green,10031,0,0,10031,
8,3,semi_rough,88,0,618,706,
8,4,rough,7909,195,193673,201777,
8,5,trees,3228,1068,143652,147948,
8,6,bunker,11753,0,3771,15524,
8,7,water,36939,1,2102,39042,
8,8,cart_path,17156,4,14281,31441,
8,9,ob,118365,2394644,679,2513688,
8,10,tee_box,8709,0,1477,10186,
9,0,background,40,0,409,449,
9,1,fairway,171067,0,738,171805,
9,2,green,10830,0,0,10830,
9,3,semi_rough,64,0,600,664,
9,4,rough,6232,157,279420,285809,
9,5,trees,1532,388,97863,99783,
9,6,bunker,11196,0,2744,13940,
9,7,water,24614,0,1211,25825,
9,8,cart_path,25147,6,8726,33879,
9,9,ob,28300,668390,100,696790,
9,10,tee_box,14131,0,3919,18050,
10,0,background,87,0,675,762,
10,1,fairway,159048,0,1191,160239,
10,2,green,14346,0,831,15177,
10,3,semi_rough,208,0,1066,1274,
10,4,rough,6034,638,736879,743551,
10,5,trees,757,997,190490,192244,
10,6,bunker,16239,0,8787,25026,
10,8,cart_path,39953,40,15069,55062,
10,9,ob,1884,1568892,593,1571369,
10,10,tee_box,17454,0,5170,22624,
11,0,background,15,0,702,717,
11,1,fairway,51997,0,1523,53520,
11,2,green,64995,0,0,64995,
11,3,semi_rough,29,0,997,1026,
11,4,rough,30320,807,828941,860068,
11,5,trees,1527,1077,104890,107494,
11,6,bunker,17386,0,12632,30018,
11,8,cart_path,30996,5,8381,39382,
11,9,ob,22043,2842164,676,2864883,
11,10,tee_box,60456,0,15489,75945,
12,0,background,7,1,251,259,
12,1,fairway,96822,0,894,97716,
12,2,green,12676,0,0,12676,
12,3,semi_rough,16,0,298,314,
12,4,rough,11630,247,272314,284191,
12,5,trees,3961,930,222420,227311,
12,6,bunker,6406,1,1979,8386,
12,7,water,66549,1,3144,69694,
12,8,cart_path,8720,1,1019,9740,
12,9,ob,100396,1953081,665,2054142,
12,10,tee_box,2739,3,1725,4467,
13,0,background,16,0,396,412,
13,1,fairway,156275,0,997,157272,
13,2,green,11108,0,0,11108,
13,3,semi_rough,23,0,482,505,
13,4,rough,6258,413,358944,365615,
13,5,trees,4071,1314,167610,172995,
13,6,bunker,4417,0,1893,6310,
13,8,cart_path,25055,21,19975,45051,
13,9,ob,294278,2928294,1270,3223842,
13,10,tee_box,13667,0,2967,16634,
14,0,background,20,0,566,586,
14,1,fairway,256044,0,1076,257120,
14,2,green,20208,0,0,20208,
14,3,semi_rough,72,0,759,831,
14,4,rough,8417,195,572129,580741,
14,5,trees,8611,1705,191601,201917,
14,6,bunker,8620,0,4379,12999,
14,7,water,45376,4,3406,48786,
14,8,cart_path,34122,17,10715,44854,
14,9,ob,64506,2605209,797,2670512,
14,10,tee_box,16529,0,5397,21926,
15,0,background,4,0,440,444,
15,1,fairway,65722,0,426,66148,
15,2,green,48625,0,0,48625,
15,3,semi_rough,8,0,620,628,
15,4,rough,17250,17,541165,558432,
15,5,trees,4505,799,184779,190083,
15,6,bunker,11917,0,5057,16974,
15,8,cart_path,46775,0,2529,49304,
15,9,ob,2914,950762,237,953913,
15,10,tee_box,19786,0,6447,26233,
16,0,background,32,0,334,366,
16,1,fairway,109439,0,1467,110906,
16,2,green,13482,0,0,13482,
16,3,semi_rough,29,0,449,478,
16,4,rough,5350,61,309550,314961,
16,5,trees,5424,404,120069,125897,
16,6,bunker,6581,0,2945,9526,
16,8,cart_path,22540,4,11469,34013,
16,9,ob,18970,674640,126,693736,
16,10,tee_box,12599,0,2948,15547,
17,0,background,13,0,436,449,
17,1,fairway,162650,0,307,162957,
17,2,green,13424,0,0,13424,
17,3,semi_rough,13,0,400,413,
17,4,rough,10066,205,396198,406469,
17,5,trees,6588,970,162288,169846,
17,6,bunker,3827,0,1833,5660,
17,7,water,80735,0,6375,87110,
17,8,cart_path,39441,6,18897,58344,
17,9,ob,66466,1504298,397,1571161,
17,10,tee_box,17618,0,3061,20679,
18,0,background,22,0,417,439,
18,1,fairway,121151,0,289,121440,
18,2,green,7896,0,194,8090,
18,3,semi_rough,114,0,667,781,
18,4,rough,5239,34,250084,255357,
18,5,trees,7280,417,123050,130747,
18,6,bunker,21477,0,4585,26062,
18,7,water,29946,0,1673,31619,
18,8,cart_path,15757,2,16461,32220,
