Hole,Fires,Dist,Carry,YawDeg,TreeRowCount,Notes
Hole_01,False,462.5,402.5,-166.7,1362,
Hole_02,False,342.2,282.2,128.9,3314,
Hole_03,False,331.7,271.7,-92.4,1519,
Hole_04,False,110.1,110.1,150.6,266,
Hole_05,False,365.6,305.6,-48.6,3366,
Hole_06,False,153.5,98.6,174.1,434,
Hole_07,False,371.7,311.7,-9.2,1343,
Hole_08,False,417.4,357.5,52.4,3926,
Hole_09,False,367.1,307.1,10.2,711,
Hole_10,False,332.2,272.2,-119.4,1519,
Hole_11,False,149.3,94.3,-133.8,959,
Hole_12,False,306.5,246.5,50.9,3026,
Hole_13,False,501.4,433.2,-135.1,3390,
Hole_14,False,354.9,295.0,130.7,2838,
Hole_15,False,154.8,99.8,73.1,584,
Hole_16,False,285.9,226.0,-83.5,855,
Hole_18,False,483.8,423.8,13.2,1431,
Hole_17,N/A(null_provider),0,0,0,0,No tree CSV — confirmed null provider
