# per-frame content X — ModeSelection -> MissionSelection   [after_head]
# driven by the REAL mode-card ExpandedContainer/ActionButton.onClick
# contentWidth=1074px  frames=16
# arriver rect = Canvas/ScreensRoot/MissionSelectionScreen/Content
# leaver  rect = Canvas/ScreensRoot/ModeSelectionScreen/CardsContainer
# dArriver/dLeaver = fraction of the content width travelled SINCE THE PREVIOUS FRAME.
# A single large dArriver is fix 1's teleport; dArriver != dLeaver is the parallax.
frame	dt_ms	elapsed_ms	arriverX	leaverX	dArriver	dLeaver
0	15.8	0.1	1170.0	0.0	0.0 %	0.0 %
1	101.8	7.6	761.6	-408.4	-38.0 %	-38.0 %
2	16.6	22.0	600.0	-570.0	-15.0 %	-15.0 %
3	17.0	38.2	459.6	-710.4	-13.1 %	-13.1 %
4	16.6	54.9	345.3	-824.7	-10.6 %	-10.6 %
5	16.4	71.3	253.2	-916.8	-8.6 %	-8.6 %
6	16.9	88.1	177.0	-993.0	-7.1 %	-7.1 %
7	16.4	104.5	119.4	-1050.6	-5.4 %	-5.4 %
8	16.5	121.0	75.6	-1094.4	-4.1 %	-4.1 %
9	16.9	137.9	43.4	-1126.6	-3.0 %	-3.0 %
10	17.0	155.0	21.9	-1148.1	-2.0 %	-2.0 %
11	16.3	171.2	9.4	-1160.6	-1.2 %	-1.2 %
12	16.9	192.5	2.7	-1167.3	-0.6 %	-0.6 %
13	16.4	205.0	0.3	-1169.7	-0.2 %	-0.2 %
14	16.5	221.3	0.0	-1170.0	0.0 %	0.0 %
15	17.0	238.1	0.0	-1170.0	0.0 %	0.0 %
