# per-frame content X — ModeSelection -> MissionSelection   [before_36dc3d480]
# driven by the REAL mode-card ExpandedContainer/ActionButton.onClick
# contentWidth=1074px  frames=11
# arriver rect = Canvas/ScreensRoot/MissionSelectionScreen/Content
# leaver  rect = Canvas/ScreensRoot/ModeSelectionScreen/CardsContainer
# dArriver/dLeaver = fraction of the content width travelled SINCE THE PREVIOUS FRAME.
# A single large dArriver is fix 1's teleport; dArriver != dLeaver is the parallax.
frame	dt_ms	elapsed_ms	arriverX	leaverX	dArriver	dLeaver
0	16.5	0.1	0.0	-65.0	0.0 %	0.0 %
1	92.2	21.5	0.0	-287.7	0.0 %	-20.7 %
2	17.1	38.4	0.0	-307.9	0.0 %	-1.9 %
3	17.1	55.4	0.0	-323.4	0.0 %	-1.4 %
4	16.2	71.5	0.0	-334.1	0.0 %	-1.0 %
5	16.7	88.2	0.0	-341.8	0.0 %	-0.7 %
6	16.6	104.9	0.0	-346.7	0.0 %	-0.5 %
7	17.2	122.1	0.0	-349.5	0.0 %	-0.3 %
8	15.4	137.5	0.0	-350.6	0.0 %	-0.1 %
9	17.4	154.7	0.0	-351.0	0.0 %	0.0 %
10	16.6	171.5	0.0	-351.0	0.0 %	0.0 %
