# Clubs roster — 7 shipped rows preserved verbatim below; 792 generated rows appended
# by Tools/club-gen/generate_clubs.py (C2, 2026-08-19). Column info_ja appended (JA
# description; display wiring is a Claude Code task). Art refs use club_art_batches naming.
id,name,type,rarity,brand,basePower,baseAccuracy,baseLieResistance,baseLoft,maxDurability,baseDistance,ballSpeedMps,launchAngleDeg,spinRateRpm,expectedCarryYd,portraitSprite,portraitFull,controlSprite,startLevel,maxLevel,info,info_ja
club_driver_gf,Driver G&F,Driver,Common,G&F,80,30,10,12,100,250,75.0,10.9,2686,275,Driver-G&F,Driver-G&F,S_Controls_Driver_GF,10,39,A reliable driver from G&F with balanced power and solid accuracy off the tee.,
club_wood_gf,Wood G&F,Wood,Common,G&F,70,35,12,15,100,230,70.6,9.2,3655,243,S_Menu_Wood_GF,Placeholder,S_Controls_Wood_GF,10,39,"A versatile fairway wood from G&F. Solid carry, more forgiving than the driver.",
club_iron9_klyro,Iron 9 Klyro,Iron,Uncommon,Klyro,60,50,20,25,80,180,48.5,20.0,8647,152,Iron9-Klyro,Iron9-Klyro,S_Controls_Iron_KLYRO,40,79,Precision 9-iron by Klyro with excellent control on approach shots.,
club_iron7_mireo,Iron 7 Mireo,Iron,Rare,MireO,80,30,15,15,100,180,52.5,16.3,7097,172,Iron7-Mireo,Iron7-Mireo,S_Controls_Iron_MIREO,80,119,"Refined by MireO, this 7-Iron delivers precision spin with added carry. Designed for players who want controlled flight and stopping power, it offers the ideal blend of distance and finesse on approach.",
club_awedge_fyloe,A. Wedge Fyloe,A.Wedge,Mythic,FYLOE,20,30,70,60,50,70,46.0,24.0,9300,136,WedgeA-Fyloe,WedgeA-Fyloe,S_Controls_Wedge_FYLOE,120,159,"Powered by FYLOE, this Approach Wedge brings strong spin with bold distance. Though it trades some accuracy and wear resistance, it's perfect for players who want to attack the pin with flair.",
club_pwedge_royal,P.Wedge Royal Swing,P.Wedge,Legendary,Royal Swing,40,60,50,45,75,120,46.0,24.0,9300,136,WedgeP-RoyalSwing,WedgeP-RoyalSwing,S_Controls_Wedge_ROYAL,160,199,The Royal Swing pitching wedge offers supreme accuracy and reliable distance control around the green.,
club_putter_golfinx,Putter GolfinX,Putter,Supreme,GolfinX,30,90,30,5,120,30,5.0,5.0,0,30,Putter-GolfinX,Putter-GolfinX,S_Controls_Putter_GOLFINIX,200,239,GolfinX's flagship putter. Unmatched precision on the green with superior feel and consistency.,
club_driver_gf_uncommon,Driver G&F,Driver,Uncommon,G&F,59,27,8,9,70,238,72.3,10.9,2579,262,S_Menu_Driver_GF,Driver-G&F,S_Controls_Driver_GF,40,79,A dependable step-up driver from G&F — balanced feel you can trust on any lie.,G&Fの上位モデルのドライバー。どんなライでも信頼できるバランス型。
club_driver_gf_rare,Driver G&F,Driver,Rare,G&F,72,32,9,11,80,250,75.0,10.9,2632,275,S_Menu_Driver_GF,Driver-G&F,S_Controls_Driver_GF,80,119,A dependable refined driver from G&F — balanced feel you can trust on any lie.,G&Fの洗練されたドライバー。どんなライでも信頼できるバランス型。
club_driver_gf_mythic,Driver G&F,Driver,Mythic,G&F,85,38,11,13,90,261,77.5,10.9,2686,287,S_Menu_Driver_GF,Driver-G&F,S_Controls_Driver_GF,120,159,A dependable elite driver from G&F — balanced feel you can trust on any lie.,G&Fのエリート級のドライバー。どんなライでも信頼できるバランス型。
